QUEST_LV_0400_20161212_000001	Kedoran Alliance Merchant Alta	케도라 상단원 알타
QUEST_LV_0400_20161212_000623	Pergi dan bawakan aku beberapa Pystis roots dari sekitar.	이 근처에서 자라는 피스티스 풀의 뿌리를 캐 오도록 하라.
QUEST_LV_0400_20161212_000624	bagus.{nl} Namun, kita perlu lebih banyak untuk membuat obat yang kami butuhkan.	수고했군.{nl}하지만 약을 만들기 위해서는 재료가 더 필요하다.
QUEST_LV_0400_20161212_000625	Ryudhas Guard	리우다스의 호위병
QUEST_LV_0400_20161212_000626	menjauhlah dari raja kami!	영주님에게서 물러나라!
QUEST_LV_0400_20161212_000627	Kamu berdiri di depan raja Ryudhas.	여기 계신 분이 이 땅을 다스리는 리우다스 영주님이시다.
QUEST_LV_0400_20161212_000628	bahan lain yang dibutuhkan untuk membuat obat. kaki dari Orange Grummer. {Nl} Tentu saja, kamu harus dengan keras mengambil dari mereka, sehingga mungkin terlalu banyak untuk kamu.	약을 만들려면 또 다른 재료인 주황 그루머의 다리가 필요하다.{nl}물론 주황 그루머를 쓰러뜨려야 하니 벅찰 수도 있겠지만..
QUEST_LV_0400_20161212_000629	{Nl} Tentu saja, saya bisa memberikan tugas ini kepada orang lain jika kamu tidak ingin melakukannya.	{nl}어차피 다른 부하를 시키면 되니 그만두고 싶다면 그만둬도 좋다.
QUEST_LV_0400_20161212_000630	Hmm ... Saya terkejut. {Nl} Saya tidak tahu siapa kamu, tapi mengapa kau bekerja begitu keras untuk pengungsi?	흠.. 의외로군.{nl}그대가 누구인지는 모르겠지만 피난민의 부탁에 그토록 성실하게 임할 필요가 있는가?
QUEST_LV_0400_20161212_000631	{nl} Nah, apa pun kasusnya, baik. {nl} Jika kamu telah memutuskan untuk menerima tugas, pergi bawakan saya Orange Grummer legs.	{nl}뭐, 좋다.{nl}하기로 결정했으면 어서 주황 그루머의 다리를 모아오도록.
QUEST_LV_0400_20161212_000632	Orang saya akan dapat diobati jika kamu mendapatkan Orange Grummer legs.	주황 그루머를 처치하고 그 다리를 모아오면 병든 내 병사들에게 줄 약을 만들 수 있다.
QUEST_LV_0400_20161212_000633	Kamu terlihat lebih efisien dibandingkan kamulihat.{nl} Jika kamu terus bekerja terus dengan baik, mungkin saya akan membuat permintaan pribadi.	의외로 일 처리가 쓸만하군.{nl}그대라면 내 개인적인 부탁을 해도 좋겠어.
QUEST_LV_0400_20161212_000634	Hal ini bukan hanya tanah keluarga tapi di tanah ini saya mempunyai banyak kenangan.	이 곳은 단순히 우리 가문의 영지일 뿐 아니라 내게는 어린 시절의 추억이 깃든 곳이지.
QUEST_LV_0400_20161212_000635	{nl} Disana ada banyak pohon Atmintis dimana saya dan adik saya menggunakannya untuk mengetahui seberapa tinggi kita berdua. {nl} Saya ingin mengambil kotak yang terkubur dibawahnya.	{nl}아트민티스 공터에는 나와 형님이 키를 재던 나무가 있다.{nl}그 밑에 숨겨놓은 장난감 상자를 되찾고 싶어.
QUEST_LV_0400_20161212_000636	{nl}Namun, itu terletak dimana anak dari Joquvas berada dan mengklain itu adalah tanah miliknya, Jadi Pasukan saya tidak bisa kesana.	{nl}하지만 요쿠바스 애송이가 자기 땅이라고 주장하는 곳에 있어서 내 병사들이 함부로 갈 수가 없어.
QUEST_LV_0400_20161212_000637	{nl}Saya ragu dia akan khawatir jika kamu mencari - cari.{nl} Bisakah kamu mendapatkan kotak itu untuk saya?	{nl}그대라면 그 애송이도 그렇게까지 경계하지 않겠지.{nl}내 대신 그 장난감 상자를 되찾아 줄 수 있겠는가?
QUEST_LV_0400_20161212_000638	{nl}Saya ingin bawa ke adik saya sakit.	{nl}병 중에 있는 내 형에게 가져다 주고 싶다.
QUEST_LV_0400_20161212_000639	Bagus.{nl}Saya akan mempertimbangkan untuk bicara dengan anak itu apabila kamu sudah mendapatkan kotak itu	좋아.{nl}상자만 되찾아 준다면 내 그 애송이와의 대화를 고려해 보지.
QUEST_LV_0400_20161212_000640	{nl}Saya kira pohon tersebut masih memiliki tanda ketika kita masih muda tapi...{nl} Dari keadaan pohon - pohon didekatnya, saya berfikir bahwa pohon itu tertutup lumut.	{nl}나무는 나와 형님이 키를 재던 상처가 아직 남아있으리라 생각되지만..{nl}다른 나무들 상태를 보면 그 나무도 단단한 이끼로 뒤덮여 있으리라 생각된다.
QUEST_LV_0400_20161212_000641	{nl}Cairan Red Colimen memiliki sifat asam yang kuat jadi harus mengumpulkannya dahulu. {nl} Setelah itu, pergi dan lumuri lumut yang ada pada pohon - pohon dan periksalah tanda tersebut.	{nl}붉은 콜리멘의 체액은 강한 산성을 띄고 있으니 먼저 그 체액을 모으도록.{nl}그리고 내가 알려주는 나무의 이끼를 모두 녹이고 상처를 확인하라.
QUEST_LV_0400_20161212_000642	{nl}Jika kamu menemukan pohon dengan tanda, galilah bawahnya untuk mendapatkan kotaknya.	{nl}그 나무가 상처가 있는 나무가 맞다면 땅을 파 상자를 찾아보도록 하라.
QUEST_LV_0400_20161212_000643	Pergi dan singkirkan lumut dari pohon di Atmintis banyak pohon dengan tanda tersebut.{nl} gali di bawahnya dan dapatkan kotaknya.	아트민티스 공터로 가 나무의 이끼를 녹이고 상처 있는 나무인지 확인하도록.{nl}그리고 그 땅 밑에 묻힌 상자를 파내서 가져오도록 하라.
QUEST_LV_0400_20161212_000644	Ini membawa kenangan.{nl} Ini sama saat saya ingat jika itu berada sangat dekat.{nl} Saya akan mendengarkan permintaan kamu sejak menjadikan ini sebuah kesepakatan.	그립구나. {nl}색이 좀 바랬을지언정 어렸을 때 기억하던 그대로로군.{nl}그대가 내 부탁들을 모두 들어주었으니 나도 약속을 지켜야겠지.
QUEST_LV_0400_20161212_000645	{nl} Saya akan mengirim seseorang ke Joquvas. {nl} Saya tidak akan menekan lebih keras jika anak Joquvas menolak untuk bicara.	{nl}요쿠바스 애송이쪽에 사람을 보내겠다.{nl}하지만 놈이 거절하면 나도 억지로 협상할 생각은 없으니 그리 알도록.
QUEST_LV_0400_20161212_000646	Lord Joquvas	영주 요쿠바스
QUEST_LV_0400_20161212_000647	Kamu adalah orang rendahan!{nl} Beraninya kamu bicara denganku.	천한 것!{nl}함부로 말 걸지 마라!
QUEST_LV_0400_20161212_000648	Jika kamu memiliki Urusan waktu berharga untuk saya. Biacarakan ini pada Roberta.	내게 용건이 있다면 로베르타를 통해서 전달하도록 하라.
QUEST_LV_0400_20161212_000649	Roberta mengatakan ini baik baik saja untuk didengarkan jika itu tidak mempengaruhi keputusan saya. {nl} Oleh karena itu, Saya akan mendengarkan apa yang kamu katakan.	로베르타가 말하기를 결과가 정해져 있어도 일단 상대의 얘기 정도는 들어줘도 좋다는군.{nl}그래서 일단 뭐라고 떠드는지 들어보기로 했다.
QUEST_LV_0400_20161212_000650	Jika para pengungsi ingin menerima bantuan saya, tidak benar-benar mengenali saya sebagai pemilik sah tanah ini pertama?	피난민들이 정말 내 도움을 원한다면 먼저 내가 이곳의 주인임을 인정하는 것이 순서 아닌가?
QUEST_LV_0400_20161212_000651	Kamu harus bicara melalui saya apabila ada yang ingin kamu katakan kepada Lord Joquvas.	요쿠바스님에게 드릴 말씀이 있다면 먼저 저를 거쳐야 합니다.
QUEST_LV_0400_20161212_000652	Saya telah diajarkan oleh raja sejak masih muda	영주님이 어릴 적부터 교사로 많은 것을 가르쳐드린 몸입니다.
QUEST_LV_0400_20161212_000653	{nl} karena itu, saya memiliki kepercayaan mutlak.{nl} Kamu harus meyakinkan saya memerintah sebagai raja.	{nl}그런 만큼 영주님은 저를 신뢰하고 계시죠.{nl}영주님을 설득하시려면 먼저 저를 설득하셔야 될 겁니다.
QUEST_LV_0400_20161212_000654	Saya menepati jadnji saya. {nl} Saya akan meyakinkan raja dalam memerintah untuk dapat berbicara dengan pihak lain.	약속은 지킵니다.{nl}영주님께서 저쪽과 대화하시도록 손 쓰겠습니다.
QUEST_LV_0400_20161212_000655	Namun, Saya tidak mengerti. {nl} Mengapa petualang sangat tertarik untuk membantu permintaan para pengungsi?	그런데 이해가 안 가는군요.{nl}어째서 단순한 여행자가 피난민들의 부탁에 이토록 열심히 나서는 거지요?
QUEST_LV_0400_20161212_000656	{nl}Ini tidak seperti kamu seorang Savior atau apa.	{nl}당신이 무슨 구원자도 아니지 않습니까?
QUEST_LV_0400_20161212_000657	Tentu saja, akan ada ada keraguan tentang tanah ini milik keluarga Joquvas...{nl} Tapi saya kira tidak ada pilihan lain selain berubah seiring dengan waktu.	원래대로라면 이곳은 요쿠바스 가문의 영지임이 틀림없겠습니다만..{nl}세상이 뒤바뀌었으니 그에 맞춰가는 것도 어쩔 수 없겠죠.
QUEST_LV_0400_20161212_000658	Saya akan meyakinkan raja untuk lebih memperhatikan para pengungsi tentang batasan baru yang akan diselsaikan.	새로운 경계가 정해지면 이제 피난민들에게 좀 더 신경 쓰도록 영주님께 건의하겠습니다.
QUEST_LV_0400_20161212_000659	Joquvas Guard	요쿠바스의 호위병
QUEST_LV_0400_20161212_000660	Bicaralah pada Robertas jika kamu punya urusan lain.	용무가 있다면 로베르타님에게 말씀 드리도록.
QUEST_LV_0400_20161212_000661	Awas kau jika berani mendekati Lord Joquvas!	요쿠바스 영주님께 함부로 다가가지 마라!
QUEST_LV_0400_20161212_000662	Orang apa ini? { nl} Sudah saya bilang kembalilah!	뭐지, 이 천한 자는?{nl}썩 물러가지 못할까?
QUEST_LV_0400_20161212_000663	Silahkan tenangkan diri.{nl} Hey petualang, kamu harus melalui saya jika kamu mempunyai urusan apapun dengan raja.	진정하세요, 영주님.{nl}거기 여행자님, 영주님께 말씀드릴 것이 있다면 먼저 저를 거쳐야 합니다.
QUEST_LV_0400_20161212_000664	Saya pegawai paling rendah hati tuan raja, Roberta.{nl}Apa urusanmu?	저는 요쿠바스 영주님의 충직한 신하 로베르타라고 합니다.{nl}무슨 일이시죠?
QUEST_LV_0400_20161212_000665	Siapa yang kamu pikir dapat berbicara dengan raja?{nl} Bicara pada Roberta jika kamu memiliki urusan lain!	감히 누구에게 말을 붙이는가?{nl}할 말이 있다면 로베르타를 통해서 하거라!
QUEST_LV_0400_20161212_000666	Tidak ada yang bisa langsung datang untuk berbicara dengan raja kita. {nl} kamu harus dilihat layak diperhatikan sebelum saya mengatakan padanya kamu punya urusan.	아무나 저희 영주님을 뵙진 못합니다.{nl}먼저 자격을 갖추시면 제가 용건을 전해드리도록 하죠.
QUEST_LV_0400_20161212_000667	{nl} Hal ini tidak terlalu sulit. {nl} Cukup pergi dan tangani beberapa pesky Red Colimen dan saya akan mempertimbangkan permintaan kamu.	{nl}크게 어려운 일은 아닙니다.{nl}붉은 콜리멘을 처치하고 오시면 제가 특별히 인정해 드리죠.
QUEST_LV_0400_20161212_000668	pergi dan tangani Red Colimen. {nl} Saya akan mendengarkan kamu setelah itu selesai.	제가 부탁 드린 수만큼 붉은 콜리멘을 처치하고 오세요.{nl}용건은 그 다음에 듣도록 하죠.
QUEST_LV_0400_20161212_000669	Baik.{nl}Sekarang, akan kita dengarkan apa yang ingin kamu bicarakan?	수고하셨습니다.{nl}이제 어떤 일로 찾아오셨는지 들어볼까요?
QUEST_LV_0400_20161212_000670	negosiasi dengan perwakilan dari Lord Ryudhas... Kamu telah memberikan saya tugaas yang menjengkelkan. {nl} Raja kami malu dengan fakta bahwa dia sedang menghadapi seorang pria yang bahkan bukan seorang raja yang sebenarnya.	리우다스 영주대리님과의 협상이라.. 곤란한 문제를 들고 오셨군요.{nl}저희 요쿠바스 영주님은 정식 영주도 아닌 분과 대립하는 것 자체를 수치스러워하고 계십니다.
QUEST_LV_0400_20161212_000671	{nl}Namun, Saya tidak berfikir kita dapat mengabaikannya. {nl} Saya tidak berfikir para pengungsi mengakui raja yang sebenarnya baik.	{nl}하지만 마냥 무시할 수도 없겠네요.{nl}게다가 피난민들은 진짜 주인이 누군지도 깨닫지 못하는 것 같고..
QUEST_LV_0400_20161212_000672	{Nl} Saya kira bahwa kita perlu menunjukkan bukti yang lebih kuat. {Nl} Jika kamu membawa saya apa yang saya minta dari kamu, saya akan mempertimbangkan meyakinkan raja kita untuk mendengarkan kamu.	{nl}아무래도 보다 명확한 증거를 보여줄 필요가 있겠어요.{nl}제가 말씀드릴 물건을 가져와 주신다면 대화만이라도 하실 수 있도록 제가 영주님을 설득해보죠.
QUEST_LV_0400_20161212_000673	Kamu dapat melihat reruntuhan dekat Arcmnys Lake.{nl} dulunya adalah kediaman para tukang kebun.	아크메니스 호숫가 근처로 가시면 건물잔해들을 보실 수 있을 겁니다.{nl}과거 우리 영지의 관리인이 머물던 거처의 흔적이죠.
QUEST_LV_0400_20161212_000674	{nl} harus ada benda disekitar sana dengan segel dari keluarga Joquvas.{nl} Kami tidak dapat kesana karena pasukan Ryudhas, Jadi bisakah kamu kesana dan mengambilnya.	{nl}잔해를 찾아보면 요쿠바스 가문의 문장이 남아있는 물건이 있을 겁니다.{nl}우리 쪽 사람들은 리우다스 영주 쪽 사람들에 막혀서 갈 수 없으니 당신이 찾아주셔야겠어요.
QUEST_LV_0400_20161212_000675	Mencari benda-benda milik keluarga Jacques dekat reruntuhan di Arcanys Lake.	아크메니스 호숫가 근처의 잔해에서 요쿠바스 가문의 물건을 찾아 보세요.
QUEST_LV_0400_20161212_000676	itu adalah... sebuah perisai.{nl} Saya dapat pastikan disana ada segel dari keluarga Joquvas.	그것은.. 방패로군요.{nl}확실히 요쿠바스 가문의 문장이 그려져 있네요.
QUEST_LV_0400_20161212_000677	{nl}Sangat baik, tapi ini sepertinya tidak cukup.{nl} saya percaya kamu harus membantunya dengan tugas lain sebelum saya mengenali kamu sebagai saksi.	{nl}수고하셨습니다만 이 정도로 될까 싶기도 하군요.{nl}아무래도 한 가지 더 도와주셔야겠습니다.
QUEST_LV_0400_20161212_000678	Keluarga Joquvas selalu menyiapkan Monumen yang terbuat dari batu. {Nl} Kami akan dapat membuat para pengungsi menerima keluarga Joquvas sebagai penguasa yang sah.	요쿠바스 가문은 영지에 돌로 된 기념비를 항상 세웠습니다.{nl}기념비들을 찾을 수 있다면 피난민들을 납득시킬 증거가 될 겁니다.
QUEST_LV_0400_20161212_000679	{nl} Kami telah menemukan beberapa tempat yang diyakini sebagai monumen, tapi kita tidak bisa pergi kesana.{nl} kita tidak bisa memindahkan pasukan yang menjaga raja kita karena semua monster.	{nl}있을 만한 위치는 확인했지만, 갈 수가 없었어요.{nl}영주님을 몬스터로부터 보호하기 위해 따로 병사를 뺄 수가 없었거든요.
QUEST_LV_0400_20161212_000680	{Nl} Kami tidak tahu kapan tentara dari Ryudhas mungkin menyerang juga ...	{nl}게다가 리우다스 영주대리 쪽 병사들이 언제 나타날 지도 모르고..
QUEST_LV_0400_20161212_000681	{nl} Dilihat dari manapun, kamu cukup terampil untuk melindungi saya jika kamu menemani saya saat saya menyelidiki Monumen.{nl} Apakah kamu keberatan menemani saya?	{nl}보아하니 당신과 함께라면 제가 각 기념비를 조사하는 동안 보호를 받을 수 있을 것 같군요.{nl}저와 함께 기념비들을 찾아 주시겠어요?
QUEST_LV_0400_20161212_000682	Bagus. Kami harus memeriksa Paccituche Trail. Skalda Road dan Cliffs Lifetime, {nl} dapatkah kita pergi sekarang?	좋습니다. 기념비는 각각 파키투시 오솔길, 스칼다 돌길, 라이프타이 절벽에 있을 겁니다.{nl}그럼 가보실까요?
QUEST_LV_0400_20161212_000683	Kerja bagus. {nl} Para pengungsi akan tau siapa sebenarnya pemilik dari tanah ini.	고생 많으셨습니다.{nl}피난민들도 이제 우리 쪽이 진짜 이 땅의 주인임을 알게 되겠죠.
QUEST_LV_0400_20161212_000684	{nl} Ah... Aku akan mencoba dan berbicara pada raja tentang apa yang kamu katakan pada saya. {nl} janji adalah janji	{nl}아.. 말씀하신 부분은 제가 영주님께 잘 말씀 드려보겠습니다.{nl}약속은 약속이니까요.
QUEST_LV_0400_20161212_000685	{nl} Namun, Kami hanya akan setuju dengan percakapan sederhana.{nl} Tidak ada keraguan dalam kenyataan bahwa tanah ini milik keluarga Joquvas.	{nl}하지만 염두에 두실 것은 어디까지나 그저 대화만 나눈다는 겁니다.{nl}이곳이 요쿠바스 가문의 영지라는 것은 너무나 명백해 협상의 여지 따윈 없으니까요.
QUEST_LV_0400_20161212_000686	Ada sedikit masalah.	그런데 문제가 있어요.
QUEST_LV_0400_20161212_000687	{nl}Sebelum kamu kembali, Para bangsawan mulai bernegosiasi di sana.{nl}Meskipun suasana tidak begitu menyenangkan…	{nl}여행자님이 돌아오기 전에, 두 영주 분이 이 옆 공터로 와서 협상을 시작했어요.{nl}하지만 아무래도 분위기가 좋지 않아요.
QUEST_LV_0400_20161212_000688	{nl}Aku rasa mungkin kamu ingin pergi dan melihatnya.	{nl}가 보시는 게 좋겠어요.
QUEST_LV_0400_20161212_000689	Para bangsawan meeting disekitar.	이 옆 공터에서 두 영주님들이 만나고 있더라고요.
QUEST_LV_0400_20161212_000690	Aku rasa aku melupakan sesuatu yang sangat penting ketika aku berfokus pada tanah ini.{nl}Kami, Ryudhas family, akan mendukung para pengungsi di sini dengan seluruh kemampuan yang kami miliki.	영토싸움에 눈이 멀어 중요한 걸 잊고 있었던 것 같군..{nl}리우다스 가문에 걸고 이 곳의 피난민들을 적극 지원하겠다.
QUEST_LV_0400_20161212_000691	Aku tidak menyangka para monster akan begitu kuat.{nl}Apakah mereka tidak serius menyerang kita selama ini?	몬스터들이 이 정도로 막강했을 줄은 몰랐군.{nl}그 동안은 제대로 덤벼오지 않았었단 말인가..?
QUEST_LV_0400_20161212_000692	Aku tidak menyukainya, tapi aku rasa aku tidak punya pilihan karena kita telah memutuskan pada batas-batasan baru.{nl}Tidak akan ada lagi pertempuran dengan Ryudhas family.	내키지는 않지만 경계를 새로 정한 이상 어쩔 수 없지.{nl}더 이상 리우다스 가와 싸우지 않겠다.
QUEST_LV_0400_20161212_000693	Roberta seharusnya tahu bagaimana mengurus para pengungsi.{nl}Aku akan mendengarkan saran Roberta seperti biasanya.	로베르타라면 피난민들을 잘 보살펴 줄 방법을 알고 있을 거야.{nl}나는 언제나처럼 로베르타의 조언대로 따를 뿐이다.
QUEST_LV_0400_20161212_000694	Anak buahku... Semuanya telah tewas!{nl}Aku berutang nyawa kepadamu.	부하들이 모두 당할 줄이야..!{nl}그대 덕에 간신히 목숨을 건졌다.
QUEST_LV_0400_20161212_000695	{nl}Terima kasih.	{nl}감사할 따름이야.
QUEST_LV_0400_20161212_000696	Aku tidak pernah menyangka para monster akan begitu kuat!{nl}Terima kasih para Goddess aku tidak membawa Roberta bersamaku.	몬스터들이 이 정도로 강했었단 말인가?{nl}로베르타를 데려오지 않아서 천만다행이었군.
QUEST_LV_0400_20161212_000697	Ya... Ini bukan saatnya bagi kita untuk berdebat atas tanah ini.{nl}Kita berjuang bersama-sama dan melawan para monster.	그래.. 요즘 같은 시절에 우리끼리 영지 다툼을 할 때가 아니었어.{nl}서로 힘을 합쳐 몬스터들의 위협에 맞서야 하는 것을..
QUEST_LV_0400_20161212_000698	Seperti yang telah kamu katakan kepadaku.{nl}Kami dapat berfokus untuk memerintah tanah kami semenjak batas telah ditetapkan.	그대의 말 대로다.{nl}새로운 경계를 지정해 더 이상 다투지 않는다면 각자의 영역을 다스리는 데 집중할 수 있겠지.
QUEST_LV_0400_20161212_000699	Selagi aku juga berpikir itu adalah tanah keluargaku...{nl}Aku kira kita harus tahu kapan waktunya untuk mundur dalam situasi seperti itu.	확실히 이 곳은 우리 가문의 영지라고 생각하지만..{nl}이런 상황에서는 양보도 할 줄 알아야겠지.
QUEST_LV_0400_20161212_000700	{nl}Ah.{nl}Aku akan bernegosiasi dengan Ryudhas mengenai batas-batasan baru.	{nl}어쩔 수 없군.{nl}새로운 경계에 대해 리우다스 쪽과 협의하도록 하지.
QUEST_LV_0400_20161212_000701	Negosiasi telah berakhir.{nl}Kami telah memutuskan untuk menggunakan jalan ini sebagai batasannya.	논의가 끝났다.{nl}이 지역의 가운데 길을 중심으로 새로이 경계선을 지정하기로 했다.
QUEST_LV_0400_20161212_000702	{nl}Kami telah memutuskan untuk mengurus para pengungsi sekarang karena konflik telah terselesaikan.	{nl}더 이상의 분쟁 없이 우선 피난민들을 챙기기로 결정했다.
QUEST_LV_0400_20161212_000703	Anak itu lebih ramah dari yang aku duga.{nl}Kami telah memutuskan untuk merawat para pengungsi semenjak batas baru telah ditetapkan.	버릇없고 고집불통인 젊은이인줄 알았는데 생각보단 말이 통하더군.{nl}이제 새로운 경계선이 생겼으니 각자가 피난민들을 챙기기로 하였네.
QUEST_LV_0400_20161212_000704	Kami akan memasang notifikasi pada batasan baru.{nl}Aku rasa memasangnya satu di Pastoghe Bend, Collegia Crossing dan Paccituche Trail sudah cukup.	이제 새로운 경계선이 지정되었음을 알리는 표지판을 세우도록 하겠네.{nl}파스토게 굽이길, 콜리지야 교차로, 파키투시 오솔길 정도면 되겠지.
QUEST_LV_0400_20161212_000705	{nl}Kamu telah melakukan yang terbaik sebagai mediator.{nl}Aku berjanji bahwa aku akan mengurus para pengungsi.	{nl}그대가 가운데서 고생이 많았군.{nl}앞으로 영주로서 피난민들을 구제하는 데 신경을 쓰도록 내 약속하지.
QUEST_LV_0400_20161212_000706	Aku tidak menyukai hasilnya, tapi apa yang bisa kulakukan?{nl}Ryudhas juga memiliki beberapa poin penting dalam argumen mereka.	썩 마음에 드는 결과는 아니지만 어쩔 수 없지.{nl}듣고 보니 리우다스쪽 입장도 일리가 있더라고.
QUEST_LV_0400_20161212_000707	Kukheri Tribe dan para demon...{nl}Membuat Investigasi Syla Forest menjadi jauh lebih berbahaya.	쿠케리 부족들에 이어 마족까지 나타나다니..{nl}실라 숲의 조사가 매우 어려워졌네요.
QUEST_LV_0400_20161212_000708	Apa yang aku coba lakukan, menyangkut kehidupan orang banyak.{nl}Namun ini..., sangat sulit.Aku akan sangat menghargai bila aku mendapatkan bantuan tapi…	제가 하려는 일은 많은 이들의 생존이 달린 중요한 일입니다.{nl}하지만 굉장히.. 힘들군요. 도움이라도 받을 수 있다면 좋겠습니다만..
QUEST_LV_0400_20161212_000709	Aku tidak percaya aku mendapat bantuan dari Revelator disini. Seolah-olah para goddess tidak ingin menelantarkan Kerajaan ini.	여기서 계시자님의 도움을 받게 되다니 여신들께서는 아직 왕국을 버리지 않으신 것 같군요.
QUEST_LV_0400_20161212_000710	Aku rasa ilmu pengetahuan kuno dari Taniel Royal Mausoleum akan membantu rekonstruksi kerajaan.	타니엘 2세의 왕릉에 잠들어 있다는 고대 지식들은 왕국을 재건하는 데에 도움이 될 것입니다.
QUEST_LV_0400_20161212_000711	Vhalterris adalah demon yang kuat dan berbahaya.{nl}Aku ragu orang lain selain Revelator akan mampu mengalahkan Vhalterris.	발테리스는 끈질기고도 강력한 마족이었습니다.{nl}계시자님이 아니었으면 과연 그 누가 있어 그 자를 쓰러뜨릴 수 있었을까요.
QUEST_LV_0400_20161212_000712	Seharusnya tidak ada apa pun di Taniel Second Royal Mausoleum yang membuat para demon ingin pergi kesana…	타니엘 2세의 왕릉에 마족들이 노릴만한 것은 없을 텐데..
QUEST_LV_0400_20161212_000713	{nl}Aku tidak bisa memahami apa yang mereka inginkan disana...{nl}Hanya untuk mengganggu rekonstruksi Kerajaan? Mengasumsikan bahwa Revelator akan berada di sana?	{nl}그들의 목적이 무언지 모르겠군요.{nl}왕국을 재건하려는 인간들의 방해? 아니면 계시가 있다고 믿고 있어서?
QUEST_LV_0400_20161212_000714	Hmm?{nl}Kamu pasti cukup terampil sehingga bisa sampai sejauh ini.	음?{nl}이런 곳까지 오시다니 상당히 실력 있으신 여행자님이시네요.
QUEST_LV_0400_20161212_000715	{nl}Namaku Indraja, seorang adventurer.{nl}Aku menerima permintaan untuk pergi dan menyelidiki tempat-tempat di mana para pengungsi bisa tinggal selagi Kerajaan direkonstruksi.	{nl}저는 모험가인 인드라야라고 합니다.{nl}왕국 재건을 위해, 피난민들이 머물 수 있을 만한 곳을 조사해 달라는 의뢰를 받았지요.
QUEST_LV_0400_20161212_000716	{nl}Aku tidak pernah menyangka aku akan bertemu demon di sini.{nl}Pengawalku, Marcus, terluka saat melindungiku.	{nl}그런데 이런 곳에서 마족과 마주칠 줄은 몰랐네요.{nl}저를 지켜주시다가 제 경호원인 마르커스씨도 부상을 입고 말았어요.
QUEST_LV_0400_20161212_000717	{nl}Aku ingin mencegah para monster semakin mendekat.{nl}Bisakah kamu membantu kami?	{nl}우선 근처에 몬스터들이 접근 못하도록 막고 싶습니다.{nl}부탁이니 저희를 도와주실 수 있을까요?
QUEST_LV_0400_20161212_000718	Terima kasih.{nl}Kami memercikan cairan yang tidak disukai oleh Kugheri Tribe, tapi itu tampaknya tidak cukup.{nl}Kami memiliki cukup bahan-bahan untuk membuat lebih banyak lagi, tetapi kami kehabisan air.	감사합니다. {nl}주변에 쿠게리 부족이 싫어하는 용액을 뿌려놓긴 했는데 양이 아무래도 부족하네요.{nl}만드는 재료는 있지만 녹일 물이 없습니다.
QUEST_LV_0400_20161212_000719	{nl}Konon bahwa Syla Dandelion memiliki embun pada bunganya.{nl}Bisakah kamu mengumpulkan embun dari bunganya?	{nl}이 주변에서 자라는 실라 민들레는 그 꽃봉오리에 이슬을 가득 머금고 있다지요.{nl}부탁이니 실라 민들레 이슬을 모아다 주세요.
QUEST_LV_0400_20161212_000720	Tolong bawakan dew dari Syla Dandelions.	실라 민들레의 봉오리에 담겨있다는 이슬을 모아다 주세요.
QUEST_LV_0400_20161212_000721	Terima kasih.{nl}Kami akan bisa istirahat dengan tenang, terima kasih.	감사합니다.{nl}이것으로 한시름 놓을 수 있겠어요.
QUEST_LV_0400_20161212_000722	{nl}Meskipun ini agak menggangu…Tapi Aku harus bertanya... {nl}Melihat penampilan dan kemampuanmu, apakah kamu seorang Revelator?	{nl}그런데 그 차림새와 실력.. 너무나 실례인 것은 알지만.. 여쭤봐야겠어요.{nl}혹시, 계시자님이 아니신가요?
QUEST_LV_0400_20161212_000723	Kupikir aku benar.{nl}Aku telah mendengar banyak cerita.	역시 짐작대로군요.{nl}명성은 익히 들어 알고 있습니다.
QUEST_LV_0400_20161212_000724	{nl}Ini sebuah kehormatan.{nl}Jika kamu seorang Revelator, Aku harus memberitahumu tentang misi sebenarnya.	{nl}영광입니다.{nl}계시자님이시라면 저도 진짜 목적을 밝혀야겠군요.
QUEST_LV_0400_20161212_000725	Marcus	마르커스
QUEST_LV_0400_20161212_000726	Jangan mendekat...!{nl}Orang ini sedang dalam tugas penting!	함부로 이 분께 다가가지 마라..!{nl}중요한 임무를 맡고 계신 귀한 분이다!
QUEST_LV_0400_20161212_000727	Kukheri Tribe...{nl}Mereka semakin hari semakin kuat...	쿠케리 부족 놈들.. {nl}예전의 놈들에 비해서 너무 강력해졌어..
QUEST_LV_0400_20161212_000728	Aku dengar banyak rumor...{nl}Aku berharap kamu akan menolong...	당신의 소문은 나도 들어 알고 있소..{nl}나 대신 이 분을 도와주시기 바라오..
QUEST_LV_0400_20161212_000729	Kamu terkenal dipercaya oleh orang-orang...{nl}Kamu berhak bergelar trust of Royalty jika menolong dalam tugas ini.	당신은 이미 사람들의 신뢰를 받고 있지..{nl}이 일을 돕는다면 왕실 관계자들의 신뢰 또한 두터워질 것이오..
QUEST_LV_0400_20161212_000730	Biar aku perkenalkan diriku kembali.{nl}Aku bukan seorang adventurer.	다시 소개하겠습니다.{nl}전 모험가는 아닙니다.
