QUEST_20150317_000001	Pilih user untuk memodifikasi quest.	퀘스트 수정이 필요한 유저를 선택해주세요.
QUEST_20151116_002915	Ah! Kali ini adalah Beef Jerky yang dicuri oleh Ferret.{nl}Ferret sungguh menyukai Beef Jerky rupanya. Coba carilah Beef Jerky yang dicuri dan kotorilah itu.	아! 이번에 페릿이 훔쳐간 건 육포에요.{nl}페릿은 육포를 굉장히 좋아하거든요. 훔쳐간 육포를 찾아서 반드시 오염시켜주세요.
QUEST_20151116_002916	Demon yang tidak diketahui namanya	이름 모를 마족
QUEST_20151116_002917	Kejar!!{nl}Jangan sampai ia bertemu dengan Savior!	추격해!!{nl}절대 계시자와 만나게 해선 안 된다!
QUEST_20151116_002918	Akhirnya ketemu!{nl}Ternyata Ferret juga berguna rupanya.	드디어 찾았다!{nl}페릿 녀석들도 쓸모가 있군.
QUEST_20151116_002919	Apakah ada seekor serangga yang merayap..{nl}habisilah orang itu sesuka kalian.	벌레가 한 마리 꼬인 건가.. {nl}저 녀석은 알아서 처리해라.
QUEST_20151116_002920	Berhenti! {nl}jika kamu bisa datang sampai sini, maka kau bukan serangga biasa rupanya.{nl}	멈춰라! {nl}이곳까지 오다니 보통 벌레가 꼬인 건 아닌가 보구나.{nl}
QUEST_20151116_002921	karena dikuasai rasa takut, kaki serasa membeku.{nl}Kalau tidak beraninya seorang manusia berpikir untuk bisa menerima kampakku.{nl}	겁에 질려 다리가 얼어붙은 것인가.{nl}아니면 감히 인간 따위가 내 도끼를 받아낼 수 있을 거라 생각하는 건가?{nl}
QUEST_20151116_002922	Kalau begitu, kalian akan kukirimkan kalian kepada Goddess yang kalian kagumi!	그렇다면 네 녀석들이 그토록 좋아하는 여신의 품으로 보내주겠다!
QUEST_20151116_002923	Jangan berpikir ini akhirnya..{nl}Kalian jangan pikir dapat mengalahkanku untuk menolong Lada!	끝이라고 생각하지 마라.. {nl}네 녀석이 라다를 구하도록 내버려둘 거라 생각하지 말란 말이다!!
QUEST_20151116_002924	Oke..{nl}Itu akan kau hancurkan dengan tanganmu…{nl}	그래..{nl}네 녀석 손에 부숴질 바에야..{nl}
QUEST_20151116_002925	Akan kuhabisi semuanya dengan kekuatan Kruvina!	크루비나의 힘으로 전부 짓뭉개버리겠다!!
QUEST_20151116_002926	Apa yang kau lakukan..Beholder..{nl}ini adalah bukan sesuatu yang dapat kau atasi!!	뭐하는 짓이냐.. 주시자..{nl}이건 네가 상관할 바가 아니란 말이다!!
QUEST_20151116_002927	Dasar bodoh..{nl}Apakah kau lupa akan tugas dari Giltine!{nl}	이 멍청한..{nl}길티네님의 임무를 잊은 것이냐?{nl}
QUEST_20151116_002928	Ini bukan kekuatan yang dapat kau atasi.{nl}	이건 네가 감히 감당할 수 있는 힘이 아니다.{nl}
QUEST_20151116_002929	Tetapi Savior itu..{nl}ternyata sungguh perlu disingkirkan rupanya.{nl}	하지만 저 계시자는.. {nl}확실히 제거할 필요가 있겠군.{nl}
QUEST_20151116_002930	Zaura.{nl}Kesalahan akan lalai dalam bertugas akan kugantikan dengan kepala dari Savior.{nl}	자우라.{nl}임무를 망각한 죄는 저 계시자의 목으로 대신하겠다.{nl}
QUEST_20151116_002931	Nah.Ini adalah kekuatan yang diturunkan oleh Giltine kepadamu.{nl} kekuatan ini cukup kuat walaupun bukan Kruvina.{nl}{nl}	자. 길티네님께서 네게 내려주신 힘이다.{nl}이 힘이라면 크루비나가 아니라도 충분할 것이다.{nl}{nl}
QUEST_20151116_002932	Barusan itu.. Anak perempuan?{nl} benar?{nl}	방금 그건.. 여자아이?{nl}맞죠?{nl}
QUEST_20151116_002933	Apakah cahaya yang aneh itu..{nl}Entah apa yang terjadi?{nl}	그 이상한 빛은 또 뭐고.. {nl}도대체 무슨 일이 일어난 거죠?{nl}
QUEST_20151116_002934	..Pertama kembali ke desa, dan harus memberitahu bahwa Ferret telah muncul.{nl}terima kasih telah menolongku.	..일단 마을로 돌아가서 페릿이 나타났다고 알려야겠어요.{nl}구해주셔서 고맙습니다.
QUEST_20151116_002935	Kumohon aku harus berdoa agar perkiraanku tepat.{nl}Duh, kamu tahu Bonfire harus dinyalakan dengan kayu bakar kan?{nl}	제발 제 예상이 맞길 여신께 기도해야겠어요.{nl}참, 모닥불은 장작으로 피워야 되는 거 아시죠?{nl}
QUEST_20151116_002936	Demon Goddess Giltine	마신 길티네
QUEST_20151116_002937	Laima's Wings..{nl}Dilihat kapanpun selalu indah..	라이마의 날개..{nl}언제 봐도 아름답군요..
QUEST_20151116_002938	Tetapi warna itu tidak kusuka.	하지만 색이 마음에 들지 않네요.
QUEST_20151116_002939	Lihat.{nl}Bagian merah sudah pasti lebih cantik…	봐요.{nl}붉은 쪽이 훨씬 더 아름다운걸요..
QUEST_20151116_002940	Kau menyesal kan?{nl}aku dapat merasakannya. Karena kita saudara..	후회하고 있지요?{nl}난 느낄 수 있어요. 우린 자매니까..
QUEST_20151116_002941	Apakah sakit sekali?{nl} Sedih?	많이 아파요?{nl}슬픈가요?
QUEST_20151116_002942	Kau... benci aku?	내가.. 미운가요?
QUEST_20151116_002943	Tunggu sebentar.{nl} Segera… orang itu akan segera bangun.	조금만 기다려요.{nl}곧.. 그 분이 깨어나실 거예요.
QUEST_20151116_002944	Rasa sakit dan sedih.. Putus asa..{nl}semua hal akan disampaikan kepadanya…	그 고통과 슬픔.. 절망.. {nl}모든 것이 그 분 안에서 전부 사그라들테니까..
QUEST_20151116_002945	Tolong…{nl}Tolong penyelamat.. Halangilah Giltine..	구해주세요.. {nl}제발 계시를.. 길티네를 막아주세요..
QUEST_20151116_002946	Terdengar suara memanggilku entah darimana.	어디선가 나를 부르는 목소리가 들린다.
QUEST_20151116_002947	Cara untuk mempurifikasi tanah..{nl}Hal itu dibandingkan aku, sepertinya para Priest lebih mengetahuinya deh.	대지를 정화하는 방법이라..{nl}그런 건 저보단 성직자분들이 잘 알지 않을까 싶은데요.
QUEST_20151116_002948	Aku tahu cara untuk mempurifikasikan Demon.{nl}	마족을 정화하는 방법은 내가 알고 있지.{nl}
QUEST_20151116_002949	Pertama kita harus menahan nafas. Bagaimanapun tidak boleh sampai mencolok.{nl}Lalu berikutnya pergi hampiri diam-diam dari belakang…{nl}	일단 숨을 참아야 해. 아무도 눈치채지 못하게 말야.{nl}그다음에 등 뒤로 조용히 다가가는 거지..{nl}
QUEST_20151116_002950	Ini..Cara untuk mempurifikasi tanah, bukan demon ?{nl}Kalau begitu harusnya pergi menemui druid dahulu. Nomor rumahnya salah.	이런. 마족이 아니라 대지를 정화하는 방법이라고?{nl}그런 거라면 드루이드 마스터를 찾아갔어야지. 번지수가 틀렸어.
QUEST_20151116_002951	Kau butuh kekuatanku?{nl} Biayanya cukup mahal loh. Apakah pekerjaan itu sungguh bernilai?{nl}	내 힘이 필요하다고?{nl}댓가는 좀 비싼데. 그만한 가치가 있는 일인가?{nl}
QUEST_20151116_002952	Sebentar.. Cara untuk mempurifikasi tanah?{nl}lihat ini.. Aku adalah Merchant. Hal seperti itu cobalah cari tahu di tempat lain.	잠깐.. 대지를 정화하는 방법?{nl}이봐.. 나는 용병이라고. 그런 건 딴데 가서 알아봐.
QUEST_20151116_002953	jika kamu datang mencari cara mempurifikasi tanah, kau salah datang kesini.{nl} mau dilihat bagaimanapun, sepertinya Druid Master sudah pasti tahu lebih baik kan?	대지를 정화하는 방법이라면 잘못 찾아왔어.{nl}아무리 봐도 저기, 드루이드 마스터가 잘 알 것 같지 않아?
QUEST_20151116_002954	Ferret berpura-pura mati pada kondisi darurat.	페릿은 위급한 상황에는 죽은 척을 하는 것 같다.
QUEST_20151116_002955	Ferret memiliki rasa ingin tahu tinggi, sehingga memakan apapun yang dilihatnya pertama kali.	페릿은 호기심이 많아 처음 보는 것은 일단 먹어보는 것 같다.
QUEST_20151116_002956	Bertatapan mata dengan Ferret yang sedang berkeliling di sekitar. Sepertinya terlihat bosan.	주위를 두리번 거리는 페릿과 눈이 마주쳤다. 심심해하는 것 같다.
QUEST_20151116_002957	Karena Ferret termasuk mahluk malam, sehingga dia sering tertidur di siang hari.	페릿은 야행성이라 낮에는 잠을 자는 경우가 많은 것 같다.
QUEST_20151116_002958	Ternyata tidak sesuai perkiraaan bahwa sepertinya Ferret tidak menyukai buah.	페릿은 생각보다 과일을 별로 좋아하지 않는 것 같다.
QUEST_20151116_002959	Kalau menyentuh totem Ferrer menjadi lebih kuat.{nl}Ferret! Manusia Menang!	토템 만지면 페릿 강해져.{nl}페릿! 인간 이긴다!
QUEST_20151116_002960	Buah membesar!{nl}Manusia penakut kabur!{nl}	과일 커졌어! {nl}겁쟁이 인간 도망쳐!{nl}
QUEST_20151116_002961	Manusia tidak layak!{nl}Ferret mengusirnya!{nl}	인간 자격 없어! {nl}페릿이 쫓아낸다!
QUEST_20151116_002962	Demon katanya membantu Ferret.{nl}Membuatnya lebih kuat katanya!{nl}	마족이 페릿 돕는댔어.{nl}강하게 해 준댔어!{nl}
QUEST_20151116_002963	Demon berkata untuk menjaga.{nl}Manusia!Tidak bisa datang mendekat!{nl}	마족이 지키라고 했어.{nl}인간! 가까이 못 와!{nl}
QUEST_20151116_002964	Kalau begitu demon. Ferret akan terus bantu!	그러면 마족. 페릿 계속 도와!
QUEST_20151116_002965	Ferret ini sepertinya tidak berpikir untuk bicara denganku.	이 페릿은 나와 대화할 생각이 없는 것 같다.
QUEST_20151116_002966	Wanita kecil pergi berlari ke arah Zeraha tanpa berbicara. Mari coba ikuti.	소녀는 말 없이 제라하 쪽으로 뛰어갔다. 따라가보자.
QUEST_20151116_002967	Di tempat ini sepertinya tidak ada Beef Jerky.	이 곳에 육포는 없는 것 같다.
QUEST_20151116_002968	Di keranjang ini sepertinya tidak ada apapun selain buah.	이 바구니에는 과일 밖에 보이지 않는다.
QUEST_20151116_002969	Sepertinya bukan keranjang ini.	이 바구니가 아닌 것 같다.
QUEST_20151116_002970	Wanita kecil sepertinya datang mengikuti.	소녀가 따라오라고 하는 것 같다.
QUEST_20151116_002971	Black Soul	검은 영혼
QUEST_20151116_002972	Ketika bermaksud untuk membakar Jiwa Hitam dari Demon, terasa sesuatu kekuatan yang tak diketahui mengalir keluar.	마족의 검은 영혼을 불태우자 알 수 없는 힘이 흘러들어오는 게 느껴진다.
QUEST_20151116_002973	Terdengar suara bisikan agar roh diantarkan sampai ke Altar.	영혼 제단으로 데려가 달라는 속삭임이 들린다.
QUEST_20151116_002974	Apakah kamu telah mendapatkan semuanya?	다 구하셨나요?
QUEST_20151116_002975	Aku telah berpikir untuk pergi menyelamatkan teman saja…{nl}tetapi terhalang oleh bocah kuat itu.	동료를 구하러 올거라고 생각은 했다만..{nl}엉뚱한 녀석이 걸려들었군.
QUEST_20151116_002976	Kamu mengelilingi penjara yang kukuasai ini rupanya{nl}Aku tidak tahu apakah kau Savior yang dibicarakan oleh Giltine.{nl}Tetapi Savior pun hanya seorang manusia biasa rupanya.. Tidak dapat melawan pada Marnox ini!	너는 내가 지배하는 이 감옥 안에서 잘도 돌아다니는 구나{nl}길티네님이 말씀하신 계시자일지도 모르겠군.{nl}하지만 계시자도 한낱 인간일뿐.. 이 마르녹스에겐 대항할 수 없다!
QUEST_20151116_002977	Janganlah membuang waktuku.	네게 시간을 허비할 순 없지.
QUEST_20151116_002978	Kalau segini cukuplah.	이 정도면 충분하겠지.
QUEST_20151116_002979	Mengumpulkan Bracken Herb.	고사리 약초 채집 중
QUEST_20151116_002980	Telah mendapatkan Bracken Herb.	고사리 약초 획득했습니다!
QUEST_20151116_002981	Telah mendapatkan Herb!	약초 획득했습니다!
QUEST_20151116_002982	Bakar Box yang berisi Bracken	고사리가 든 상자 태우기
QUEST_20151116_002983	Telah membakar box yang berisi Bracken	고사리가 든 상자를 태웠습니다
QUEST_20151116_002984	Sedang mencari Relic	유품 찾는 중
QUEST_20151116_002985	Telah menemukan Relic	유품을 찾았습니다
QUEST_20160218_002986	Toras	토라스
QUEST_20160218_002987	Berikan nama untuk companionmu.	컴패니언 이름을 정해줘.
QUEST_20160218_002988	Deep Underground Prison	깊숙한 지하감옥
QUEST_20160218_002989	Deep Underground Prison (Rekomendasi LV : 217){nl}Hanya kamu dan anggota party kamu yang dapat memasukinya{nl}Apa kamu yakin ingin masuk?	깊숙한 지하감옥(권장레벨:217)으로, 당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.{nl}입장하시겠습니까?
QUEST_20160218_002990	Demon Prison Guild	염원의 비석로
QUEST_20160218_002991	Demon Prison Guild (Rekomendasi Lv : 115){nl}Hanya kamu dan anggota party kamu yang dapat masuk bersama.{nl}Apakah kamu yakin ingin masuk?	염원의 비석로(권장레벨:115)으로, 당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.{nl}입장하시겠습니까?
QUEST_20160218_002992	Aku bertugas mengatur permintaan kecil. {nl}Silahkan, datang kepadaku setiap saat.	소소한 의뢰는 제가 담당하고 있어요.{nl}가끔 들러주시면 저야 환영이지요.
QUEST_20160218_002993	Ah, ya, Aku akan sangat menghargainya.{nl}	아, 그래 주신다면 정말 감사하겠습니다.{nl}
QUEST_20160218_002994	Blacksmith Zaras	대장장이 자라스
QUEST_20160218_002995	Equipment Merchant Dunkel	장비 상인 던켈
QUEST_20160218_002996	Item Merchant Mirina	잡화 상인 미리나
QUEST_20160218_002997	Mereka mengatakan bahwa Holy Relic dibuat untuk melindungi revelation.{nl}Inilah yang kamu butuhkan untuk memancing gesti keluar dan mengalahkannya.	치유의 성물은 본디 계시를 지키려고 만들어진 거란다.{nl}이걸로 제스티를 유인해서 해치우는 것이지.{nl}
QUEST_20160218_002998	Accessory Merchant Ronesa	악세서리 상인 로네사
QUEST_20160218_002999	Belum lama ini saya mendengar bahwa berkat Saviorpara demon gagal mengusik Mage Tower.{nl}Kalau saja itu aku, aku akan memastikan tidak akan ada yang berani berpikir untuk melakukannya.{nl}	얼마 전에 나타난 계시자 덕분에 마족들이 마법사의 탑을 손에 넣는 데 실패했다고 들었습니다.{nl}하지만 저라면 처음부터 그 누구도 감히 넘볼 수 없도록 준비했을 겁니다{nl}
QUEST_20160218_003000	Sehingga apa yang terjadi pada keluargaku tidak akan pernah terulang kembali.	제 본가처럼 되지 않도록요.
QUEST_20160218_003001	Blacksmith Anna	대장장이 안나
QUEST_20160218_003002	Accessory Merchant Joana	악세서리 상인 요아나
QUEST_20160218_003003	Aku tahu kita bisa menghalangi para demon dengan kekuatan para Goddess .{nl}Tapi, saya tidak pernah menduga Giltine menggunakan kekuatan Divine Tree...{nl}	마족들이 무얼 하던 우리 여신들의 힘으로 충분히 막을 수 있을 줄 알았습니다.{nl}하지만 길티네가 신수를 이용했을 줄이야..{nl}
QUEST_20160218_003004	Kutukan yang jahat. {nl} Mari kita lihat mana yang lebih kuat. kKutukan Naktis atau pemurnian Goddess '.	그 저주 한 번 참 고약하군요.{nl}어디. 나크티스의 저주가 더 강한지 여신의 정화부가 더 강한지 두고 볼까요?{nl}
QUEST_20160218_003005	Tentu saja aku punya purifier. {nl}Tapi aku tidak akan memberikannya kepadamu sampai kamu menawariku uang.	물론 그 정화부는 제가 가지고 있습니다.{nl}하지만 약간이라도 헌금이라는 정성은 있어야 하지 않을까요?
QUEST_20160218_003006	Itu memalukan.	안타깝군요.
QUEST_20160218_003007	Para Goddess meninggalkan beberapa tugas kepada Paladin pertama.{nl}Ancaman Demon Queen Gesti, adalah misi dengan prioritas tinggi.{nl}	여신께선 초대 팔라딘님께 여러 가지를 남기셨네.{nl}마왕 제스티의 위협이라던가, 지켜야 할 사명이라던가..{nl}
QUEST_20160218_003008	Juga menyebutkan bahwa seorang savior akan datang.{nl}	그 중엔 구원자가 올 것이라는 말씀도 있었지.{nl}
QUEST_20160218_003009	Tapi itu sungguh mengagumkan, Patung Goddess Ausrine yang berada di Klaipeda.{nl} Ia mampu membawa Kamu ke manapun Kamu inginkan meskipun itu bukan Goddess Vakarine.	그런데 이상한 건 클라페다의 아우슈리네 여신상 말입니다. {nl}바카리네 여신도 아닌데 원하는 곳으로 보내줄 수 있다는군요.
QUEST_20160218_003010	Jika Kamu bertanya kepadaku Bokor itu apa, Aku akan menggambarkannya sebagai berikut:{nl}Seorang perantara yang berdiri di antara kehidupan dan kematian.	삶과 죽음 사이에 선 중개업자.{nl}보코르가 무엇이냐고 묻는다면 그렇게 표현할 수 있겠지요.
QUEST_20160218_003011	Market Manager Logi	마켓 관리인 로지
QUEST_20160218_003012	Kematian menjauh dariku setiap kali patung Spirit-Leading Owl diberdiri.{nl} Bahkan dalam tubuh tua dan lemahku ini, jika saya masih bisa membantu dunia dengan kekuatan para Goddess ,{nl}Itulah yang saya harus terus lakukan…	영혼을 인도하는 부엉이 조각상을 세울 때 마다 죽음은 내게서 멀어진다오.{nl}이 늙은 몸이라도 여신께 힘이 되고 세상에 도움이 된다면 언제까지고 계속해야 하겠지..
QUEST_20160218_003013	Apakah kamu tertarik untuk hidup abadi?{nl}Kami, para Necromancers, berpikir sebaliknya. Kami berurusan dengan mereka yang jantungnya tidak lagi berdetak.{nl}	자네도 영생에 관심이 있는 건가?{nl}우리 네크로맨서들은 호흡이 없는 자를 다루니 거꾸로 생각하면 쉬운 일이지.{nl}
QUEST_20160218_003014	Market Manager Molun	마켓 관리인 몰른
QUEST_20160218_003015	Terima kasih karena telah menyelamatkan kami dari siksaan yang menakutkan itu.{nl}Ambil beberapa kekuatan dariku juga.	이 끔찍한 일에서 구해주셔서 고마워요.{nl}작지만 제 힘도 받아가주세요.
QUEST_20160218_003016	Saya percaya kamu tidak akan membawa lari dan mengambil kekuatan kami?{nl} Kami hanya berbagi kekuatan ini denganmu karena itu adalah perintah Owl Chief.	혹시나 저희들의 힘만 받아서 이대로 도망치는 건 아니겠죠?{nl}대장 부엉이님이 부탁한 일이니 일단 힘은 나눠드릴테지만요.
QUEST_20160218_003017	Belum lama semenjak kesadaran saya kembali, saya takut hanya ini kekuatan yang saya miliki...{nl}Saya harap ini akan berguna untukmu.	아직 정신을 되찾은 지 얼마 되지 않아서 가진 힘은 이것 밖에 없지만..{nl}이 정도 힘이라도 도움이 되시길 바랄게요.
QUEST_20160218_003018	Jurus, maafkan aku karena tidak mampu memenuhi perintahmu.{nl}Kami telah kehilangan Dalmore Castle.{nl} Apa yang kami lihat disana adalah pemandangan yang luar biasa mengerikan.{nl} Para demon... Mereka mulai memburu orang-orang.{nl}	유르스님, 명령을 완수하지 못해 정말 죄송합니다.{nl}델무어 성 지점은 망했습니다.{nl}아니, 차마 눈 뜨고 보지 못할 정도로 끔찍합니다.{nl}마족이.. 인간 사냥을 시작했습니다.{nl}
QUEST_20160218_003019	Aku melarikan diri, tapi kurasa, aku tidak akan bisa sampai ke Orsha.{nl}Jika seseorang menemukan surat ini, Tolong berikan kepada Jurus di Orsha...{nl}Tolong, junjung nama keluarga. Eras.	전 도망쳤지만, 살아서 오르샤에 닿기는 틀린 것 같습니다.{nl}누군가가 이 편지를 줍는다면, 오르샤의 유르스님께 전해 주시길..{nl}꼭 가문을 일으켜 주십시오. 에라스가.
QUEST_20160218_003020	Pertama-tama, magic haruslah kuat.{nl}Menggunakan mantra yang kuat untuk melepaskan sihir yang kuat adalah basic.{nl}Apa yang bisa kamu lakukan dengan sihir lemah?	마법이라면, 일단 강해야지.{nl}강한 마력이 강한 마법을 쓸 수 있게 하는 건 기본이야.{nl}약해빠진 마력으로 뭘 할 수 있겠어?{nl}
QUEST_20160218_003021	Untuk menjadi mage yang kuat, Kamu tidak boleh berdiam diri dan mengabaikan latihan.{nl}Nah, mungkin kamu akan bisa mengejar orang-orang berbakat seperti saya.	너도 강한 마법사가 되고 싶다면 수련을 게을리 하면 안돼.{nl}뭐 그렇다고 해도 나처럼 재능있는 사람을 따라잡을 수 있을지는 모르겠지만.
QUEST_20160218_003022	Sangat penting untuk menjaga pikiran tetap tenang ketika menggunakan magic.{nl}Bukan hanya kamu tidak dapat menggunakan magic ketika kehilangan ketenanganmu,{nl}Kamu mungkin juga akan jatuh kedalam bahaya.{nl}	마법을 사용할 때는 차분한 마음가짐을 유지하는 게 중요합니다.{nl}평정심을 잃는다면 마법을 제대로 사용할 수 없을 뿐 아니라 자신이 위험에 빠질 수도 있죠.{nl}
QUEST_20160218_003023	Pengguna magic harus menjaga pikiran dan hati mereka tetap tenang setiap saat.	마법을 다루는 자라면 머리도 가슴도 항상 차가워야 합니다.
QUEST_20160218_003024	Kontrol yang baik diperlukan untuk magic tingkat tinggi.{nl}Sebuah kesalahan kecil dapat menyebabkan hal yang fatal.{nl}	고위 마법일수록 섬세한 제어가 필요하네.{nl}사소한 실수가 치명적인 결과를 낼 수도 있지.{nl}
QUEST_20160218_003025	Kamu tidak boleh melupakan hal ini ketika kamu mulai lebih terampil dan menangani beragam jenis magic.	자네가 실력이 늘어서 많은 마법을 다루게 될 수록 이 점을 잊으면 안되네.
QUEST_20160218_003026	Sebuah saran dari saya?{nl}Sebagai seorang Linker, kamu harus memiliki perspektif yang luas dan pikiran yang terbuka.{nl}	제가 해드릴 수 있는 조언이요?{nl}링커로서 말하자면 넓은 시야를 가지라고 하고 싶네요.{nl}
QUEST_20160218_003027	Ada banyak kasus dari para mage yang menggunakan magic.{nl}Tanpa memeriksa keadaan disekitar mereka karena ingin mengeluarkan magic sesegera mungkin.{nl}	간혹 마법을 사용하는 사람들을 보면.. {nl}당장 자신의 마법을 사용하는데 급급해서 주위를 살피지 못하는 경우가 있어요.{nl}
QUEST_20160218_003028	Tidak hanya harus memerhatikan diri sendiri dan musuhmu,{nl} tetapi kamu juga harus berkerja sama dengan rekan-rekanmu.	자신은 기본이고 적도 신경써야 하지만 함께 싸우는 동료들도 항상 머리속에 있어야 해요.{nl}
QUEST_20160218_003029	Jika Kamu tidak merencanakan dampak dari magic-mu ke depan,{nl}Kamu tidak berbeda dengan para tentara pemula yang mengayunkan pedang ke sekitar dengan sembarangan.	자신의 마법이 어떤 영향을 줄지 항상 생각해야 해요.{nl}그렇지 않는다면 마구잡이로 무기만 휘두르는 초보들과 다를 바가 없죠.
QUEST_20160218_003030	...Setelah begitu banyak kejadian besar dan prestasi yang luar biasa, Zerai akhirnya bertemu dengan orang-orang{nl}dimana ia bisa mempelajari supernatural power yang tersimpan didalam dirinya.{nl}Pada akhirnya mereka bertemu dengan magician group yang dikenal sebagai Mage Society.{nl}	..이렇게 대형 사고와 엄청난 위업을 여러 번 일으킨 제라이는 결국 자신에게 발현한 초능력의 정체를 함께 연구할 사람들을 찾게 됩니다.{nl}그러다 보니 마법사들의 모임인 마법협회의 문을 두들기게 되었지요.{nl}
QUEST_20160218_003031	Mage Society menemukan bahwa kekuatan Zerai tidaklah eksklusif,{nl}dan bisa dipelajari oleh siapa pun tanpa memandang kondisi mereka.{nl}Sangat banyak seperti magic itu sendiri. {Nl}	그들은 제라이의 능력이 특정한 조건을 갖춘 사람이 아니라 누구나 배울 수 있는 가능성이 있다는 것을 알게 됩니다.{nl}마치 마법처럼요.{nl}
QUEST_20160218_003032	Itulah bagaimana Zerai bisa menjadi anggota resmi dan Psychokino Master pertama{nl} yang diakui oleh Mage Society.{nl}Tentu saja, pada saat itu, ia menyatakan bahwa ia tidak menyangka akan menjadi pendiri{nl}dari cabang magic yang baru.	그렇게 제라이는 마법협회의 정식 회원이자 초대 사이코키노 마스터로 인정받게 됩니다.{nl}물론 그 당시에는 자신이 마법의 한 학파의 시조가 되리라는 건 본인도 모르고 있었다고 합니다.
QUEST_20160218_003033	...Dengan demikian, ketika magic Psychokino ini bermanifestasi, maka hasilnya adalah identik,{nl}namun sebenarnya ada dua cara hal ini bisa terjadi.{nl}Cara pertama adalah dengan menyatukan materialisasi kekuatan supernatural ke dalam bentuk mantra biasa.{nl}	..그러므로 사이코키노의 마법이 대상에게 발휘될 때 나타나는 결과는 동일하지만, 실제로는 두 가지 방식으로 발현된 있다는 점을 알아야 한다.{nl}첫 번째는 일반적인 마력의 응용으로 초능력을 실체화하는 것이다.{nl}
QUEST_20160218_003034	Cara lainnya sangat tidak biasa, salah satunya yang memang berasal dari cabang magic tersebut.{nl} Ini hanya bisa terjadi pada orang-orang berbakat yang memiliki manifestasi kekuatan supernatural secara alami.{nl}	나머지 하나는 매우 특이한 사례이자 이 계통의 마법이 성립하게 된 원류가 된 경우로 몇몇 타고난 능력자들이 자신의 초능력을 자연적으로 실체화하는 것이다.{nl}
QUEST_20160218_003035	Zerai mungkin adalah master pertama dari magician yang berbakat,{nl}tetapi fakta membuktikan bahwa mereka yang lahir tanpa kekuatan seperti itu{nl}dapat mencapai hasil yang sama melalui latihan magic secara rutin.	이런 능력자들은 초대 마스터인 제라이 이래 가끔 출현하였지만, 이런 선천적인 발현이 없어도 일반적인 마법 학습으로 동일한 결과를 만드는 일이 가능하다는 것은 이미 누구나 알고 있는 사실이다.
QUEST_20160218_003036	...Dengan jatuhnya dunia ke dalam malapetaka, Ili Terid, master yang bangga membawa pencapaian{nl}dari Psychokinos sebelumnya, mempercayai bahwa catatan sejarah sebelum Medzio Diena{nl}merupakan tugas yang sangat penting dan memutuskan untuk membuat catatan pena dengan tangannya sendiri.{nl}	..세계가 재앙을 맞이한 상황에서 나 일리 테리드는 선대 사이코키노들의 업적을 짊어진 마스터로써 신수의 날 이전의 역사를 기록하는 일이 중요하다고 보아 펜을 들게 되었다.{nl}
QUEST_20160218_003037	Membantu mereka yang lahir dengan kemampuan besar ini agar tidak menyakiti keluarga dan orang terdekat mereka ketika latihan dan membimbing arah magic mereka merupakan pekerjaan paling penting yang harus dilakukan oleh seorang master sejak awal.{nl}	드물게 선천적으로 강한 정신력을 지니고 태어나 그것을 실체화하는 사람들이 뜻하지 않게 가족과 이웃에 피해를 끼치는 일을 예방하고 마법의 길로 이끌어주는 일은 초대로부터 지금까지의 마스터들이 해야 할 가장 중요한 일이라 하겠다.{nl}
QUEST_20160218_003038	Tampaknya tugas sesederhana ini belum dilakukan secara benar, malapetaka akan terjadi dari desa-desa kecil hingga Medzio Diena.	이 작아 보이는 일이 제대로 되지 않았다면 세상에 미쳤을 화는 작은 마을 단위에서 신수의 날까지 못지 않았을 것이다.
QUEST_20160218_003039	...Manusia bisa mengalami permasalah psikologis karena berfokus pada hal yang sama terlalu lama; ini terjadi bukan hanya karena magic tetapi juga dari hal-hal yang umum.{nl}Khusus para magician di Mage Tower... Mereka hanya ingin bersaing dengan para magician lain, selalu berfokus pada pencapaian pendahulu mereka, kemungkinan ini akan sangat besar terjadi pada mereka.{nl}	..오랜 시간 한 가지 일에 정진하는 사람들이게 심리적인 문제가 발생할 수 있다는 것은 굳이 마법학 뿐만 아니라 일반적으로도 쉽게 발생하는 문제이다.{nl}특히나 마법사의 탑의 마법사들.. 수많은 마법사들과 함께 경쟁하면서 선대가 남겨 놓은 위대한 업적을 매일 바라보는 입장이라면 더욱 그러할 것이다.{nl}
QUEST_20160218_003040	Jadi siapa yang harus bertanggung jawab mengendalikan dan mencegah masalah para magician ini?{nl}Tanpa kami Psychokinos yang mengawasi mereka, para magician dapat dengan mudah mengalami kegilaan, dan mereka cukup kuat, tidak ada yang mengetahui hal-hal apa yang bisa mereka lakukan di Mage Tower atau di luar sana.{nl}Antares merupakan salah satu magician yang kuat...{nl}	그렇다면 심리적인 문제들을 제어하고 예방할 수 있는 동료 마법사의 역할을 과연 누가 감당해야 할 것인가.{nl}우리 사이코키노들이 그들을 돌보지 않는다면 틀림없이 광기에 휘둘리는 마법사가 출현할 것이고, 행여 그가 강력한 마법사라면 마법사의 탑이나 세상에 나가 무슨 일을 저지를 지 알 수 없다.{nl}실제의 사례로 안타레스가 강력한 힘에 눈이 멀어..{nl}
QUEST_20160218_003041	(Rak buku The rusak.)	(책장이 찢어져 있다.)
