QUEST_LV_0200_20150317_000001	Philip's Soldiers	필리파스 직속 부대원
QUEST_LV_0200_20150401_005896	Mengenai hubungan guards dan farmers	사병들과 농부들의 관계에 대해
QUEST_LV_0200_20150401_005897	Bangun/KICKBOX/0.5/TRACK_BEFORE/None	깨우는 중/KICKBOX/0.5/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005898	Jika segitu aku bisa membantu	그 정도는 돕겠다고 한다
QUEST_LV_0200_20150401_005899	Aku sibuk jadi aku menolak	바쁘니까 그냥 가겠다고 한다
QUEST_LV_0200_20150401_005900	Periksa magic circle/LOOK_SIT/1/TRACK_BEFORE/None	마법진을 살펴 보는중/LOOK_SIT/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005901	Notice/!/Hancurkan jewel untuk memperkuat magic circle #10	Notice/!/주변에 나타난 보석을 해체해야 마법진을 강화 할 수 있습니다#10
QUEST_LV_0200_20150401_005902	Notice/!/Kumpulkan evil force dari monsters kedalam botol kosong yang diberikan Limas lalu kuburlah di sebelah magic circle!#5	Notice/!/리마스가 준 빈 병에 몬스터의 사악한 기운을 모아 마법진 양 옆에 묻으세요!#5
QUEST_LV_0200_20150401_005903	Mengenai Spell Power device dan crops	마력 동력 장치와 곡식에 대해
QUEST_LV_0200_20150401_005904	Memeriksa warehouse/LOOK/1/TRACK_BEFORE/None	창고를 살펴 보는 중/LOOK/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005905	Memeriksa magic circle/LOOK_SIT/1/TRACK_BEFORE/None	마법진을 살펴 보는 중/LOOK_SIT/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005906	Spraying poison/STANDSPINKLE/1/TRACK_BEFORE/None	독약을 뿌리는 중/STANDSPINKLE/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005907	Memeriksa magic circle/LOOK_SIT/1/TRACK_BEFORE/None	마법진 살펴 보기/LOOK_SIT/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005908	Notice/!/Bawalah monsters di dekat magic circle dan habisi!#5	Notice/!/마법진 주변으로 몬스터를 끌고 와서 처치하세요!#5
QUEST_LV_0200_20150401_005909	Notice/!/Kalahkan monsters lalu hancurkan box!#5	Notice/!/갑자기 나타난 몬스터들을 물리치고 상자를 부숴 보세요!#5
QUEST_LV_0200_20150401_005910	Notice/!/Buatlah wooden hammer untuk membuka liquor barrel!#5	Notice/!/술통을 열 나무망치를 만들어 오세요!#5
QUEST_LV_0200_20150401_005911	Adakah yang bisa aku bantu?	도와 줄 일이 없는지 물어 본다
QUEST_LV_0200_20150401_005912	Perjalananku masih panjang jadi aku harus bergegas pergi	갈 길이 머니 그만 떠난다고 한다
QUEST_LV_0200_20150401_005913	Mengenai apa yang kamu lakukan disini	여기서 하고 있는 일에 대해
QUEST_LV_0200_20150401_005914	Mengenai persiapan yang kamu lakukan	준비하고 있는 일에 대해
QUEST_LV_0200_20150401_005915	Lighting fire/FIRE/1/TRACK_BEFORE/None	불 붙이는 중/FIRE/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005916	Positive Evidence (3)	긍정적 증거(3)
QUEST_LV_0200_20150401_005917	Meletakkan Goddess Statue pada magic cicle/SITGROPE_LOOP/2/TRACK_BEFORE/None	마법진에 여신상을 올려 놓는 중/SITGROPE_LOOP/2/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005918	Notice/Pergilah ke field dan periksa crops!#5	Notice/이제 옆 밭으로 가서 작물을 확인 해 보세요!#5
QUEST_LV_0200_20150401_005919	Mengenai leader's role	리더가 하는 일에 대해
QUEST_LV_0200_20150401_005920	Aku akan mendapatkan leather	가죽을 구해 오겠다고 한다
QUEST_LV_0200_20150401_005921	Aku akan mendapatkan bantuan dari tenat farmers	소작농들의 협조를 구한다고 한다
QUEST_LV_0200_20150401_005922	Aku akan pergi sekarang	이제 가 보겠다고 한다
QUEST_LV_0200_20150401_005923	Apakah banyak kasus seperti ini?	이런 일이 많으냐고 물어 본다
QUEST_LV_0200_20150401_005924	Aku akan membereskannya	녀석을 해치워주겠다고 한다
QUEST_LV_0200_20150401_005925	Aku takut. Aku tidak ingin	무서워서 싫다
QUEST_LV_0200_20150401_005926	Menendang pagar/KICKBOX/1/TRACK_BEFORE/None	울타리를 발로 차는 중/KICKBOX/1/TRACK_BEFORE/None
QUEST_LV_0200_20150401_005927	Completed Preparations	이제 준비는 끝났다
QUEST_LV_0200_20150401_005928	Dengarkan kisahnya	이야기를 들어 본다
QUEST_LV_0200_20150401_005929	Cukup selesai	할 만큼 했다
QUEST_LV_0200_20150401_005930	Aku tidak akan berhadapan dengan Demon	마족과는 거래를 하지 않겠다고 한다
QUEST_LV_0200_20150401_005931	Aku akan melakukan itu	그렇게 하겠다고 한다
QUEST_LV_0200_20150401_005932	Mengenai Velnias Prison	마족 수감소에 대해
QUEST_LV_0200_20150401_005933	Mengenai Demon Monarch Blut	마군주 블룻에 대해
QUEST_LV_0200_20150401_005934	Mengenai Kupole	큐폴에 대해
QUEST_LV_0200_20150401_005935	Semua telah siap	준비가 되었다고 한다
QUEST_LV_0200_20150401_005936	Notice/Pergi ke Velnias Prison 2nd Area dan temui Kupole Medeina!	Notice/마족수감소 2구역으로 이동하여 큐폴 메데이나를 만나세요!
QUEST_LV_0200_20150401_005937	Beritahu bagaimana aku bisa membantu	도울 방법을 알려 달라고 한다
QUEST_LV_0200_20150401_005938	Mengenai barrier of Goddess	여신의 결계에 대해
QUEST_LV_0200_20150401_005939	Terdengar berbahaya	그건 좀 위험할 것 같다고 한다
QUEST_LV_0200_20150401_005940	Mengenai Demon Monarch Nuaele	마군주 누아엘레에 대해
QUEST_LV_0200_20150401_005941	Aku akan membantu proses interogasi	심문을 돕겠다고 한다
QUEST_LV_0200_20150401_005942	Semua akan baik-baik saja	별 일 없을 거라고 한다
QUEST_LV_0200_20150401_005943	Mengenai hubungan dari Hauberk dan Nuaele	하우벅과 누아엘레와의 관계에 대해
QUEST_LV_0200_20150401_005944	Aku akan menghilangkan celah kecil	작은 전이 틈새를 제거하겠다고 한다
QUEST_LV_0200_20150401_005945	Mengenai strength yang sangat kuat	강력한 힘에 대해
QUEST_LV_0200_20150401_005946	Aku akan melindunginya	꼭 지켜주겠다고 한다
QUEST_LV_0200_20150401_005947	Aku tidak bisa menanganinya	감당할 수 없을 것 같다고 한다
QUEST_LV_0200_20150401_005948	Sepertinya bukan ide yang bagus	좋은 방법이 아닌 것 같다고 한다
QUEST_LV_0200_20150401_005949	Aku tidak yakin bisa mengalahkan para demon itu	저 많은 마족을 처치할 자신이 없다고 한다
QUEST_LV_0200_20150401_005950	Ayo mulai ritualnya	의식을 시작하자고 한다
QUEST_LV_0200_20150401_005951	Aku akan mengumpulkan traces of crossover	전이의 흔적을 모아 오겠다고 한다
QUEST_LV_0200_20150401_005952	Aku akan mengumpulkan Mark of Seal	봉인의 징표를 회수해 오겠다고 한다
QUEST_LV_0200_20150401_005953	Aku akan mengalahkan para demon itu	그 마족들을 저지하겠다고 한다
QUEST_LV_0200_20150401_005954	Aku akan mencari kenang-kenangan	유품을 찾아 보겠다고 한다
QUEST_LV_0200_20150401_005955	Aku akan mendapatkan kembali necklace	목걸이를 되찾아 주겠다고 한다
QUEST_LV_0200_20150401_005956	Aku akan mengalahkan demon yang mengamuk	난동을 부리는 마족을 처리하겠다고 한다
QUEST_LV_0200_20150401_005957	Aku akan mendapatkan claws	발톱을 회수해 오겠다고 한다
QUEST_LV_0200_20150401_005958	Mengenai Dionys	디오니스에 대해
QUEST_LV_0200_20150401_005959	Aku akan mengumpulkan Mark of Star	별의 징표를 모아 오겠다고 한다
QUEST_LV_0200_20150401_005960	Saya tidak memilikinya	그럴 시간은 없을 것 같다고 한다
QUEST_LV_0200_20150401_005961	Mungkin aku akan dimarahi oleh Goddess	여신께 혼날지도 모른다고 한다
QUEST_LV_0200_20150401_005962	Semua akan baik-baik saja	별 일 없을거라고 한다
QUEST_LV_0200_20150401_005963	Dia akan segera sembuh	금방 나을 것이라고 한다
QUEST_LV_0200_20150401_005964	Aku membutuhkan lebih banyak waktu	조금만 더 시간을 달라고 한다
QUEST_LV_0200_20150401_005965	Pergilah ke Sergeant Tadas	사병장 타다스 찾아가기
QUEST_LV_0200_20150401_005966	Sergeant Tadas bilang tidak ada cukup tali untuk mengikat kantung sampah. {nl}Buru lah monsters dan dapatkan rough rope.	사병장 타다스는 쓰레기를 담을 자루를 묶을 끈이 부족하다면서 구해 오라고 합니다. 몬스터를 사냥하여 질긴 끈을 구해 오세요.
QUEST_LV_0200_20150401_005967	Berikan kepada Sergeant Tadas	사병장 타다스에게 전달
QUEST_LV_0200_20150401_005968	Kumpulkan cukup ropes. Berikan kepada Sergeant Tadas.	사병장 타다스가 원하는 만큼의 끈을 모두 구했습니다. 사병장 타아스에게 전해 주세요.
QUEST_LV_0200_20150401_005969	Dapatkan %s dari monster disekitar	주변의 몬스터로부터 %s 구하기
QUEST_LV_0200_20150401_005970	Bicara pada Sergeant Tadas	사병장 타다스와 대화
QUEST_LV_0200_20150401_005971	Sergeant Tadas masih memiliki permintaan padamu. Bicaralah lagi dengannya.	사병장 타다스는 아직 부탁할 것이 더 남은 것 같습니다. 사병장 타다스와 다시 대화해 보세요.
QUEST_LV_0200_20150401_005972	Bersihkan sack of garbage di Tbora way	트보라 가도의 쓰레기 자루 정리
QUEST_LV_0200_20150401_005973	Sergeant Tadas ada tempat dimana terdapat banyak sacks of garbage dan memintamu untuk mengurusnya. Pergilah kesana dan doronglah garbage menuju jurang.	사병장 타다스는 쓰레기 자루를 모아 둔 곳이 있다면서 그것들을 처리해 달라고 합니다. 그 곳으로 가서 쓰레기들을 벼랑으로 밀어버리세요.
QUEST_LV_0200_20150401_005974	Periksalah suspicious sack	수상한 자루 살펴보기
QUEST_LV_0200_20150401_005975	Bicaralah kepada man inside the sack	자루 속의 남자와 대화
QUEST_LV_0200_20150401_005976	Ada orang keluar dari sack! Bicara padanya untuk mengetahui apa yang terjadi.	자루에서 사람이 나왔습니다! 무슨 일인지 말을 걸어 봐야 될 것 같습니다.
QUEST_LV_0200_20150401_005977	Periksalah grassland	풀숲을 뒤져 보기
QUEST_LV_0200_20150401_005978	Kembalilah kepada Sergeant Tadas	사병장 타다스에게 돌아가기
QUEST_LV_0200_20150401_005979	Bicaralah pada Soldier Stephas	사병 스테파스와 대화
QUEST_LV_0200_20150401_005980	Dapatkan Scorpio venom dari Arable soil	개간 예정지에서 스콜피오의 독 받아오기
QUEST_LV_0200_20150401_005981	Kamu membutuhkan extract venom untuk membuat nuturitious tonic. Kalahkan sleeping Scorpio dan dapatkan venom darinya.	자양강장제를 만들 독을 추출해야 합니다. 자고 있는 스콜피오를 깨워 제압한 뒤 스콜피오의 독을 추출하세요.
QUEST_LV_0200_20150401_005982	Berikan kepada Soldier Stephas	사병 스테파스에게 전달
QUEST_LV_0200_20150401_005983	Telah mengumpulkan Scorpio venom. Berikan venom kepada Stephas.	스콜피오의 독을 충분히 모았습니다. 스콜피오의 독을 스테파스에게 가져다 주세요.
QUEST_LV_0200_20150401_005984	Kumpulkan Sweet Herb	스위트 허브 채집
QUEST_LV_0200_20150401_005985	Soldier Stephas memintamu untuk mendapatkan Sweet Herb sehingga lebih mudah bagi Dalius untuk meminum Nutritious tonic.	사병 스테파스는 달류스에게 자양강장제를 전해 줄 때 먹기 편하도록 스위트 허브 잎을 구해 같이 가져다 달라고 했습니다.
QUEST_LV_0200_20150401_005986	Berikan tonic pada Dalius di Shleik Trails	쉴레이크 숲길의 달류스에게 약 전해 주기
QUEST_LV_0200_20150401_005987	Berikan tonic pada Dalius	달류스에게 약 전달
QUEST_LV_0200_20150401_005988	Stephas memintamu untuk meletakkan Sweet Herb pada Nutritious Tonic dan mengantarkannya kepada Dalius.	사병 스테파스는 완성된 자양강장제에 스위트 허브를 넣어 달류스에게 전해 달라고 부탁했습니다.
QUEST_LV_0200_20150401_005989	Dalius bersikap aneh setelah meminum Nutritious tonic. Laporkan kepada Stephas.	달류스가 자양강장제를 마시고 나서 이상한 행동을 보였습니다. 아무래도 사병 스테파스에게 보고해야 할 것 같습니다.
QUEST_LV_0200_20150401_005990	Berikan unspoiled bread pada Dalius	달류스에게 상하지 않은 빵 전달
QUEST_LV_0200_20150401_005991	Marius memintamu untuk memberikan makanan kepada saudaranya, Dalius. Jika bread membusuh dijalan, buang saja dan dapatkan Bread baru dari Marius.	마류스는 동생인 달류스에게 빵을 전해 달라고 했습니다. 빵을 전하러 가는 길에 상하면 바로 버리고 다시 마류스에게 빵을 얻으세요.
QUEST_LV_0200_20150401_005992	Antarkan kepada Dalius	달류스에게 전달
QUEST_LV_0200_20150401_005993	Tiba di dekat Dalius dengan bread yang masih bagus. Berikan bread kepada Dalius.	빵이 상하지 않은 채로 달류스 근처에 도착했습니다. 빵을 달류스에게 전해 주세요.
QUEST_LV_0200_20150401_005994	Mengantarkan bread. Bicara pada Dalius lagi.	온전히 빵을 전했습니다. 달류스와 다시 대화해 보세요.
QUEST_LV_0200_20150401_005995	Dalius bilang ada asap yang membuat makanan jadi tersia-siakan. Lenyapkan asap itu dalam perjalanan kembali untuk Marius.	달류스는 근처에 이상한 연기가 있다며 음식이 상하는 이유는 그것 때문인 것 같다고 합니다. 마류스에게 돌아가는 김에 그 연기를 없애세요.
QUEST_LV_0200_20150401_005996	Menyingkirkan hal yang mengganggu. Beritahu Marius.	눈에 거슬리던 이상한 것들을 없앴습니다. 이 사실을 마류스에게 전해 주세요.
QUEST_LV_0200_20150401_005997	Dapatkan kembali seed pouch dari Tvora way	트보라 가도에서 씨앗 주머니 되찾기
QUEST_LV_0200_20150401_005998	Sepertinya Allerno's monsters mencuri seeds. Berikan seed pouch dari monsters disekitar Baron Allerno's territory.	아렐르노 남작령의 몬스터들이 씨앗을 빼앗아 간 모양입니다.  아렐르노 남작령 전역에서 나타나는 몬스터로부터 씨앗 주머니를 되찾아 오세요.
QUEST_LV_0200_20150401_005999	Berikan seed pouch kepada Marius.	되찾은 씨앗 주머니를 마류스에게 갖다 주세요.
QUEST_LV_0200_20150401_006000	Dapatkan %s dari monster disekitar	주변 몬스터로부터 %s 되찾기
QUEST_LV_0200_20150401_006001	Untuk memperkuat Magic Circle, buatlah monster mendekati Magic Circle dan mengalahkannya.	마법진을 강화 시키기 위해서는 몬스터들을 마법진 주변으로 끌고 와서 처치 해야 합니다.
QUEST_LV_0200_20150401_006002	Membuka box	상자 살펴 보기
QUEST_LV_0200_20150401_006003	Agak aneh saat melihat kotak di daerah ini. Pergi dan bukalah kotak itu.	저런 곳에 왜 상자가 있는지 이상합니다. 다가가 열어 보세요.
QUEST_LV_0200_20150401_006004	Menghancurkan box	상자 부수기
QUEST_LV_0200_20150401_006005	Monster muncul untuk mengganggu saat kamu mencoba membuka kotak! Hindari serangan monster dan bukalah kotak sebelum waktu habis!	상자를 열려고 하자 몬스터들이 나타나 방해하려고 합니다! 몬스터들의 공격을 피해 시간 내에 상자를 부숴서 열어 보세요!
QUEST_LV_0200_20150401_006006	Potongan kecil yang terlihat seperti bagian atas patung ada di dalam di kotak itu. Bawalah ke seseorang untuk mencari tahu apa itu.	부서진 상자에서 작은 석상의 상반신으로 보이는 조각이 나왔습니다. 이것을 누군가에게 가져 가 정체를 알아야 합니다.
QUEST_LV_0200_20150401_006007	Menghancurkan box	상자를 부수기
QUEST_LV_0200_20150401_006008	Joana ingin memeriksa kekuatan apa yang mengalir dari daerah tertentu. Kurangi HP Monster di bawah 50% lalu lihat bagaimana reaksinya terhadap kekuatan aneh di bawah Magic Circle.	특정 지역에 어떤 기운이 흘러 나오고 있는데, 요아나는 이 것이 어떤 것인지 검증하고 싶다고 합니다. 몬스터의 HP를 50% 이하로 만든 뒤 마법진 아래쪽에 있는 이상한 기운 한 가운데에 반응 시켜 봅시다.
QUEST_LV_0200_20150401_006009	Bawakan Goddess Statue	여신상을 받아 오기
QUEST_LV_0200_20150401_006010	Jonas menginginkan kekuatan Goddess. Sepertinya Joana memiliki jawaban untuk kekuatan Goddess. Temuilah Joana.	요나리스는 여신의 권능이 있었으면 하고 있습니다. 여신의 권능에 관해서는 요아나가 답을 가지고 있을 것 같습니다. 요아나를 만나러 가세요.
QUEST_LV_0200_20150401_006011	Tempatkan Goddess Statue di dalam Magic Circle	마법진에 여신상 올려 놓기
QUEST_LV_0200_20150401_006012	Tempatkan Goddess Statue yang kamu dapat dari Joana di atas Magic Circle.	요아나에게서 받은 여신상을 마법진에 올려 놓아 봅시다.
QUEST_LV_0200_20150401_006013	Periksa tanaman itu	작물들 확인
QUEST_LV_0200_20150401_006014	Magic Circle dan Goddess' Statue menghilang saat ditempatkan di Magic Circle. Periksa apa yang terjadi pada tanaman yang Jonaris khawatirkan dan beritahu dia tentang hal itu.	여신상을 마법진에 놓자, 여신상과 함께 마법진이 사라져 버렸습니다. 요나리스가 걱정하던 밭의 작물이 어떻게 되었는지 확인 한 뒤 요나리스에게 사실을 말 해 주세요.
QUEST_LV_0200_20150401_006015	Beritahu Jonaris bahwa Magic Circle dan Statue itu pecah saat Magic Circle menghilang, tanaman itu menjadi kembali normal.	마법진과 여신상이 깨졌고, 마법진이 사라지자 주변 밭의 작물이 정상화 되었다는 사실을 요나리스에게  전해 주세요.
QUEST_LV_0200_20150401_006016	Temukan leather itu	가죽 구하기
QUEST_LV_0200_20150401_006017	Kumpulkan leather yang Horacius perlukan untuk pemberontakan. Dapatkan dari Monster.	호라치우스의 거사를 돕기 위해 필요한 가죽을 모아 봅시다. 몬스터로부터 구할 수 있다고 합니다.
QUEST_LV_0200_20150401_006018	Berikan Leather itu kepada Horacius.	몬스터로부터 구한 가죽을 호라치우스에게 가져다 주세요.
QUEST_LV_0200_20150401_006019	Tarik keluar dan bawalah Niolle	니올레 뽑아 가기
QUEST_LV_0200_20150401_006020	Tauras saat ini bertanggung jawab atas persediaan makanan untuk pemberontakan. Tarik keluar dan bawalah Niolles untuk membantunya. Hati-hati karena Niolles perlu diselesaikan dengan akar agar dapat dimakan.	타우라스는 현재 거사를 위한 식량 수급을 담당하고 있다고 합니다. 그의 일을 돕기 위해 니올레를 뽑아 갑시다. 단, 니올레는 뿌리째 뽑아가야 식량으로서의 가치가 있으니 주의 하세요.
QUEST_LV_0200_20150401_006021	Niolle terkumpul. Bawakan kepada Tauras.	니올레를 충분히 확보했으니, 이제 타우라스에게 가져다 주세요.
QUEST_LV_0200_20150401_006022	Bicaralah bila kamu dapat membantu dalam hal apapun.	더 할 일이 없는지 의논 해 보세요.
QUEST_LV_0200_20150401_006023	Hancurkan Seal Magic Circle	봉인 마법진 부수기
QUEST_LV_0200_20150401_006024	Seal Magic Circle ditemukan di atas tanah. Jika kamu menyentuh Seal Magic Circle, akan menimbulkan kerusakan. Gunakan batu yang Albina berikan lalu lemparkan untuk manghancurkan Magic Circle.	휴경지에서 봉인 마법진이 발견 되었다고 합니다. 하지만 봉인 마법진을 건드리면 봉인 마법진의 효과 때문인지 피해를 입습니다. 알비나가 건네 주는 단단한 돌을 던져서 봉인 마법진을 깨 보세요.
QUEST_LV_0200_20150401_006025	Sepertinya Horacius ingin mengatakan sesuatu. Bicaralah kepadanya.	호라치우스가 할 말이 있는 것 같습니다. 찾아가 대화 해 보세요.
QUEST_LV_0200_20150401_006026	Dengarkan cerita Horacius.	호라치우스의 이야기를 끝까지 들어 주세요.
QUEST_LV_0200_20150401_006027	Kami akan membantu Hauberk sampai Goddess Vakarine ditemukan dan diselamatkan. Sekarang pergilah bersama Hauberk dan pergi ke Velnias Prison District 1!	여신 바카리네를 구할 때까지 마군주 하우벅과 함께 행동하기로 했습니다. 이제 마군주 하우벅을 데리고 마족수감소 1구역으로 향하세요!
QUEST_LV_0200_20150401_006028	Kalahkan para Demon yang sedang melakukan Ritual	의식을 진행중인 마족 처치
QUEST_LV_0200_20150401_006029	Kupole Audra memintamu mengalahkan Demon yang sedang melakukan Ritual agar Blut dapat melarikan diri dari Rituala Assembly Area.	큐폴 아우드라는 리투알라 집결지에서 블룻의 탈출을 돕기위해 의식을 행하고 있는 마족을 처치해달라고 부탁했습니다.
QUEST_LV_0200_20150401_006030	Ritual digagalkan. Kembali dan laporkan kepada Kupole Audra di Velnias Prison Jail Area.	블룻의 해방 의식을 방해하였습니다. 마족수감소 수형 구역의 큐폴 아우드라에게 돌아가 보고하세요.
QUEST_LV_0200_20150401_006031	Dapatkan secretion of Blut	블룻의 분비샘 획득
QUEST_LV_0200_20150401_006032	Kupole Audra meminta kita melemahkan pengaruh Blut ini. Ambillah Blut's Secretion dari Demon di Viejauler Basecamp.	큐폴 아우드라는 블룻의 영향력을 약화시킬 필요가 있다고 합니다. 볘아울러 근거지의 마족들에게서 블룻의 분비샘을 빼앗으세요.
QUEST_LV_0200_20150401_006033	Berikan kepada Kupole Audra	큐폴 아우드라에게 전달
QUEST_LV_0200_20150401_006034	Semua Secretion dari Demon terambil. Berikan kepada Kupole Audra di Velnias Prison Jail Area.	마족들에게서 블룻의 분비샘을 모두 빼앗았습니다. 마족수감소 수형 구역의 큐폴 아우드라에게 전해 주세요.
QUEST_LV_0200_20150401_006035	Masih banyak yang harus dilakukan untuk menghadapi Blut. Bicaralah dengan Kupole Audra.	마군주 블룻을 상대하려면 아직 해야 할 일이 남은 것 같습니다. 큐폴 아우드라와 대화하세요.
QUEST_LV_0200_20150401_006036	Bantulah Hauberk menyerap kekuatan Blut	하우벅이 블룻의 힘을 흡수하도록 돕기
QUEST_LV_0200_20150401_006037	Kupole Audra berkata bahwa kekuatan yang dikumpulkan Blut hanya bisa dikendalikan oleh Hauberk. Bantulah Hauberk menyerap kekuatan Blut dari Blut Altar di Concentrated Control Area.	큐폴 아우드라는 블룻이 모아놓은 힘은 같은 마족인 하우벅만이 다룰 수 있다고 합니다. 집중 관리 구역의 블룻의 제단에서 마군주 하우벅이 블룻의 힘을 흡수할 수 있도록 도와주세요.
QUEST_LV_0200_20150401_006038	Hauberk berhasil menyerap kekuatan Blut. Pergi dan bantulah Kupole Jidrone di Nujikalti Hall.	마군주 하우벅이 블룻의 힘을 흡수하는데에 성공했습니다. 누지칼티 전당에 있는 큐폴 지드로네를 도우러 가세요.
QUEST_LV_0200_20150401_006039	Punishment of Demon Monarch Blut	마군주 블룻의 처단
QUEST_LV_0200_20150401_006040	Bersiap untuk mengalahkan Demon Monarch Blut. Bantulah Kupole Jidrone dan kalahkan Blut.	마군주 블룻을 처치할 준비를 마쳤습니다. 큐폴 지드로네를 도와 마군주 블룻을 처치하세요.
QUEST_LV_0200_20150401_006041	Berhasil mengalahkan Demon Monarch Blut. Berbicaralah dengan Kupole Jidrone.	마군주 블룻을 처치하는데 성공했습니다. 큐폴 지드로네와 대화하세요.
QUEST_LV_0200_20150401_006042	Berbicaralah kepada Kupole Medeina	큐폴 메데이나와 대화
QUEST_LV_0200_20150401_006043	Kupole Medeina di Shirtis Surveillance aisle terlihat sangat serius. Berbicaralah dengan Medeina.	쉬르티스 감시 통로에 있는 큐폴 메데이나는 매우 심각해 보입니다. 큐폴 메네이나와 대화해 보세요.
QUEST_LV_0200_20150401_006044	Kalahkan Demon Servant dari Nuaelle	누아엘레의 수하 마족 처치
QUEST_LV_0200_20150401_006045	Kupole Medeina berkata Barrier of Goddess harus distabilkan dengan menetralkan kekuatan Nuaele. Kalahkan Demon Nuaele.	큐폴 메데이나는 누아엘레의 권세를 꺾어야 여신의 결계가 안정될 수 있다고 합니다. 누아엘레의 수하 마족들을 처치하세요.
QUEST_LV_0200_20150401_006046	Nuaele's Demons dikalahkan. Laporkan kepada Medeina.	누아엘레의 수하 마족들을 처치했습니다. 큐폴 메데이나에게 돌아가 보고하세요.
QUEST_LV_0200_20150401_006047	Sepertinya Kupole Medeina memiliki ide bagus. Berbicaralah dengan Medeina.	큐폴 메데이나는 뭔가 더 좋은 방법이 떠오른 것 같습니다. 큐폴 메데이나와 대화해 보세요.
QUEST_LV_0200_20150401_006048	Beberapa Nuaelle's Demon dulunya adalah Hauberk's Demon yang menerima Empowered Manes dari Hauberk. Kalahkan Nuaelle's Demon di 2nd Isolation Area dan dapatkan Manes dari Hauberk.	누아엘레의 수하들 중 일부는 원래 하우벅의 부하들로 예전에 하우벅에게 힘이 깃든 갈기를 받은 적이 있다고 합니다. 제 2격리구에서 누아엘레의 수하들을 처치하고 하우벅의 무성한 갈기를 획득하세요.
QUEST_LV_0200_20150401_006049	Ambillah Retriefe Hauberk's Manes. Berikan kepada Medeina.	하우벅의 갈기를 모두 되찾았습니다. 큐폴 메데이나에게 전해 주세요.
QUEST_LV_0200_20150401_006050	Sepertinya ada sesuatu yang mengganggu Medeina . Berbicaralah dengan Kupole Medeina.	큐폴 메데이나는 뭔가 찜찜한 게 짚히는 듯 싶습니다. 큐폴 메데이나와 대화해 보세요.
QUEST_LV_0200_20150401_006051	Interogasi Rencana Nuaele	누아엘레의 계획 심문
QUEST_LV_0200_20150401_006052	Gunakan Medeina's Doctrine Crystal kepada monster di 3rd Isolation Area dan cari tahu rencana Nuaele.	제 3 격리구의 마족들에게 메데이나의 강령구슬을 사용한 뒤 제압하여 누아엘레의 계획을 알아내세요.
QUEST_LV_0200_20150401_006053	Menemukan rencana dari Nuaele. Beritahu Medeina tentang hal itu.	누아엘레의 계획을 알아내었습니다. 큐폴 메데이나에게 누아엘레의 계획을 알려주세요.
QUEST_LV_0200_20150401_006054	Rencana Nuaele diketahui. Tanyakan Medeina apa yang harus dilakukan selanjutnya.	누아엘레의 계획을 파악했습니다. 이제 무엇을 해야 할 지 큐폴 메데이나와 대화해 보세요.
QUEST_LV_0200_20150401_006055	Kalahkan Nuaele's demons	누아엘레의 수하 *몬스터 처치
QUEST_LV_0200_20150401_006056	Kupole Medeina menyarankan untuk mengalahkan Nuaelle Servant terkuat. Kalahkan Nuaelle's Monster di 4th Isolation Area.	큐폴 메데이나는 먼저 누아엘레의 가장 강하고 충성스러운 부하를 처치하자고 합니다. 제 4 격리구에 있는 누아엘레의 수하 *몬스터를 처치하세요.
QUEST_LV_0200_20150401_006057	Nuaele's Demon dikalahkan. Berbicaralah dengan Kupole Medeina.	누아엘레의 수하 *몬스터를 처치하는데 성공하였습니다. 큐폴 메데이나와 대화해 보세요.
QUEST_LV_0200_20150401_006058	Siap untuk mengalahkan Nuaele. Bicaralah kepada Kupole Medeina.	누아엘레를 처단할 모든 준비를 마쳤습니다. 큐폴 메데이나와 대화해 보세요.
QUEST_LV_0200_20150401_006059	Kalahkan Demon Monarch Nuaele	마군주 누아엘레 처단
QUEST_LV_0200_20150401_006060	Temui Kupole Aldona dan pergi ke Nuaele's Territory untuk mengalahkan Nuaelle.	큐폴 알도나를 만나 누아엘레의 영역으로 가서 마군주 누아엘레를 처단하세요.
QUEST_LV_0200_20150401_006061	Nuaele dikalahkan. Bicaralah kepada Kupole Medeina.	마군주 누아엘레를 처단하는데 성공했습니다. 큐폴 메데이아와 대화해 보세요.
QUEST_LV_0200_20150401_006062	Vakarine memintamu melengkapi Evening Star Key untuk menyingkirkan kekuatan Dionys. Pergi ke Kupole Zydrone untuk menyelesaikan Key.	바카리네는 디오니스에게 씌워진 강력한 힘을 거두려면 저녁별 열쇠를 완성해야 한다고 합니다. 열쇠를 완성하기 위해 큐폴 지드로네에게 찾아가세요.
QUEST_LV_0200_20150401_006063	Singkirkan Contamination Gap kecil	작은 전이 틈새 제거
QUEST_LV_0200_20150401_006064	Kupole Jidrone memintamu menghapus Small Contamination Gap yang mengganggu pengisian Evening Star Key.	큐폴 지드로네는 저녁별 열쇠 충전을 방해하는 작은 전이 틈새를 제거해 달라고 부탁했습니다.
