ETC_20150317_000001	Kepa	케파
ETC_20160218_017662	Monster muncul di daerah kerajaan dimana iklimnya tidak cocok untuk kaktus.	선인장에 적합하지 않은 기후대에 왕국 지역에서도 이 몬스터는 나타납니다.
ETC_20160218_017663	Kirmeleech mengisap darah baik monster atau demon karena manusia terlalu kecil untuk mereka. Namun, mereka juga menyerang manusia, jadi tidak terlalu penting apakah mereka menghisap darah manusia atau tidak.	키르멜리치는 몬스터나 마족의 피를 빱니다. 인간은 이들에게 크기가 작기 때문입니다. 그렇지만 어차피 인간을 공격하기 때문에 흡혈여부는 문제가 안 됩니다. 
ETC_20160218_017664	Bahkan demon yang menyebabkan Medzio Diena tidak tahu apakah Magburk sekitar mereka berubah seperti itu.	신수의 날을 일으킨 마족들도 자신들 주변의 매그버크가 이렇게 변할 것이라고 생각하지는 못했다고 합니다. 
ETC_20160218_017665	Naktis memiliki tiga saudari perempuan yang juga Demon Lord dan mereka semua berhubungan dengan Demon Queen Gesti.	나크티스에게는 세 명의 자매 마군주가 있으며 이들은 모두 마왕 제스티와 밀접한 관계에 있습니다. 
ETC_20160218_017666	Kebanyakan monster tipe tumbuhan digunakan untuk mengancam hewan-hewan kecil, tetapi mereka menjadi lebih besar setelah Medzio Diena dan menjadi ancaman bagi manusia.	대개의 식물형은 이전부터 작은 동물들에게는 위협적인 식물이 신수의 날로 커지거나 강해지면서 인간에게도 위험해진 것입니다.
ETC_20160218_017667	Beberapa orang tidak menyerah dan mencoba menjinakkan monster burung. Jika mereka berhasiI, mereka sangat membantu dalam battle dan transportasi.	몇몇 사람들은 포기하지 않고 조류 몬스터를 길들이려고 노력중입니다. 성공한다면 전투나 수송에서 큰 도움이 되긴 할 것입니다.
ETC_20160218_017668	Ada sebuah rumor belakangan ini bahwa Ironbaum digunakan sebagai target latihan untuk demon. Terlepas dari apa asal mereka, mereka adalah ancaman bagi kita sekarang.	아이언바움이 원래는 마족들의 연습 대상이었다는 설이 있습니다. 아무튼 기원이야 무엇이든 현재는 인류의 위협입니다.
ETC_20160218_017669	Selama beberapa tahun terakhir, masyarakat Vubbe menjadi sangat berbeda dan rumit.	지난 몇 년간 부베 사회는 시간이 지날수록 급격히 분화되고 복잡해져 왔습니다.
ETC_20160218_017670	Ada sebuah rumor bahwa monster yang membobol masuk ke Royal Mausoleum dimana Demon Lord Rexipher memodifikasi adalah titik awalnya.	마군주 렉시퍼가 왕릉에 침입하기 위해 변형시킨 몬스터가 그 시작점이란 말이 있습니다. 
ETC_20160218_017671	Itu adalah seekor monster dari dunia demon dimana Demon King Vaiga gunakan. Vaiga seperti monster yang melaporkan berita dari berbagai dunia.	마왕 바이가가 애용하는 마계의 몬스터입니다. 바이가는 이렇게 세상 곳곳의 사정을 그에게 전달하는 기능을 지닌 몬스터를 좋아합니다.
ETC_20160218_017672	Meskipun namanya mirip, itu tidak terkait dengan monster yang berasal dari burung.	이름은 비슷하지만 다른 조류가 변한 몬스터와는 아무 상관이 없습니다. 
ETC_20160218_017673	Great King Zachariel menghancurkan sebagian besar dokumennya sejak ia khawatir dengan gangguan apapun. Oleh karena itu, kita tidak tahu apakah Tomb Maiden dibuat oleh manusia.	자카리엘 대왕께서는 왕릉의 침입을 염려하시어 대부분의 관련 자료를 파기하였기 때문에 오늘날에 와서는 툼메이든이 본래는 인간이 만든 마법피조물인지 아닌지 알 방법이 없습니다. 
ETC_20160218_017674	Ini adalah creation of magic dimana mage dan manusia sering menggunakan untuk melindungi harta mereka.	보물을 지키는 수호자나 문지기로 고위 마법사와 인간 등 여러 세력이 자주 이용하던 마법피조물입니다.
ETC_20160218_017675	Dalam teori, penciptaan monster ini mirip dengan Dullahan. Namun, objek gabungan bukan sebuah shield.	이론상 이 몬스터는 듀라한과 생성 원리가 흡사합니다. 다만 결합된 대상이 갑옷이 아닙니다.
ETC_20160218_017676	Rexipher mencoba berkali-kali menyusup ke Royal Tomb. Penyusupannya tidak berhasil, tapi dia berhasil membuat seekor monster yang disebut Kubas.	렉시퍼는 왕릉을 침입하기 위해 무수한 시도를 했습니다. 그는 침입에는 성공하지 못했지만, 그 과정에서 큐바스 같은 몬스터를 만드는 가외의 소득은 있었습니다.
ETC_20160218_017677	Info ini mungkin tidak berguna bagi kamu di battle sebenarnya, tapi monster ini sangat lemah dibandingkan demon lain.	실제 전투에 도움이 안 되는 정보이긴 하지만, 이 몬스터는 마족과의 싸움에서는 매우 약하다는 취약점이 있습니다. 
ETC_20160218_017678	Sayang sekali banyak spirit berpegangan dengan spirit kuat sejak Medzio Diena. Ada pendapat bahwa nogosiasi strategis harus dilakukan mulai sekarang.There are opinions that strategic negotiations should take place from now on.	신수의 날 이후에 많은 정령의 강자들이 마족과 손을 잡게 된 것은 안타까운 일입니다. 지금이라도 정책적이고 전술적인 교섭이 필요ㅗ하다는 주장이 대두되고 있습니다.
ETC_20160218_017679	Demon mengendalikan makhluk kuat diantara mereka yang berubah menjadi monster saat Medzio Diena. Gorgon digunakan bahkan sebelum Medzio Diena, tapi bentuk dan kebiasaannya berbeda dengan masa lalu.	마족들은 신수의 날에 몬스터로 변한 생물 가운데 강력한 종류를 통제하여 부리고 있습니다. 고르곤은 신수의 날 이전에도 존재했지만, 지금의 형태와 습성은 과거와 다릅니다.
ETC_20160218_017680	Monster arogan ini menghianati blessing dari Goddess ini memalukan bagi Goddess.	제미나 여신의 은혜를 저버린 이 거만한 몬스터는 그 존재 자체로 신성모독입니다. 
ETC_20160218_017681	Diantara orang-orang yang mencoba menjinakkan berbagai jenis burung, banyak dari mereka tertarik dengan Moas. Karena burung ini makan terlalu banyak.	여러 종류의 새를 길들이려 노력하는 사람들도 모아에게는 관심이 없는 사람이 많습니다. 왜냐하면 이 새는 너무 많이 먹기 때문입니다.
ETC_20160218_017682	Meskipun namanya tidak unik, monster sebenarnya adalah companion yang paling setia menghadapi kematian yang akan kamu hadapi.	명칭은 밋밋하게 지어졌지만, 실은 이 몬스터는 충실한 죽음의 동반자가 될 수 있습니다.
ETC_20160218_017683	Sejarah Deathweaver dikenal manusia telah sangat panjang dan banyak warrior dan penyihir tewas dalam jaring yang dibuat oleh monster.	데스위버가 인간에게 알려진 역사는 무척 오래되었으며 많은 전사와 마법사들이 이 몬스터가 자아내는 죽음의 그물에 걸려 죽었습니다. 
ETC_20160218_017684	Perubahan paling dramatis pengalaman masyarakat Goblin saat Medzio Diena adalah munculnya individu-individu kuat seperti Temple Shooter. Namun, mereka memprioritaskan keuntungan untuk mereka sendiri lebih dari suku Goblin. Bahkan jika mereka melayani orang lain, mereka pasti memiliki tujuan tersembunyi.	고블린 사회가 신수의 날에 겪은 가장 큰 변화는 템플슈터같은 강력한 개체의 출현입니다. 다만 이들은 고블린 종족 전체의 이익보다는 자신의 이익을 우선시합니다. 그러므로 설령 다른 자를 섬기고 있어도 숨은 목적이 따로 있습니다. 
ETC_20160218_017685	Sudah diketahui bahwa Chapparition sedang dibuat ketika spirit dari mage yang mati jatuh ke perbuatan jahat.	채퍼리션은 대개 죽은 마법사의 유령이 사악함에 빠져 생긴다고 알려져 있습니다.
ETC_20160218_017686	Minotaur sudah ada sejak masa lalu dan selain fakta bahwa salah satu spesiesnya mempunyai sayap, mereka tetap keras seperti biasanya.	미노타우로스는 오래 전부터 존재한 몬스터로 신수의 날에 날개가 돋은 개체가 생겼다는 것 말고는 과거나 지금이나 흉폭하고 잔인합니다. 
ETC_20160218_017687	Dibandingan dengan Goddess, Demon berkembang atau membuat demon yang melindungi wilayahnya. Berdasarkan sebuah legenda, Cerberus tidak memiliki bentuk yang seperti sekarang.	여신들에 비해 마족들은 자신의 영역을 지키는 많은 몬스터를 키우거나 만들어냅니다. 켈베로스도 태초에는 지금의 형태가 아니었다는 전설이 있습니다.
ETC_20160218_017688	Legenda mengatakan bahwa ini adalah sesuatu dari devil kuno yang tidak diketahui identitasnya. Berdasarkan legenda itu, bahkan Giltine tidak ingin melawannya.	아직은 정체가 알려지지 않은 고대 마신의 물품이라는 전설이 있습니다. 그 전설에 따르면 심지어 길티네도 그와는 다투고 싶어하지 않는다고 합니다. 
ETC_20160218_017689	Hogma lebih pintar dari Vubbe jadi mereka menggunakan alat, namun karena insting yang kuat, cenderung membuat kesalahan dan tidak membuat kemajuan apapun.	호그마는 부베보다 높은 지능을 지녀 도구를 사용하지만, 너무 강한 본능탓에 어리석은 실수를 하곤 하며 진보에는 무딥니다.
ETC_20160218_017690	Diantara Hogma, ada yang memperoleh kemampuan melalui pengalaman. Tetapi, seorang sorcerer tidak lepas dari insting seekor Hogma.	호그마중에 경험을 통해 능력을 지닌 자가 있습니다. 다만 주술사도 호그마의 본능에서 자유롭진 않습니다.
ETC_20160218_017691	itu adalah Beast-type monster yang mudah diidentifikasi dari penampilan dan namanya.	외양과 이름에서 그 연원을 쉽게 알 수 있는 야수 몬스터입니다.
ETC_20160218_017692	Belum ditemukan dari monster mati yang sudah berubah bentuk ini.	어떤 무생물이 변형된 몬스터인지 아직 밝혀지지 않았습니다.
ETC_20160218_017693	Sangat langka Hydra bertemu dengan manusia sebelum Medzio Diena, tetapi setiap bertemu dengannya, mereka sulit untuk dikalahkan. Namun, keabadiannya telah menghilang jadi kamu bisa mengalahkannya jika kamu cukup terlatih.	히드라는 신수의 날 이전에는 인간과 조우하는 일이 드물지만, 마주치면 감당하기 어려웠습니다. 다만 현재는 불사의 속성이 사라져서 능력이 있다면 죽일 수 있습니다. 
ETC_20160218_017694	Senang bersembunyi di tempat gelap atau jauh di dalam hutan. Dia pemalu dan hanya muncul dan menyerang ketika dia pikir lawannya lemah.	어두운 곳이나 깊은 숲 등에서 잠복하길 좋아하는 성격입니다. 소심한 면이 있어 상대가 약하다고 판단하면 모습을 나타내고 공격을 시작합니다.
ETC_20160218_017695	Ketika berhasil menekan lawannya, ia akan melumpuhkan lawannya dan menghisap cairan tubuh lawannya perlahan. Setelah ukurannya bertambah, ia menyerang lawan yang lebih kecil untuk menekan agresi lawan dan bukan memenuhi rasa laparnya.	일단 상대를 제압하는데 성공하며 마취시키고 천천히 체액을 빠는 특징이 있습니다. 몸집이 커진 후로는 크기가 작은 상대는 먹이보다는 공격성을 해소하는 용도로 대합니다.
ETC_20160218_017696	Awalnya, banyak orang meremehkan Colimencia, sebuah Plant-type monster yang kuat, Saat dalam keadaan diam, tapi mereka menerima kerusakan yang parah.	초기에는 휴면에 들어간 콜리멘시아를 보고 강한 식물몬스터이긴 해도 고정형이라고 생각해서 큰 피해를 입은 사람도 적지 않습니다.
ETC_20160218_017697	Hal ini tidak diketahui sejak dia tidak berinteraksi dengan manusia, tapi demon ini memiliki kekejaman dan rasa humor.	인간과 교류할 일이 없어서 잘 알려지지 않았지만, 잔혹함 가운데 익살을 지닌 마족입니다.
ETC_20160218_017698	Beruntung tidak banyak kasus dimana host menjadi seekor monster, tapi itu adalah fenomena yang sulit dimengerti.	성체로서 몬스터로 변한 개체가 많지 않은 일은 다행이면서도 이해하기 어려운 현상이기도 합니다.
ETC_20160218_017699	Meskipun itu adalah legenda yang tidak bisa dikonfirmasi kebenarannya, namun Harpeia digunakan untuk mengikuti Goddess Laima dan bukan demon.	확인할 근거가 없는 전설이긴 하지만, 태고적에는 하르피아가 마족이 아니라 여신 라이마를 따랐다는 이야기가 있습니다.
ETC_20160218_017700	Manusia dan monster mempunyai kecenderungan untuk melecehkan orang lain yang lebih lemah dari dirinya.	인간이든 몬스터든 자신보다 약한 것은 무엇이든 괴롭히는 못된 성향을 지녔습니다.
ETC_20160218_017701	Demon berusaha memberikan Manticen sebuah kekuatan besar sehingga ia dapat mengendalikan Insect-type monster yang lain.	마족은 맨티켄에게 강한 힘을 부여하여 다른 곤충형을 지휘하게 하려는 의도를 지니고 있습니다. 
ETC_20160218_017702	Benih yang jatuh dari cetakan daun dikombinasikan dengan larva dan berubah menjadi monster. Tentu saja, mereka tidak ditemukan sebelum Medzio Diena.	부엽토에서 떨어진 씨앗과 애벌레가 결합하여 변이된 몬스터로 당연히 신수의 날 이전에는 발견되지 않던 종입니다.
ETC_20160218_017703	Mereka adalah demon yang mengurus taman dari high-ranked demon dan pohon buah-buahan. Setelah Giltine memeutuskan untuk melawan Goddess, mereka sekarang ikut dalam pertempuran. Seperti kebanyakan demon lainnya, apa yang mereka lakukan dan kemampuan tempur mereka tidak berhubungan.	이들은 고위 마족의 정원과 과수를 돌보던 마족입니다. 길티네가 본격적으로 여신들과 싸우기로 결심한 후에는 전투에도 동원되고 있으며 마족들이 대개 그렇듯 이전의 하던 일과 전투력은 무관합니다.
ETC_20160218_017704	Chupacabra muncul bersamaan di berbagai tempat dan mengancam banyak nyawa dan tanaman.	츄파카브라는 다양한 종류가 곳곳에 동시다발적으로 출몰하여 인명과 작물을 해치고 있습니다.
ETC_20160218_017705	Menyerang orang yang memegang manik-manik setiap hari.	항상 애지중지 들고다니는 구슬로 사람들을 공격합니다.
ETC_20160218_017706	Ini adalah seekor monster yang memiliki berbagai macam kekuatan binatang, sulit untuk melawannya.	여러 짐승의 다양한 장점이 한 몸에 있어 까다로운 몬스터입니다.
ETC_20160218_017707	Panto dulu tinggal di daerah Geli pada dahulu kala dan mereka menjaga persahabatannya dengan manusia sebelum mereka dipengaruhi saat Medzio Diena.	판토는 겔리 지방 일대에 오래 전에 정착하여 살았으며 신수의 날의 영향을 받기 전까지는 인간과도 우호적인 관계를 유지하던 종입니다.
ETC_20160218_017708	Divine Tree adalah tempat beristirahat bagi Goddess dan sekarang menjadi musuh.	한때 여신들에게만 등을 내주던 이 신수는 이제 모든 여신들의 적이 되었습니다. 
ETC_20160218_017709	Dullahan adalah salah satu hantu yang dikenal di dunia manusia dan ada beberapa jenis diantara mereka yang tidak membahayakan orang yang terkait dengan kebencian. Tapi, seperti yang kamu tahu, Medzio Diena merubah segalanya.	듀라한은 이전부터 인간 세상에 알려진 유령의 일종이었고, 그 중에는 원한과 무관한 사람에게는 피해를 주지 않는 종류도 있었습니다. 그러나 알다시피 신수의 날은 그런 모든 것을 바꿔놓았습니다.
ETC_20160218_017710	Penguasa kejam bunga ini mencoba untuk mengendalikan semua kehidupan di wilayahnya terlepas apakah itu hewan atau tanaman.	이 잔혹한 꽃의 군주는 동식물을 가리지 않고 자신의 영역으로 삼은 곳의 모든 생명을 지배하려 합니다.
ETC_20160218_017711	Diantara Spirit of the forest, menyedihkan bahwa yang dekat dengan manusia kini menjadi musuh manusia.	숲의 정령 가운데 가장 인간과 친밀했던 이들이 이제 인간의 적이 된 것은 슬픈 일입니다.
ETC_20160218_017712	Ada banyak monster semacam ini di dunia demon dan Demon Lord memilih yang terkuat diantara mereka dan melepaskan mereka ke dunia kita.	마계에는 이 종류의 몬스터가 많으며 그 가운데 강한 것을 선별해 마군주가 우리 세계에 풀어놓는다고 합니다.
ETC_20160218_017713	Diketahui bahwa ekor digunakan ketika mereka bersaing satu sama lain, tapi kamu harus ingat tidak hanya mengandalkan hal itu.	꼬리는 주로 자기들끼리 경쟁할 때 사용한다고 하지만 그런 성향만을 믿고 있어서는 안 됩니다.
ETC_20160218_017714	Turtai tidak berada pada sisi yang sama dengan Goddess manapun. Turtai selalu ingin berusaha mencari manfaat untuk dirinya dan mencapainya, mengkhianati spesiesnya sendiri maupun sekutunya. Tapi, sejak manusia tidak bisa memenuhinya, tidak ada cara agar mereka mau bekerja sama dengan manusia.	투르타이는 여신이나 마족 혹은 다른 어떤 자의 편도 아닙니다. 투르타이는 항상 자신의 이익만을 추구하며 그것을 위해서는 본래 종족이나 현재 자기편을 언제든 배신합니다. 다만 인간이 제공할 것이 없기에 인간과 협력할 가능성은 없습니다.
ETC_20160218_017715	Transformasi Canceril sekarang menjadi hal umum di dunia yang penuh dengan monster yang berasal dari semua bentuk kehidupanis now even considered ordinary in the world full of monsters derived from all sorts of lifeforms.	온갖 동식물의 변형이 이루어져 몬스터가 된 현재의 세계에서 캔서릴 정도의 변화는 이제 평범하기까지 합니다. 
ETC_20160218_017716	Perubahan seperti ini terlihat normal di dunia dengan banyak perubahan dari binatang dan tumbuhan yang telah terjadi.	온갖 동식물의 변형이 이루어져 몬스터가 된 현재의 세계에서 이 정도의 변화는 이제 평범하기까지 합니다. 
ETC_20160218_017717	Glackuman yang bercita-cita ingin menjadi seorang pejuang terkenal hanya puas jika dia dikirim ke lokasi dimana banyak pertempuran terjadi.	모든 세계에 이름을 떨치는 투사를 꿈꾸는 글락쿠만은 싸움이 있는 곳에 파견되기만 하면 만족합니다. 
ETC_20160218_017718	Belian bukan tipe monster yang berubah dari sebuah tanaman, melainkan dia dikutuk karena tidak bisa menyelesaikan tugas dari Demon King.	밸리안은 식물이 변형된 몬스터가 아니라 원래 마족으로 마왕이 내린 명령을 완수하지 못해 저주를 받은 상태라고 합니다.
ETC_20160218_017719	Monster yang dirubah oleh demon setelah menggabungkan beragam jenis makhluk masih menunjukkan kesetiaannya kepada demon.	마족이 온갖 개체를 합쳐서 변형시킨 이 몬스터는 그럼에도 마족에게 충성을 보이고 있습니다.
ETC_20160218_017720	Ini adalah makhluk yang berasal dari dunia demon. Sesuatu yang berhubungan dengan Velnewt.	마계에 기원을 둔 생물입니다. 벨뉴트와 친척 관계의 종이기도 합니다.
ETC_20160218_017721	Mereka disebut Bokor dunia demon. Ada kemungkinan mereka berinteraksi dengan Giltine dan menggunakan otoritasnya.	이들은 마계의 보코르라고 할 수 있습니다. 길티네 같은 마신과 접응하여 그 권능을 사용하는 일이 가능합니다.
ETC_20160218_017722	Velnewts biasanya berkelompok dan berburu bersama di dunia demon. Tapi, mereka berpikir mereka cukup kuat untuk beraksi di dunia kita sehingga mereka beraksi sendiri.	벨뉴트는 마계에서는 무리지어 사냥을 한다고 합니다. 그러나 우리 세상에서는 혼자서도 충분히 강하다고 생각하는지 단독으로 행동합니다.
ETC_20160218_017723	Tidak ada yang khusus tentang Demon Lord Blut. Tapi, yang signifikan dari dia adalah Demon Lord yang dipilih secara random oleh Giltine untuk mengganggu ramalan Laima.	마군주 블룻은 능력이나 마족 가운데 지위 등을 보면 대단할 것이 없습니다. 그러나 그가 지닌 중대한 의미는 길티네가 라이마의 예지를 방해하기 위해서 무작위적으로 선택하여 키운 마군주라는 점입니다. 
ETC_20160218_017724	Neop baru-baru ini dipromosikan sebagai seorang Demon Lord oleh Giltine untuk mengganggu rencananya Laima. Karena promosi ini, dia berusaha untuk mempelajarinya lebih lanjut.	네옵은 최근에 라이마를 계획을 방해하는 변수로 삼기 위해 길티네가 마군주로 승격시켰습니다. 때문에 그는 공을 세우기 위한 노력을 게을리 하지 않고 있습니다.
ETC_20160218_017725	Sebelum Medzio Diena, monster menghabiskan sebagian besar waktunya untuk tidur sehingga tidak berbahaya.	신수의 날 이전에는 게으르고 하루의 대부분을 잠으로 보내는 덩치 큰 몬스터로 크게 위험하지 않았습니다. 
ETC_20160218_017726	Merregina masih di bawah kendali Goddess Jurate, tapi sejak Goddess  tidak ikut campur dalam urusan manusia, ia bertindak sendiri.	머레지나는 여전히 유라테 여신의 관할 아래 있지만, 여신께서 인간의 일에 개입하지 않으시기 때문에 독단적으로 행동합니다.
ETC_20160218_017727	Banyak burung tidak bisa terbang setelah mereka berubah menjadi monster.	몬스터로 변형된 후 날지 못하게 된 새가 많이 있습니다.
ETC_20160218_017728	Fragment atau potongan dari Golem terlahir kembali dengan bentuk baru. Rublem adalah salah satunya.	골렘에게서 나온 파편이나 파괴된 골렘의 조각이 다시 새로운 형태의 골렘으로 태어나기도 하는데 러블렘이 그러한 사례입니다.
ETC_20160218_017729	Ini adalah seekor monster yang berubah dari tanaman yang tumbuh di batu dimana manusia melemparkannya setelah memperbaiki mereka saat Medzio Diena.	인간이 다듬다 버린 석재에서 자란 식물이 신수의 날로 인해 변형된 몬스터입니다.
ETC_20160218_017730	Ada berbagai jenis demonic soldier di dunia demon. Posisi dan level mereka tidak diketahui. Catatan pertama dari Fallenlem keluar dari biografi Agailla Flurry.	마계에는 매우 다양한 종류의 마족 병사들이 존재합니다. 이들의 지휘 체계와 계급은 명확히 알려져 있지 않습니다. 플른렘에 관한 최초의 기록은 아가일라 플러리의 전기에서 처음 나타납니다.
ETC_20160218_017731	Diantara Plant-type monster, luar biasanya, mereka menunjukkan karakter penghakiman. Dalam sudut pandang akademik, banyak orang bertanya-tanya apakah mereka akan memiliki status sosial lebih tinggi.	식물형 가운데는 예외적으로 종족적인 특징으로 보여주는 몬스터입니다. 학문적으로는 이들이 더 높은 사회성을 지니게 될지 궁금해하는 사람들이 있습니다.
ETC_20160218_017732	Mereka memakan binatang kecil atau serangga. Namun demikian, mereka menunjukkan sikap bermusuhan terhadap binatang yang lebih besar dari mereka, sehingga siapapun yang bertemu mereka harus berhati-hati.	이들은 작은 동물이나 곤충을 먹이로 삼습니다. 그럼에도 자신보다 큰 동물에게도 적의를 드러내곤 하기 때문에 마주치는 사람은 조심해야 합니다.
ETC_20160218_017733	Meskipun mereka kecil, mereka sudah menjadi host. Tentu saja, mereka terus tumbuh.	작다고는 하지만 이미 성체입니다. 물론 이후에도 계속 성장은 합니다.
ETC_20160218_017734	Tidak pasti peran dari Belegg dan mereka hanyalah makhluk magic yang bergerak.	벨레그가 마계에서 어떤 역할을 하는 생물인지 아니면 움직이는 마법 물체에 지나지 않는지 조차 아직은 확실하지 않습니다.
ETC_20160218_017735	Gesti adalah Demon Queen diantara dua Demon King di bawah kendali Giltine, dia satu-satunya wanita. Di bawah kendali Gesti, banyak Demon Lord mengikuti perintahnya untuk menyerang manusia.	제스티는 길티네 휘하의 3대 마왕 가운데 하나이면 그 중 유일한 여성입니다. 그녀의 휘하에는 많은 마군주가 그녀의 지시를 따라 여신과 인간을 공격하고 있습니다.
ETC_20160218_017736	Simorph dilaporkan sebagai kasus pertama yang mendapatkan status demon sebagai monster karena kerjasamanya. Beberapa master tidak ingin ini menjadi contoh yang tidak menyenangkan di masa depan.	시모프는 마족이 아닌 몬스터가 협력의 대가로 마족의 지위를 얻은 알려진 첫 사례입니다. 몇몇 마스터들은 이 일이 더 많은 좋지 않은 사례의 선례가 되지 않기를 바라고 있습니다.
ETC_20160218_017737	Sudah pasti bahwa Siaulamb adalah spesies yang ada sebelum Medzio Diena. Namun, aneh dia belum pernah ditemukan oleh manusia selama ribuan tahun sejarah kerajaan. Dan ketika hal-hal aneh terjadi, mereka juga muncul di bawah pengaruh hal itu dan sayangnya mereka melawan manusia.	샤울렘은 신수의 날 이전부터 존재한 종이 확실합니다. 다만 왕국의 천년이 넘는 역사에서 한 번도 인간에게 모습을 들킨 적이 없다는 점이 기이한 점입니다. 이후 신수의 날로 세상에 온갖 기이한 일이 벌어지자 이들도 그 영향 아래 모습을 나타내었고, 불행히도 인간과는 적대중입니다.
ETC_20160218_017738	Sudah pasti bahwa mereka sudah ada sebelum Medzio Diena. Namun, aneh mereka belum pernah ditemukan oleh manusia dalam 1,000 tahun sejarah kerajaan. Dan ketika hal-hal aneh terjadi di dunia setelah Medzio Diena, mereka juga muncul sebagai akibat dari pengaruh hal itu dan sayangnya mereka melawan manusia.	이들은 신수의 날 이전부터 존재한 종이 확실합니다. 다만 왕국의 천년이 넘는 역사에서 한 번도 인간에게 모습을 들킨 적이 없다는 점이 기이한 점입니다. 이후 신수의 날로 세상에 온갖 기이한 일이 벌어지자 이들도 그 영향 아래 모습을 나타내었고, 불행히도 인간과는 적대중입니다.
ETC_20160218_017739	Sejak Pantos berpaling ke manusia, spesies yang tidak pernah terlihat sebelumnya muncul. Mungkin...demon adalah pelakunya.	판토족이 인간과 척을 지게 된 이후 이전에 보지 못하던 더 강한 개체가 나오는 일은 어쩌면 마족이 배후에 있을지도 모릅니다.
ETC_20160218_017740	Seorang soldier yang membentuk army of the demon.	마족의 군대를 구성하는 기본이 되는 병사입니다. 
ETC_20160218_017741	Tak seorang pun yang ingin mengetahui wajah sebenarnya dibalik topeng yang dia pakai.	그 가면속에 숨은 얼굴의 실체를 보고 싶어하는 사람은 없습니다. 
ETC_20160218_017742	Fenomena Golemlet menyerap energi dari Tree Root Crystal kadang-kadang terjadi.	골렘릿이 나무뿌리 수정에서 기운을 흡수하여 더 강화되는 현상이 가끔 일어납니다.
ETC_20160218_017743	Deadborn berubah menjadi Rodelin ketika menerima banyak pengaruh demon atau ketika mereka diambil oleh high-ranked demon.	데드본이 마족의 영향을 크게 받거나 고위 마족의 인정을 받아 로델린으로 변한다고 합니다.
ETC_20160218_017744	Bahkan ketika Panto memiliki hubungan yang erat dengan manusia, mereka benar-benar tidak ramah kepada manusia. Tapi, mereka tidak memusuhi seperti sekarang.	판토족이 인간과 우호적인 관계를 유지하던 시절에도 이들은 인간에게 친절하지는 않았습니다. 그래도 지금처럼 적대적이지도 않았지만 말입니다.
ETC_20160218_017745	Ada sebuah legenda dimana Ritheris adalah salah satu master di masa lalu. Diantara master yang bukan tipe wizard, beberapa master membuat kontrak dengan demon untuk selamanya dan mencari orang yang mirip dengan mereka dan memimpin mereka ke dunia demon.	리테리스는 과거에 인간 그중에서도 마스터의 일원이었다는 전설이 있습니다. 마법사 계열이 아니었던 마스터 가운데 몇몇이 불멸을 위해 마족과 계약하고 그후에 자신과 비슷한 사람들을 더 찾아내 마계로 이끈다고 합니다.
ETC_20160218_017746	Mereka tidak akan jatuh walaupun kamu menyerang kakinya.	다리를 공격한다고 쓰러지지 않습니다.
ETC_20160218_017747	Kesalahpahaman yang umum pada manusia bahwa mereka berpikir bahwa Dievdirby diciptakan dari sebuah kesalahan. Tentu saja, kita semua tahu itu konyol dan tidak benar.	사람들의 흔한 오해는 가고일이 딥디르비들의 실수로 생겼다고 생각하는 것입니다. 물론 전혀 사실이 아닙니다.
ETC_20160218_017748	Kadang-kadang, orang ingin mengkonsumsi Kepa, tapi aku ingin kamu menghentikannya.	가끔 케파를 먹어보려는 사람들이 있는데, 꼭 말리시길 바랍니다.
ETC_20160218_017749	Colliflies belum dikategorikan sebagai sebuah spesies dan bahkan ketika mereka membentuk formasi sebuah kelompok sosial, demon atau manusia tidak menggunakan mereka. Namun, mereka memang menjadi ancaman.	콜리플라이는 아직은 종족적인 각성을 하지 않았고, 사회집단의 형성기를 거치는 과정에 있으면서도 마족이나 혹은 악한 인간이 이용하고 있지는 않습니다. 그러나 개별 개체로서도 충분히 인간에게 위협적입니다.
ETC_20160218_017750	Perbedaan antara Kepo dan Keposeed adalah apakah mereka host atau cairan. Ketika kamu berpikir tentang itu, perbedaan antara host dan cairan terlihat besar, kecuali kemampuan berkembang biak, cairan sama berbahayanya.	케포와 케포씨드는 성체나 유체냐의 차이입니다. 언뜻 생각하면 성체와 유체와의 차이가 클 것 같지만, 실은 번식능력의 유뮤를 제외하고는 유체도 똑같이 위험합니다.
ETC_20160218_017751	Monster yang berasal dari tanaman mempunyai kemampuan untuk membuat keturunannya, di dalamnya.	식물을 원형으로 발생한 몬스터가 부양하는 능력이 있다면 대개 그 속이 비어있기 마련입니다.
ETC_20160218_017752	Nuaele adalah salah satu low-ranked Demon Lords. Anehnya banyak demon mengikutinya sehingga Demon Lord lain tidak menganggap remeh mereka.	누아엘레는 마군주 가운데 지위가 낮은 편에 속합니다. 그러나 의외로 따르는 마족들이 많기에 다른 마군주들도 가벼이 여기지 않습니다.
ETC_20160218_017753	Ketika seekor low-ranked monster menjadi kuat, ada orang yang tetap berpikir mereka lemah. Jika kamu tidak memperhatikan perubahan situasi ini, tipe monster ini bisa menjadi bencana kapan saja.	하급의 몬스터가 어떤 계기로 강한 몬스터가 되었을 때 여전히 그것들을 약하다고 오해하는 사람들이 있습니다. 그러나 현재의 상황변화에 충분히 주의를 기울이지 않으면 이런 몬스터는 언제든 큰 재앙이 될 수 있습니다.
