SKILL_20150317_000001	Attack	공격
SKILL_20150406_003549	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Mengumpulkan Force dan memukul musuh.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}힘을 모아 적을 강하게 찌릅니다.
SKILL_20150406_003550	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Mengikat musuh dan menarik sekeliling.{nl}Musuh akan terkena damage ketika bergerak dan terkena efek Bleed ketika lepas.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}적을 줄로 묶어서 끌고 다닙니다.{nl}이동할 때 마다 적에게 피해를 주고, 풀려난 후 적은 출혈 상태에 빠집니다.
SKILL_20150406_003551	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Membuat Solid Landing ketika lompat atau bertarung diudara untuk memukul musuh	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}점프 중이거나 공중에 있을 때, 강하게 착지하여 대상에게 피해를 줍니다.
SKILL_20150406_003552	Pouncing	파운싱
SKILL_20150406_003553	Memasang basecamp di area. Anggota party dapat menggunakan Basecamp untuk Storage pribadi dan dapat secara gratis teleport ke basecamp.	필드 위에 베이스 캠프을 설치합니다. 베이스 캠프를 통해 파티원들은 자유롭게 워프 할 수 있으며, 개인 창고를 이용할 수 있습니다.
SKILL_20150406_003554	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menggunakan Iron Hook untuk menarik musuh. Musuh akan menerima damage setiap waktu ditarik.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}아이언 후크로 포획한 적을 끌고 옵니다. 적은 끌려올 때마다 피해를 받습니다.
SKILL_20150406_003555	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menggunakan bagian belakang pedang untuk memukul musuh.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}검을 거꾸로 쥐어 적을 후려칩니다. 
SKILL_20150406_003556	{#993399}{ol}[Magic] - [Ice] - [Strike]{/}{/}{nl}Memanggil Bola Salju Raksasa dan memberikan serangan ke musuh sekitar.	{#993399}{ol}[마법] - [얼음] - [때리기]{/}{/}{nl}거대한 눈 덩어리를 소환해 주변 대상에게 피해를 줍니다.
SKILL_20150406_003557	Summon Servant	서번트 소환
SKILL_20150406_003558	{#993399}{ol}[Magic]{/}{/}{nl}Mengumpulkan pecahan mayat ketika monster terbunuh menggunakan serangan ini.	{#993399}{ol}[마법]{/}{/}{nl}이 공격으로 몬스터가 죽을 때 시체 파편을 수집합니다.
SKILL_20150406_003559	Attack Power #{SkillAtkAdd}#{nl}Mengumpulkan pecahan mayat dari segala tipe monster	공격력 #{SkillAtkAdd}#{nl}종족별 시체 파편 수집
SKILL_20150406_003560	{nl}Pecahan Plant, Beast, Mutant{nl}Use #{CaptionRatio}# setiap	식물, 야수, 변이 파편{nl}각각 #{CaptionRatio}#개 소비
SKILL_20150406_003561	{#993399}{ol}[Magic]{/}{/}{nl}Melempar pecahan mayat ke area tertentu.	{#993399}{ol}[마법]{/}{/}{nl}지정한 위치에 시체 파편을 날려 대상에게 피해를 줍니다.
SKILL_20150406_003562	Attack Power #{SkillAtkAdd}#{nl}Splash #{SkillSR}#{nl}Pecahan Plant, Beast, Mutant{nl}Use #{CaptionRatio}# each	공격력 #{SkillAtkAdd}#{nl}스플래시 #{SkillSR}#{nl}식물, 야수, 변이 파편{nl}각각 #{CaptionRatio}#개 소비
SKILL_20150406_003563	{#993399}{ol}[Magic]{/}{/}{nl}Menggunakan pecahan dari mayat disekitarmu dan memberikan damage sekitar musuh.	{#993399}{ol}[마법]{/}{/}{nl}시체 파편을 자신 주위에 맴돌게 하여 근접한 대상에게 피해를 줍니다.
SKILL_20150406_003564	Attack Power #{SkillAtkAdd}#{nl}Durasi 15detik{nl}Use #{CaptionRatio}# Mutant Fragment	공격력 #{SkillAtkAdd}#{nl}지속시간 15초{nl}변이형 파편 #{CaptionRatio}#개 소비
SKILL_20150406_003565	Dirty Wall Count: #{CaptionRatio}#{nl}Durasi: 15 detik{nl}{#339999}{ol}[Decay]{/}{/} Durasi: #{CaptionTime}# detik{nl}Membutuhkan #{CaptionRatio2}# setiap{nl}Plant, Beast, Mutant Fragments	더티월 #{CaptionRatio}#개{nl}더티월 지속시간 15초{nl}{#339999}{ol}[부패]{/}{/} 지속시간 #{CaptionTime}#초{nl}식물, 야수, 변이 파편{nl}각각 #{CaptionRatio2}#개 소비
SKILL_20150406_003566	Mengumpulkan bagian mayat yang tersisa ketika monster mati.	몬스터가 죽은 자리에 남아있던 시체 파편을 수집합니다.
SKILL_20150406_003567	Heavy Shot	헤비 샷
SKILL_20150406_003568	Twin Arrow	트윈 애로우
SKILL_20150406_003569	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Meletakkan Bomb pada anak panah dan menembakknya.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}화살에 폭탄을 매달아 발사합니다.
SKILL_20150406_003570	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menembak stone-bullet yang dapat mendorong target kebelakang. Target memiliki kemungkinan terkena stun.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}돌 탄환을 발사하여 대상을 밀쳐냅니다. 대상은 일정 확률로 스턴 상태에 빠집니다.
SKILL_20150406_003571	Teardown	철거
SKILL_20150406_003572	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menghancurkan rintangan yang dapat menghadang jalan dan memberikan serangan ke musuh didepan.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}이동을 가로막는 여러 종류의 장애물을 파괴하는 동시에 전방의 적들에게 피해를 줍니다.
SKILL_20150406_003573	Running Shot	런닝샷
SKILL_20150406_003574	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Memasang perangkap yang dapat memberikan damage ke target sekitar.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}주변 대상에게 피해를 주는 트랩을 설치합니다.
SKILL_20150406_003575	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Meledakkan lingkarang sihir dan instalasi untuk damage musuh.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}마법진과 설치물을 폭파시켜 적들에게 피해를 입힙니다.
SKILL_20150406_003576	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Api yang berasap dan memberikan damage.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}불길이 올라오면서 해당 위치에 대상에게 피해를 줍니다.
SKILL_20150406_003577	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Memasang bomb disekitar target. Bomb meledak ketika menyentuh musuh.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}대상에게 주위를 맴도는 폭탄을 심어 놓습니다. 폭탄은 적에게 닿을 때 터지면서 피해를 줍니다.
SKILL_20150406_003578	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menembakkan flash arrows pada tanah. Cahaya terbentuk dan menembak percikan pada musuh disekitar.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}지면에 섬광 화살을 발사합니다. 섬광이 터진 곳은 불꽃이 튀면서 주변에 있는 대상에게 피해를 줍니다.
SKILL_20150406_003579	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menggunakan serangan ini untuk meledakkan musuh ketika terbunuh. Strength dari anggota party sementara akan meningkat.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}이 공격으로 대상이 죽으면, 대상은 폭발하고 파티원의 힘이 일시적으로 증가합니다.
SKILL_20150406_003580	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Melempar gas air mata. Target akan terkena efek Blind.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}지정한 위치에 최루탄을 던집니다. 최루에 당한 대상은 블라인드 상태에 빠집니다.
SKILL_20150406_003581	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Lingkara Zombie disekitar pada area tertentu. Musuh yang menyentuh zombie akan terdorong dan menerima damage.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}지정된 장소를 중심으로 좀비들이 줄지어 맴돕니다. 움직이는 좀비에 닿은 적은 뒤로 밀리며 대미지를 받습니다.
SKILL_20150406_003582	{#993399}{ol}[Magic]{/}{/}{nl}Meledakkan Zombie pada Area tertentu dan damage pada musuh.	{#993399}{ol}[마법]{/}{/}{nl}지정한 위치에 있는 좀비를 폭파시켜 대상에게 피해를 줍니다.
SKILL_20150406_003583	Attack Power #{SkillAtkAdd}#{nl}Dubutuhkan Summone zombie{nl}Max. ledakan #{SkillSR}#	공격력 #{SkillAtkAdd}#{nl}소환된 좀비 필요{nl}최대 폭파 횟수 #{SkillSR}#
SKILL_20150406_003584	Statue of Goddess Ausrine	아우슈리네 여신상
SKILL_20150406_003585	Ausrine	아우슈리네.
SKILL_20150406_003586	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Memukul kebawah secara kuat.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}대상을 강하게 내려칩니다.
SKILL_20150406_003587	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Mengulirkan musuh untuk menyerang musuh disekitar dan menyebabkan damage.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}자신을 근접하여 공격하는 대상을 튕겨내고 피해를 줍니다.
SKILL_20150406_003588	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Punce target dua kali.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}대상에게 주먹으로 2회 공격합니다.
SKILL_20150406_003589	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menggunakan pukulan untuk mendorong musuh.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}대상을 손바닥으로 밀쳐냅니다.
SKILL_20150406_003590	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Memukul musuh dengan pisau tangan.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}대상을 손날로 강하게 내려쳐 솟구치게 합니다.
SKILL_20150406_003591	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Membuat peregangan singkat untuk mendorong musuh dan memakan SP nya. Target akan terkena damage secara berulang.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}손을 짧게 뻗어 대상을 밀쳐내고, SP를 소진시킵니다. 맞은 대상은 잠시동안 지속적인 피해를 받습니다.
SKILL_20150406_003592	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Mengumpulkan tenaga dan memukul kedepan. Targets akan terdorong dan menerima damage..	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}기를 모은 뒤 전방을 향해 발사합니다. 맞은 대상은 점점 뒤로 밀려나며 피해를 받습니다.
SKILL_20150406_003593	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Melempar coin pada target. Max. SP dari target yang terkena serangan sementara akan berkurang.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}대상에게 자신이 소지한 동전을 날려 피해를 줍니다. 맞은 대상은 최대 SP가 일시적으로 줄어듭니다.
SKILL_20150406_003594	{#993399}{ol}[Magic] - [Holy]{/}{/}{nl}menyembuhkan target dan anggota party ketika menyerang musuh.	{#993399}{ol}[마법] - [신성]{/}{/}{nl}파티원과 전방의 있는 대상의 상태이상을 치료하며, 적군에게는 피해를 줍니다.
SKILL_20150406_003595	Attack Power #{SkillAtkAdd}#{nl}Attack #{CaptionRatio}# musuh{nl}menyembuhkan semua anggota party{nl}Heal #{CaptionRatio}# allies{nl}	공격력 #{SkillAtkAdd}#{nl}적군 #{CaptionRatio}#명 공격{nl}파티원 전체 치료{nl}아군 #{CaptionRatio}#명 치료{nl}
SKILL_20150406_003596	Membalikkan serangan jarak dekat.	근접 공격을 반사합니다.
SKILL_20150406_003597	Secara bertahap menurun maksimum HP.	최대 HP가 점차 줄어듭니다.
SKILL_20150406_003598	Membatalkan semua serangan	모든 공격을 무효화 합니다.
SKILL_20150406_003599	Menggunakan Pedang ketika bergerak kedepan	칼질하며 전진합니다.
SKILL_20150406_003600	[Pardoner] Membuat despeller	[파드너] 디스펠러 제작
SKILL_20150406_003601	Craft Anti-Magic	안티매직 제작
SKILL_20150406_003602	[Pardoner] Membuat anti sihir	[파드너] 안티매직 제작
SKILL_20150414_003603	Shovelling	삽질
SKILL_20150414_003604	Detect metal	금속탐지
SKILL_20150414_003605	Water spray	물뿌리개
SKILL_20150414_003606	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Mendorong titik kekuatan senjatamu kearah musuh, menciptakan serangan piercing yang kuat	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}적을 무기 끝으로 강하게 찔러 뒤로 밀쳐냅니다.
SKILL_20150414_003607	{#DD5500}{ol}[Physical] - [Slash]{/}{/}{nl}Memberikan damage ke musuh dengan kekuatan penuh.	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}강한 공격으로 적에게 피해를 줍니다.
SKILL_20150414_003608	Memutuskan untuk meningkatkan seranganmu sementara waktu, sementara mengurangi pertahananmu.	각오를 다져 일시적으로 자신의 공격력을 증가시키는 대신 방어력을 감소시킵니다.
SKILL_20150414_003609	Meningkatkan damage seranganmu.	자신의 공격 위력을 증가시킵니다.
SKILL_20150414_003610	Mengurangi jumlah max HP, tetapi seranganmu memiliki kemungkinan yang tinggi untuk memberikan Stun pada musuh.	자신의 최대 HP를 낮추지만 공격한 적이 기절 상태가 될 확률이 생깁니다.
SKILL_20150414_003611	Chance Stun Enemy: #{CaptionRatio}#%{nl}Maximum HP: -#{CaptionRatio2}# {nl}Durasi: #{CaptionTime}# detik	적 기절 확률 #{CaptionRatio}#%{nl}최대 체력 #{CaptionRatio2}# 감소{nl}지속시간 #{CaptionTime}#초
SKILL_20150414_003612	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menyerang musuh dengan bagian gagang pedang.{nl}Memberikan tambahan damage pada monster yang terkena stun, dan mengabaikan defense dari musuh berukuran kecil dan medium.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}칼의 손잡이로 적을 때립니다.{nl}기절 상태의 적에게는 추가 대미지를 주고, 소형, 중형 몬스터에게 방어력의 일부를 무시합니다.
SKILL_20150414_003613	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menggunakan benturan dari shield untuk menyerang musuh. Block memberikan damage tambahan pada musuh yang terkena stagger.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}방패의 돌기를 이용해 적을 공격합니다. 블록 경직중의 적에게는 추가 대미지를 줍니다.
SKILL_20150414_003614	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menggunakan ujung shield untuk menyerang musuh. Memberikan damage tambahan pada musuh yang terkena petrified dan frozen.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}방패의 테두리를 이용해 적을 공격합니다. 석화, 결빙상태의 적을 공격하면 추가 대미지를 줍니다.
SKILL_20150414_003615	Memukul shield kamu untuk menarik perhatian musuh disekitar agar mengejarmu.	방패를 두드려 주변의 적을 도발하여 자신을 쫓게 합니다.
SKILL_20150414_003616	Meningkatkan pertahananmu sekaligus mengurangi attack kamu. Tidak dapat digunakan bersamaan dengan Gung Ho.	자신의 공격력을 감소시키는 대신 방어력을 증가시킵니다. 스킬 겅호와 함께 사용할 수 없습니다.
SKILL_20150414_003617	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Melempar tameng untuk memukul. Tameng yang terjatuh ke tanah akan menghilang apabila tidak diambil pada waktu tertentu.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}방패를 던져 적을 공격합니다. 던져진 방패는 제한 시간내 다시 줍지 않으면 사라져 버릴 수 있습니다.
SKILL_20150414_003618	Mengubah postur aktif dengan memposisikan shield di depan. Block meningkat sementara attack dan critical menurun.	방패를 앞세우는 적극적인 방어 스탠스로 전환합니다. 블록이 증가하지만 공격력과 치명타 발생이 감소합니다.
SKILL_20150414_003619	Block: +#{CaptionRatio}# {nl}Attack: -#{CaptionTime}#% {nl}Kemungkinan kritikal: -#{CaptionRatio2}#	블럭 #{CaptionRatio}# 증가{nl}공격력 #{CaptionTime}#% 감소{nl}치명타 발생 #{CaptionRatio2}# 감소
SKILL_20150414_003620	{#DD5500}{ol}[Physical] - [Strike] - [Slash]{/}{/}{nl}Menggunakan perisai dan pedang untuk menyerang musuh dengan serangan beruntun.	{#DD5500}{ol}[물리] - [때리기] - [베기]{/}{/}{nl}방패와 검을 이용해 적을 연속으로 공격합니다.
SKILL_20150414_003621	{#DD5500}{ol}[Physical] - [Slash]{/}{/}{nl}Mengayunkan senjatamu keatas dan melemparkan musuh.	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}무기로 적을 힘껏 올려쳐 날려버립니다. 
SKILL_20150414_003622	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Memukulkan senjatamu ke kepala target. Mengurangi INT dan SPR target sementara waktu.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}적의 머리 부분을 강하게 내려쳐 공격합니다. 일시적으로 적의 지능과 정신력을 감소시킵니다.
SKILL_20150414_003623	Mengambil posisi bertahan dengan menggunakan senjatamu untuk memblok. Musuh yang berhasil di blok akan menjadi rentan terkena serangan Pierce	무기를 이용하여 방어 자세를 취합니다. 방어 당한 직후의 적은 찌르기 공격에 취약한 상태가 됩니다.
SKILL_20150414_003624	{#DD5500}{ol}[Physical] - [Slash]{/}{/}{nl}Mengayunkan pedang kesekitar dan memberikan damage berturut-turut.	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}검을 원형의 궤적으로 휘둘러 전방의 적에게 연속 공격을 가합니다.
SKILL_20150414_003625	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Memukul dan mendorong musuh kesamping menggunakan sisi pedangmu. Musuh akan terkena [Armor Break].	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}적을 칼의 넓은 옆면으로 후려쳐 옆으로 밀쳐냅니다. 적은 방어구 파괴 상태가 됩니다. 
SKILL_20150414_003626	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Secara berulang menancap musuh dengan tombakmu.	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}창으로 적을 연속으로 찔러 피해를 줍니다.
SKILL_20150414_003627	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Serangan menusuk musuh menggunakan tombak. Semakin besar musuh jumlah hit bertambah.	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}창으로 적을 강하게 찔러 피해를 줍니다. 적의 크기가 클수록 연타 보너스가 적용 됩니다.
SKILL_20150414_003628	Mengubah formasi jendela pada serangan aktif. Kemungkinan kritikal meningkat tapi evasion berkurang.	적극적으로 공격하는 창문자세 스탠스로 전환합니다. 치명타 발생이 증가하지만 회피가 감소합니다.
SKILL_20150414_003629	{#DD5500}{ol}[Physical] - [Pierce] - [Strike]{/}{/}{nl}Menggunakan tombak dan tameng untuk menyerang musuh. Memberikan  damage tambahan ketika serangan di counter.	{#DD5500}{ol}[물리] - [찌르기] - [때리기]{/}{/}{nl}방패와 창을 이용해 적을 공격하여 피해를 줍니다. 적의 공격에 카운터로 사용하면 추가적인 피해를 줍니다.
SKILL_20150414_003630	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Melempar tombak pada musuh. Tombak yang jatuh pada tanah akan menghilang jika tidak diambil pada waktu tertentu.	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}창을 던져 적을 공격합니다. 던져진 창은 제한 시간내 다시 줍지 않으면 사라져 버릴 수 있습니다.
SKILL_20150414_003631	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menggunakan tameng dan mendorong musuh. Musuh akan jatuh ketika diserang.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}방패를 들고 적을 밀면서 달립니다. 근접한 적은 방패에 부딪혀 넘어집니다.
SKILL_20150414_003632	{#DD5500}{ol}[Physical] - [Slash]{/}{/}{nl}Secara kuat menyerang bagian bawah musuh dan memberikan kemungkinan paralyze	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}적의 하단을 강하게 공격합니다. 적은 일시적으로 행동이 마비될 수 있습니다.
SKILL_20150414_003633	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menggunakan perisaimu untuk memberikan damage kepada musuh dengan cara membenturkannya. Memberikan kemungkinan [Blind] kepada musuh.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}방패로 적을 강하게 내려쳐 피해를 줍니다. 적은 확률에 따라 암흑 상태에 빠질 수 있습니다.
SKILL_20150414_003634	Attack Power #{SkillAtkAdd}#{nl}Defense -#{CaptionRatio}# {nl}{#339999}{ol}[Unbalance]{/}{/} Durasi 5 detik	공격력 #{SkillAtkAdd}#{nl}방어력 #{CaptionRatio}# 감소{nl}{#339999}{ol}[언밸런스]{/}{/} 지속시간 5초
SKILL_20150414_003635	{#DD5500}{ol}[Physical] - [Slash]{/}{/}{nl}Menahan key untuk membungkuk dan maju kedepan. Evasion meningkat terhadap serangan musuh dan menyerang musuh setelah berhenti bergerak.	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}키를 누르고 있는 동안 자세를 낮추고 전방으로 전진합니다. 적의 공격에 대한 회피가 높아지며 이동이 끝난 직후 적을 공격합니다.
SKILL_20150414_003636	{#DD5500}{ol}[Physical] - [Pierce] - [Strike]{/}{/}{nl}Menggunakan pedang dan tameng untuk menyerang musuh berulang.	{#DD5500}{ol}[물리] - [찌르기] - [때리기]{/}{/}{nl}적에게 칼과 방패를 이용하여 연속 공격을 가합니다.
SKILL_20150414_003637	{#DD5500}{ol}[Pierce]{/}{/}{nl}Menusuk monster tipe small atau medium dengan tombak. Hal ini dimungkinkan untuk menyerang musuh lainnya dengan musuh ditusuk	{#DD5500}{ol}[찌르기]{/}{/}{nl}소형, 중형 몬스터를 창에 관통시켜 꽂고 다닙니다. 꽂힌 적을 이용하여 다른 적을 공격할 수 있습니다.
SKILL_20150414_003638	Meningkatkan Movement Speed saat mengendarai companion.	탑승중의 이동 속도가 증가합니다.
SKILL_20150414_003639	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menimbulkan kerusakan hebat dengan bergerak maju ke depan musuhmu.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}전방 돌진으로 적을 충격하여 피해를 입힙니다.
SKILL_20150414_003640	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Mengumpulkan kekuatan dan menusuk musuh dengan ujung tombak yang sangat kuat.	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}힘을 모아 적을 창 끝으로 강하게 찌릅니다.
SKILL_20150414_003641	{#DD5500}{ol}[Physical] - [Slash]{/}{/}{nl}Memutar tombak diatas kepala untuk menyerang musuh.	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}머리위로 창을 돌리면서 전방의 적들을 돌파합니다.
SKILL_20150414_003642	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}menarik sekitar dan memukul musuh.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}적을 잡아 끌고 다니며 지면에 마찰시켜 피해를 입힙니다.
SKILL_20150414_003643	Meningkatkan seranganmu ketika menahan serangan berulang dari target musuh.	하나의 적을 연속으로 공격할수록 점점 공격력이 증가하는 상태가 됩니다.
SKILL_20150414_003644	Serangan target memiliki kemungkinan kritikan dan evasion kritikal berkurang?	자신의 공격이 반드시 명중하지만, 자신의 치명타 발생과 치명타 회피가 감소하는 상태가 됩니다.
SKILL_20150414_003645	Sementara membuat Pierce Attack yang memberikan serangan berulang.	일시적으로 자신의 찌르기 공격을 연타로 적용시킵니다.
SKILL_20150414_003646	Sementara mengurangi Defense musuh dan menambah sama dengan jumlah attack.	일시적으로 주변 적들의 방어력을 감소시키고, 감소시킨 방어력을 그만큼 자신의 공격력에 추가합니다.
SKILL_20150414_003647	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Melangkah di atas musuh sementara di udara atau melompat.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}점프 중이거나 공중에 있을 때, 아래의 적을 강하게 내리밟아 피해를 줍니다. 
SKILL_20150414_003648	{#DD5500}{ol}[Physical] - [Slash]{/}{/}{nl}Charge kedepan saat menebas, menyerang musuh apapun yang menghalangi jalanmu.	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}전방으로 돌격하면서 가로막는 적들을 공격합니다.
SKILL_20150414_003649	Giant Swing	자이언트 스윙
SKILL_20150414_003650	Gunakan gaya sentrifugal untuk melempar musuh.	적을 잡아 원심력을 이용해 돌려서 힘껏 내던집니다.
SKILL_20150414_003651	Membuka toko untuk memperbaiki senjata dan sementara meningkatkan performa.	무기를 손질하여 성능을 일시적으로 향상시키는 상점을 개설합니다. 
SKILL_20150414_003652	Membuka toko untuk memperbaiki senjata dan sementara meningkatkan performa. Defensi fisik ditambahkan. Perbaikan hanya dapat dilakukan untuk Top, Pants dan Tameng.	방어구를 손질하여 방어력을 일시적으로 향상시키는 상점을 개설합니다. 상의, 하의, 방패만 가능하며 손질된 방어구에는 물리 방어력이 더해집니다.
SKILL_20150414_003653	Membuka toko untuk memperbaiki item. Item yang diperbaiki memiliki tingkat durability lebih tinggi dari Max. durability.	손상된 장비 아이템을 수리해주는 상점을 개설합니다. 최대 내구도보다 더 튼튼하게 수리하여 더 오래 사용할 수 있습니다.
SKILL_20150414_003654	Mengikat semua musuh, termasuk monster bos, untuk mencegah mereka dari bergerak.	보스 몬스터를 포함한 모든 적을 포박해 움직일 수 없게 만듭니다.
SKILL_20150414_003655	Memasang Basecamp dari anggota party. Anggota party dapat menggunakan basecamp dapat menggunakan storage atau teleport.	필드 위에 파티원들을 위한 베이스캠프를 설치합니다. 파티원들은 캠프에서 개인 창고 및 순간 이동을 사용할 수 있습니다.
SKILL_20150414_003656	Durasi: #{CaptionRatio}# Jam{nl}Durasi dari food effect minimal 30 menit	지속시간 #{CaptionRatio}#시간{nl}음식 효과 지속시간 30분 이상
SKILL_20150414_003657	Memasang Meja Refreshment untuk mempersiapkan makanan yang secara sementara meningkatkan kekuatan untuk anggota party. Meja Refreshment hanya dapat dibuat mendekati basecamp, dan jika camp dihancurkan maka meja refreshment akan dihilangkan juga.	파티원들의 능력치를 일시적으로 향상시켜주는 요리를 준비할 수 있는 배식대를 설치합니다. 배식대는 베이스 캠프 주변에만 설치할 수 있고, 캠프가 철거되면 배식대도 함께 철거됩니다.
SKILL_20150414_003658	Ping a flag that boosts pirates' abilities. Kill enemies repeatedly near the flag for combo attack.	해적단의 전투 능력을 고양시키는 해적기를 꽂습니다. 해적기 주변에서 연속으로 적을 처치하면 콤보가 발동됩니다.
SKILL_20150414_003659	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Menarik dan menyeret musuh yang tertangkap menggunakan iron hook. Musuh menerima damage setiap ditarik.	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}스킬 아이언 후크로 포획한 적을 당겨서 끌고 옵니다. 적은 끌려올 때마다 피해를 받습니다.
SKILL_20150414_003660	Bisa menggunakan dagger{nl}Tanpa delay setelah serangan normal{nl}Durasi: #{CaptionTime}# detik	기본 공격 모션 후{nl}딜레이 없이 단검 사용 가능{nl}지속시간 #{CaptionTime}#초
SKILL_20150414_003661	Serangan memiliki kemungkinan mencuri item musuh.	공격시 확률적으로 적에게서 강제로 아이템을 약탈해옵니다.
SKILL_20150414_003662	Membuat formasi untuk memanggil pasukan.	부대원을 소집하는 포메이션을 생성합니다.
