QUEST_LV_0100_20150317_000001	Sentinel	경계병
QUEST_LV_0100_20151015_008249	Apakah kamu mendengar bahwa Savior menghentikan rencana Demon Lord di Royal Tomb?{nl} Saya dengar Demon Lord akan menghancurkan reruntuhan di sekitar King's Plateau. Sekarang kita telah memberinya pelajaran.	어떤 계시자가 왕릉에서 마군주의 계획을 막았다면서요?{nl}그 마군주가 왕의 고원의 유적들을 다 부수고 다녔다던데, 죗값을 치른 셈이군요.
QUEST_LV_0100_20151015_008250	Bagaimana kamu bisa datang ke sini? Apakah kamu berhasil melalui Thorn Forest?{nl} Hmm..Kamu tidak bisa mengatakan mengenai hal itu kepadaku.	여긴 어떻게 온 거지? 설마 그 가시숲을 뚫고 온 거야?{nl}흠. 말해줄 수 없다는 건가.
QUEST_LV_0100_20151015_008251	Demon Lord yang merusak King's Plateau tampaknya adalah penyebab di balik semua kasus orang-orang yang hilang.{nl} Baguslah Savior berhasil menghentikan semua rencananya.	왕의 고원을 발칵 뒤집던 마군주가 최근 벌어진 여러 실종 사건의 원흉이었던 것 같아.{nl}꼴 좋지. 어떤 계시자 덕분에 그 마군주가 하려던 계획이 무산된 것 같으니 말야.
QUEST_LV_0100_20151015_008252	Ketika Goddess Saule menghilang, daerah di sekitar Kvailas Forest penuh dengan energi jahat dan penuh duri.{nl} Tapi Kamu berhasil melewati Thorn Forest? Bukankah itu pertanda baik?{nl}	사울레 여신께서 실종되면서 크바일라스 숲을 중심으로 온통 사악한 기운과 가시로 뒤덮여 버렸어.{nl}하지만 넌 그 가시숲을 건너 온 거지? 좋은 징조로 봐도 되는 걸까.{nl}
QUEST_LV_0100_20151015_008253	Seorang Savior telah menyelamatkan Royal Tomb of King Zachariel.{nl} Namun mengapa para demon mengincar reruntuhan yang telah berusia lebih dari seribu tahun? {nl} Ada begitu banyak yang tidak kita ketahui.{nl}	자카리엘 대왕의 왕릉을 어떤 계시자가 지켜냈다는군.{nl}그런데 천 년이나 된 유적을 마족이 왜 노렸을까. {nl}우리가 모르는 것들이 너무 많은 것 같아.{nl}
QUEST_LV_0100_20151015_008254	Aku dengar para monster terus menyerang reruntuhan dan para sejarawan terus menghilang.{nl} Namun, tak seorang pun mengingat fakta itu. Betapa lucunya.	여긴 몬스터가 유적을 공격하고 사학자가 틈만 나면 사라진다더군.{nl}그런데 아무도 기억을 못한다지? 정말 웃긴 일이야.
QUEST_LV_0100_20151015_008255	Aku dengar Savior mengusir Demon Lord yang mencoba mengambil alih Royal Tomb.{nl} Lucunya. Bukankah itu semua telah diramalkan sejak ribuan tahun yang lalu?	왕릉을 차지하려는 마군주를 어떤 계시자가 몰아냈다더군.{nl}정말 웃긴 일이지. 천 년 전부터 모든 일이 예견되어 있었다는 것 아닌가?
QUEST_LV_0100_20151015_008256	Jika Demon Lord menyerang Royal Tomb, maka indikasi dari Jonas di Gate Route kini menjadi jelas.{nl} Jika King Zachariel menghapus memori dari para pekerja di Mausoleum, maka itu adalah efek samping dari magic kuno. {nl} Bagaimana menurutmu apa yang ia rencanakan?	마군주가 왕릉을 침범했다면 대왕의 관문에 계신 요나스님의 증세도 확실해 집니다.{nl}자카리엘 대왕이 왕릉 인부들의 기억을 지웠다던 옛 마법의 부작용이지요.{nl}도대체 무슨 꿍꿍이였을까요?
QUEST_LV_0100_20151015_008257	Sekarang para demon dapat menyerupai wajah manusia.{nl} Saya dengar Savior menghentikan Demon Lord di Royal Tomb,{nl} tapi sekarang saya tidak tahu berapa banyak demon yang bersembunyi di antara manusia.	급기야 마족이 사람의 탈까지 쓰는군.{nl}왕릉의 마군주는 어느 계시자가 저지했다지만, 또 얼마나 많은 마족이 사람의 틈에 섞여 있을꼬.
QUEST_LV_0100_20151015_008258	Tempat ini memiliki catatan sejarah dari sisi yang tersembunyi.{nl} Waktu adalah sesuatu yang mutlak. Itu tergantung pada bagaimana Kamu melihatnya.	이 곳은 역사의 이면들이 기록되어 있는 곳이지요.{nl}시간은 절대적인 것이랍니다. 다만 어떻게 받아들이냐에 따라 다를 뿐.
QUEST_LV_0100_20151015_008259	Aku dengar Savior menghentikan Demon Tuhan yang mengincar Royal Tomb.{nl} Ini mungkin sedikit berlebihan jika dihubungkan dengan Medzio Diena dan raja dari seribu tahun yang lalu...{nl} Namun aku yakin ada sesuatu yang kita semua lupakan.	자카리엘 대왕의 왕릉을 노리던 마족을 어느 계시자가 저지했다는 이야기를 들었습니다.{nl}신수의 날과 천 년 전의 왕을 연결시키기엔 조금 무리가 있지만..{nl}분명 우리가 잊고 있는 것이 있을 거라 생각합니다.
QUEST_LV_0100_20151015_008260	Para demon menyerang Mage Tower secara terus-menerus bahkan sebelum Medzio Diena.{nl} Berkat Goddess mengirimkan Savior, kami akhirnya bisa mengakhiri pertempuran panjang ini.	마법사의 탑은 신수의 날 이전부터 헬가 세르클의 끊임없는 침공이 이어졌던 곳입니다.{nl}여신께서 계시자를 보내주신 덕분에 기나긴 싸움의 종지부를 드디어 찍게 되는군요.
QUEST_LV_0100_20151015_008261	Isi dari sejarah begitu terasa penuh makna ketika Kamu berdiri di tempat ini. {nl} Mungkin Kamu dapat menemukan petunjuk mengenai Medzio Diena di sini.	여기에 있으면 역사의 무게가 아찔하게 느껴지지.{nl}어쩌면 신수의 날에 대한 단서를 찾을 수 있을지도 몰라.
QUEST_LV_0100_20151015_008262	Aku terus berpikir kalau Medzio Diena mungkin hanyalah sebuah proses.{nl} Jika tidak, maka mengapa para demon mengincar mausoleum yang berusia ribuan tahun?{nl} Untung Savior berhasil menghentikannya.	신수의 날은 단지 과정이 아닐까 하는 생각이 요즘 자꾸 들어.{nl}그렇지 않으면 천 년이나 된 왕릉을 마족이 노릴 이유가 무어 있겠나. {nl}어떤 계시자가 막아냈다기에 망정이지.
QUEST_LV_0100_20151015_008263	Semua orang tahu bahwa Helgasercle terobsesi dengan Mage Tower sejak berabad-abad yang lalu.{nl} Apapun yang ada di tower itu, akhirnya kita bisa mengakhirinya. {nl} Itu adalah yang terbaik.	헬가 세르클이란 마군주가 수 백년 전 부터 마법사의 탑에 집착한 건 다들 알고 있는 사실이지.{nl}그 탑에 무엇이 있던 간에 드디어 그 끝을 보게 되는군. {nl}정말 잘 된 일이야.
QUEST_LV_0100_20151015_008264	Pertama-tama Tenet Church dan sekarang Great Cathedral...{nl} Namun mereka mengatakan itu semua telah diselesaikan oleh Savior, jadi saya berharap semua akan menjadi lebih baik.{nl} Jangan perdulikan isu yang beredar dan lakukan apa yang terbaik untuk Goddes dan kingdom.	테넷 성당에 이어 대성당까지.. 허나 계시자 덕분에 잘 해결되었다고 하니 앞으론 나아 지겠지.{nl}세간 일엔 신경 끄고 자신의 일을 묵묵히 다하는 게 여신과 왕국을 위한 길이오.
QUEST_LV_0100_20151015_008265	Rumor bahwa Savior menyelamatkan Mage Tower hal besar bahkan bagi orang seperti saya,{nl} Siapa yang tidak tertarik akan isu yang beredar, dan membicarakannya.{nl} Saya terkejut bahwa ada seseorang yang cukup hebat dari mereka semua yang ada disana.	어떤 계시자가 마법사의 탑을 구했다는 소식은 나처럼 세상 일에 관심이 없어도 듣게 된다오.{nl}그 많은 어중이 떠중이들 사이에 그나마 봐줄 만한 계시자가 있었다니 놀랄 일이지.
QUEST_LV_0100_20151015_008266	Hergasercle merupakan penjelmaan dari obsesi.{nl} Rantai obsesi hancur berkat Savior tapi soulnya bukanlah sesuatu yang dapat diselamatkan.	헬가 세르클은 집착의 화신이었소.{nl}계시자 덕분에 그 집착의 고리는 끊어졌지만, 영혼까지 구원받을 수는 없을 거요.
QUEST_LV_0100_20151015_008267	Aku dengar Savior mengalahkan Demon Lord yang menodai ajaran bijak Maven.{nl} Sekarang saatnya bagi kita para priest untuk maju.{nl} Kita harus menyingkirkan penyesalan kita tentang kegagalan melindungi Great Cathedral dan menebus dosa kita.	어느 계시자가 현자 메이번의 가르침을 더럽힌 마군주를 쓰러뜨렸다는 이야길 들었소.{nl}이제 우리 성직자들도 적극 나설 때요. {nl}대성당을 지키지 못한 후회는 접어두고 지금이라도 속죄할 수 있을 거라 믿고 있소.
QUEST_LV_0100_20151015_008268	Rekan saya sudah mati?{nl} Itu bisa mungkin. Jika saja aku tidak menggodanya...{nl}	내 동료가 목숨을 잃었다고?{nl}말도 안돼. 내가 꼬드기지만 않었더라도..{nl}
QUEST_LV_0100_20151015_008269	Map ini sudah tidak berguna bagi saya, tanpa adanya rekan-rekan saya.{nl} Doakan rekan-rekan saya pergi menuju Goddess dengan aman.	소중한 동료가 눈을 감았으니 이 지도가 무슨 소용이 있겠어.{nl}대신 내 동료가 무사히 여신의 품으로 가길 기도해줘.
QUEST_LV_0100_20151015_008270	Aku tidak bisa meninggalkan semuanya…	내 모든 것을 두고 떠날 순 없어..
QUEST_LV_0100_20151015_008271	Apa yang harus kita lakukan?{nl} Vubbes menerobos masuk dan menculik para penduduk desa!	큰일이네!{nl}부베들이 쳐들어와서 마을 사람들을 납치해 갔어!
QUEST_LV_0100_20151015_008272	Kamu adalah Savior, bukan?{nl} Goddess pasti telah membantu.{nl}	자네, 계시자지?{nl}여신께서 도운 게로군.{nl}
QUEST_LV_0100_20151015_008273	Ini semua karena mimpi dari bishop Klaipeda.{nl} Apa yang ia katakan tentang bukti salvation di Crystal Mine. Aku belum pernah melihat hal seperti itu.{nl}	이게 다 클라페다 주교님의 꿈 때문이네.{nl}무슨 난생 보지도 못한 구원의 빛이 수정광산에 있다는 건지.{nl}
QUEST_LV_0100_20151015_008274	Aku tidak tahu sebabnya tetapi Vubbe tiba-tiba bergegas keluar dari Crystal Mine. {nl} Para Vubbe menculik semua penduduk desa yang terlihat dan membawanya kedalam tambang.{nl}	그때문인진 몰라도 갑자기 수정광산에서 부베들이 쏟아져 나왔네.{nl}그 부베들은 닥치는대로 마을 사람들을 잡아 광산으로 끌고 들어갔어.{nl}
QUEST_LV_0100_20151015_008275	Tolong... Selamatkan penduduk desa.{nl} Saya mohon kepada Anda!	제발, 마을 사람들을 구해 주게.{nl}내 꼭 부탁함세!
QUEST_LV_0100_20151015_008276	Terima kasih karena telah menyelamatkan saya.{nl} Kamu pasti adalah Savior yang datang untuk mencari Cahaya Salvation.{nl}	구해주셔서 감사합니다.{nl}보아하니 당신도 구원의 빛을 찾으러 왔다는 계시자인 모양이군요.{nl}
QUEST_LV_0100_20151015_008277	Ayo kita pergi ke Crystal Mine.{nl} Aku akan memberitahu Kamu keseluruhan ceritanya di pintu masuk Crystal Mine.	어서 수정광산으로 가시죠.{nl}나머지 이야기는 광산 입구에서 천천히 하도록 합시다.
QUEST_LV_0100_20151015_008278	Tunggu dulu! Ada sesuatu yang harus Kamu ketahui.{nl} Kami juga pergi ke mine untuk menyelamatkan penduduk desa yang diculik. {nl} Namun purifier yang rusak dan mine yang penuh dengan asap beracun, membuat kami selalu gagal.{nl}	잠깐만! 자네가 알아둬야 할 게 있어.{nl}우리도 납치된 마을 사람들을 구하러 광산에 들어갔었지만.{nl}정화 장치가 고장나서 유독 증기가 광산에 가득 차 있어 번번히 실패했었지.{nl}
QUEST_LV_0100_20151015_008279	Ya..Ya..{nl} Carilah seorang pemuda yang bernama Vaidotas!{nl}	그.. 그렇지.{nl}바이도타스라는 청년을 찾게!{nl}
QUEST_LV_0100_20151015_008280	Orang itu sangat paham mengenai purifier di Crystal Mine.{nl} Belum lama ia dibawa pergi oleh para Vubbe jadi ia pasti berada di Vubbe Outpost.	그 청년이 수정광산의 정화장치를 잘 알고 있네.{nl}부베들한테 끌려간 지 얼마 안되었으니 아직 부베 전초기지에 잡혀 있을거야.
QUEST_LV_0100_20151015_008281	Kamu ingin mempelajari skill saya?{nl} Tidak sulit bagi saya untuk mengajarkan Anda, tapi apakah Kamu mampu mengatasinya?	내 기술을 배우고 싶다고?{nl}가르쳐 주는 거야 어렵지 않지만, 네가 내 지도를 소화해 낼 수 있을까?
QUEST_LV_0100_20151015_008282	Goddess selalu mengatakan kepada kami untuk membantu orang di sekitar kami.{nl} Dengan membantu orang lain di sekitar Anda, itu akan membantu semangat Kamu juga.	여신께선 언제나 주변을 도우라고 하셨습니다.{nl}주변을 돕는 것으로 스스로의 영혼을 돕는 것이라 하셨죠.
QUEST_LV_0100_20151015_008283	Ujian Great King Zachariel tidaklah mudah.{nl} Dengan skill yang Kamu miliki, ia seharusnya akan mengakui Anda.	자카리엘 대왕의 시련은 정말 험난하군요.{nl}이 정도라면, 당신을 인정해 줄 만도 한데요.
QUEST_LV_0100_20151015_008284	Kingdom telah kehilangan semua harapannya.{nl} Mereka tidak memiliki kemauan untuk berdiri tegar lagi dan hanya menangis kepada para Goddeess.{nl}	지금의 왕국은 모든 희망을 잃었습니다. {nl}다시 일어설 의지조차 꺾인 채로 여신의 이름만 부르짖고 있습니다.{nl}
QUEST_LV_0100_20151015_008285	Namun Akhir-akhir ini, orang-orang berdatangan mengatakan mereka bermimpi tentang Goddess.{nl} Kamu adalah salah satunya, Savior.{nl}	그런 와중에 왕국 곳곳에서 여신의 꿈을 꾸었다는 사람들이 나타났습니다.{nl}바로 여러분. 계시자들이지요.{nl}
QUEST_LV_0100_20151015_008286	Bagaimanapun, bishop sendiri juga bermimpi ketika berdoa di closure.{nl} Dalam mimpinya, Goddess mengatakan kepadanya bukti salvation akan ditemukan di Crystal Mine.{nl}	어쨌든, 주교님 또한 폐관 기도 중에 계시의 꿈을 꾸셨습니다.{nl}꿈에 여신께서 수정광산에 구원의 빛이 있을 것이라 하셨다는군요.{nl}
QUEST_LV_0100_20151015_008287	Knight Aras ada di Eastern Woods sedang bertugas jadi pergilah dan temui ia.	동쪽 숲에 주둔하고 있는 기사 아라스가 담당이니 그를 만나보십시오.
QUEST_LV_0100_20151015_008288	Empat tahun telah berlalu sejak kejadian itu, mengapa Goddess mengirimkan Savior sekarang...{nl} Aku rasa manusia sepertiku tidak dapat memahami makna yang lebih dalam dari keinginan Goddess.	왜 여신께서는 4년이나 지난 지금에야 계시자들을 보내셨는지.. {nl}저 따위가 여신의 뜻을 알 길은 없습니다.{nl}
QUEST_LV_0100_20151015_008289	Namun, setidaknya saya tahu bahwa Savior adalah satu-satunya harapan kami.{nl}	하지만 계시자들이 저희들이 유일하게 붙잡을 희망인 건 알고 있습니다.{nl}
QUEST_LV_0100_20151015_008290	Kalau begitu, pergilah ke Eastern Woods.{nl} Jangan lupa untuk menghormati Patung Goddess Ausrine di central plaza sebelum Kamu pergi.{nl}	자, 그럼. 동쪽 숲으로 출발하시지요.{nl}중앙 광장의 아우슈리네 여신상에 경배 드리는 것을 잊지 마시고요.{nl}
QUEST_LV_0100_20151015_008291	Juga, pastikan untuk mampir ke Item Merchant.{nl} Saya telah meninggalkan beberapa scroll warp untuk Savior seperti Anda.	그리고 잡화 상인에게도 꼭 들러 주시길 바랍니다.{nl}계시자들을 위한 워프 스크롤을 부탁해 놓았으니까요.
QUEST_LV_0100_20151015_008292	Aku bisa merasakan penderitaan Bramble.{nl} Dia mencoba untuk mengekstrak semua kekuatan di tanah ini.	브람블이 괴로워 하는 게 느껴지네요.{nl}이 땅의 생기를 모두 빨아들인 대가입니다.
QUEST_LV_0100_20151015_008293	Saya tidak takut mati.{nl} Goddess Saule akan membimbing saya dengan baik.	목숨을 잃는 건 두렵지 않습니다.{nl}사울레 여신께서 잘 인도해 주시겠지요.
QUEST_LV_0100_20151015_008294	Portal yang Kamu coba buka adalah false gateway.{nl} Portal yang mengarah ke mana semua pengetahuan di dunia berada.	당신이 열려고 했던 포탈은 거짓 술수의 관문.{nl}그 포탈은 세계의 모든 지식이 머무는 곳으로 가는 통로입니다{nl}
QUEST_LV_0100_20151015_008295	Aku telah melawan Demon Lord Bramble, yang mencoba mengambil alih Revelation.{nl} Aku telah melawan mereka siang dan malam untuk dapat menyerahkan Revelation kepada kamu. {nl}	저는 계시를 차지하려는 마군주 브람블과 계속 대항해왔습니다.{nl}계시를 그대에게 전해드리기 위해 몇날 며칠 밤과 낮을 쉴 새 없이 그와 맞섰지요.{nl}
QUEST_LV_0100_20151015_008296	Namun, Medzio Diena merusak keseimbangan kekuatan.{nl} Para Goddess kehilangan sebagian kekuatan mereka sejak hari itu.{nl}	하지만 신수의 날은 힘의 균형을 깨뜨렸습니다.{nl}그 날 이후로 여신들은 거의 대부분의 힘을 잃고 말았으니까요.{nl}
QUEST_LV_0100_20151015_008297	Bramble mengambil kesempatan itu untuk mencuri Revelation dan menyegel saya di tempat ini.{nl} Karena hanya saya yang tahu cara menafsirkan Revelation.{nl}	브람블은 그 기회를 놓치지 않고 계시를 빼앗아 저를 이 곳에 가두었습니다.{nl}그 계시를 해석하는 방법은 저만이 알고있었으니까요.{nl}
QUEST_LV_0100_20151015_008298	Tapi aku tidak mematuhi perintah Bramble untuk menafsirkan Revelation.{nl} Itu sebabnya ia membuat rencana untuk membuka portal di mana semua pengetahuan dunia berada.{nl}	하지만 저는 계시를 해석하라는 브람블의 요구를 들어주지 않았습니다.{nl}그래서 그는 세계의 모든 지식이 머무는 곳으로 포탈을 열기 위한 간계를 준비한 것이지요.{nl}
QUEST_LV_0100_20151015_008299	Penduduk daerah ini menjadi korban dari rencana untuk membuka portal.{nl} Untuk menemukan cara mendapatkan Revelation gunakan kekuatanmu sebagai Savior... Atau sesuatu yang brutal akan terjadi.{nl}	이 곳의 주민들이 바로 그 포탈을 열기 위한 간계입니다.{nl}구원자인 그대의 힘을 이용하여 계시를 얻기 위한 방법을 찾고자.. 끔찍한 일을 저질렀습니다.{nl}
QUEST_LV_0100_20151015_008300	Aku kehilangan sebagian kekuatan saya dan tidak bisa menghentikan ketakutan yang terjadi.{nl} Yang bisa  kulakukan hanyalah... merasa putus asa.{nl}	대부분의 힘을 잃은 저는 그 참상을 막을 수 없었습니다. {nl}그저 절망하는 것 밖에.. 할 수 없었습니다.{nl}
QUEST_LV_0100_20151015_008301	Namun Revelation menuntunmu kepadaku.{nl} Aku yakin bahwa kamu adalah secerca cahaya yang akan menyelamatkan dunia ini.{nl}	그러나 계시가 그대를 제게 인도해 주었습니다.{nl}저는 그대가 이 세계의 모든 것을 구원해 줄 한 줄기의 빛임을 확신하고 있습니다.{nl}
QUEST_LV_0100_20151015_008302	Savior.{nl} Tolong hancurkan kekuatan Magic yang membelengguku.{nl} Untuk memberikan dan mengikuti Revelation, Aku harus terbebas dari kekuatan Magic ini.	구원자여. {nl}절 구속하고 있는 마법진을 파괴해 주십시오.{nl}계시를 전하고 그에 따르기 위해서는 먼저 제가 해방되어야 합니다.
QUEST_LV_0100_20151015_008303	Magic Circle of Confinement terletak di Drugys Courtyard dan Vapsva Vacant Lot.{nl} Tolong cepat sebelum aku kehilangan kesadaran.	구속 마법진은 드루기스 안뜰과 밥스바 공터에 하나씩 있습니다.{nl}제가 정신을 잃기 전에.. 서둘러 주십시오.
QUEST_LV_0100_20151015_008304	Terima kasih telah menyelamatkanku.{nl} Kamu... adalah Savior sejati yang akan menyelamatkan dunia ini.{nl} Savior yang Goddess Laima selalu bicarakan.	구해주셔서 감사합니다.{nl}그대는.. 계시자 중에서도 세계를 구할 단 한명의 구원자.{nl}라이마께서 말씀하신 분이로군요.{nl}
QUEST_LV_0100_20151015_008305	Aku Saule, Goddess Matahari{nl} Aku adalah Guardian dari Revelation.	저는 태양의 여신 사울레.{nl}계시의 수호자였습니다.{nl}{nl}
QUEST_LV_0100_20151015_008306	Kurungan ini masih menahanku.{nl} Kita harus menemukan Clymen yang memiliki kuncinya dan ia bersembunyi di antara dimensional crack.	저를 가두고 있는 결계는 이것뿐만이 아닙니다.{nl}차원의 틈에 숨어 있는 감시자 클라이멘을 찾아야 합니다.
QUEST_LV_0100_20151015_008307	Tolong bawakanku sacrifice tool di Altar Grand Corridor.{nl} Aku akan mencoba untuk menggunakan kekuatan suci yang terdapat di dalam tool itu.	신전 대회랑에 있는 제사 도구를 제게 가져오세요.{nl}도구에 깃든 신성력을 이용해 보겠습니다.
QUEST_LV_0100_20151015_008308	Aku akhirnya bebas.{nl} Aku akan bersiap untuk menafsirkan Revelation mulai saat ini.{nl}	드디어.. 해방되었군요.{nl}저는 이제부터 계시를 해석할 준비를 시작할 것입니다.{nl}
QUEST_LV_0100_20151015_008309	Seperti yang telah kukatakan sebelumnya, Revelation berada di tangan Demon Lord Bramble.{nl} Aku sangat menyesal karena aku membebani kamu, tetapi hanya kekuatan kamu satu-satunya hal yang bisa kuandalkan.{nl}	전에도 말씀드렸지만, 지금 계시는 마군주 브람블의 손에 있습니다.{nl}그대에게 무거운 짐을 지우는 것 같아 죄스런 마음이지만, 의지할 곳은 그대의 힘 밖에 없습니다.{nl}
QUEST_LV_0100_20151015_008310	Namun Bramble juga tidak dalam kondisi biasanya karena pertempuran sebelumnya.{nl} ia akan pulih dengan membuat hutan menjadi hutan duri dan mengekstrak makanannya.	다행히 브람블 또한 저와의 오랜 전투로 성한 상태는 아닙니다.{nl}숲을 가시숲으로 만들어 양분을 빨아들이면서 자신의 몸을 회복하고 있지요.{nl}
QUEST_LV_0100_20151015_008311	Believers saya menunggu Kamu di Gate Route.{nl} Tolong ambil kembali Revelation dari Bramble.	관문로에서 저의 신도들이 당신을 기다리고 있습니다.{nl}부디 그에게서 계시를 되찾아 주십시오.
QUEST_LV_0100_20151015_008312	Aku telah mengukir banyak owl sejak lama untuk membantu Goddess Ausrine.{nl} Pada suatu ketika, mereka mendapat kehidupan dan tekad mereka.{nl}	난 아우슈리네 여신을 돕고자 영혼을 인도하는 부엉이를 아주 많이 깎았지.{nl}어느 순간 생명이 깃들기 시작했고, 의지도 갖게 되었어.{nl}
QUEST_LV_0100_20151015_008313	Medzio Diena hanyalah awal.{nl} Sebuah hutan yang jauh dari capital seperti ini mulai terisi dengan energi jahat.{nl}	신수의 날은 그저 시작일 뿐이였는가.{nl}이렇게나 수도에서 멀리 떨어진 숲도 사악한 기운에 젖어들기 시작하는군.{nl}
QUEST_LV_0100_20151015_008314	Aku akan memandu Kamu menuju Revelation jika saya menggunakan semua kekuatan{nl}yang tersisa dalam diri saya. Itulah mengapa Kamu harus melepaskan saya.{nl}	제게 남아있는 모든 힘을 다하면 당신을 계시로 인도할 수는 있을 것입니다.{nl}때문에 반드시 절 해방시켜주셔야 합니다.
QUEST_LV_0100_20151015_008315	Namun tolong untuk tidak mengungkapkan keberadaan saya saat ini.{nl} Ini adalah sifat manusia yang ingin bergantung pada sesuatu.{nl} Jika mereka mengetahui tentang ketidakberdayaan Goddess, dunia ini akan penuh dengan kekacauan dan keluhan.	허나 저의 존재는 잠시 발설하지 말아 주세요.{nl}인간은 본디 기댈 곳이 필요한 존재.. {nl}여신의 무력함을 알게 되면 이 세상은 탄식과 혼란으로 가득차게 될 것입니다.
QUEST_LV_0100_20151015_008316	Portal itu.. sebuah fantasi... BUkan. Sebuah portal untuk menuju ke Goddess Saule.{nl} Bagaimanapun juga, membuka portal adalah hal yang terpenting.	그 포탈은요. 환상.. 아니지. 사울레 여신께 가는 포탈이지요.{nl}어쨌든 포탈을 여는 건 아주 중요합니다.
QUEST_LV_0100_20151015_008317	Jika armor melindungi Kamu dari serangan fisik, aksesoris melindungi Kamu dari serangan magic.{nl} Saya harap ini akan berguna untuk Anda.{nl} Senang bertemu dengan Anda!{nl} Apakah Kamu Savior yang memimpikan Goddess?{nl}	방어구가 물리 공격을 막아 준다면 악세서리는 마법 공격에서 보호해 줄 수 있어요.{nl}꼭 유용하게 써 주셨으면 좋겠어요.{nl}{nl}반가워요! {nl}여신의 꿈을 꾸셨다는 계시자시지요?{nl}
QUEST_LV_0100_20151015_008318	Semua orang di Klaipeda bicara mengenai hal itu.{nl} Saya ingin tahu apakah Savior benar-benar melihat Goddess yang menghilang dalam mimpi kalian... dan di mana mimpi itu terjadi... {nl}	클라페다는 온통 그 얘기들 뿐이예요.{nl}정말 계시자님들이 사라진 여신을 꿈에서라도 본 건지.. 그 꿈은 어떤건지..{nl}
QUEST_LV_0100_20151015_008319	Aku ingin tahu lebih banyak tentang mimpi itu tapi aku yakin mereka tidak dapat memberitahukan hal itu.{nl} Namun itu bukanlah masalah karena aku percaya bahwa savior akan menemukan Goddess.{nl}	저도 그 꿈 내용이 참 궁금하긴 하지만 알려주실 순 없으시겠죠.{nl}그래도 괜찮아요. {nl}저는 계시자님들이 여신을 찾기 위해 나타난 사람들일거라고 믿고 있거든요.{nl}
QUEST_LV_0100_20151015_008320	Silahkan ambil aksesori ini.{nl} Jika armor melindungi Kamu dari serangan fisik, aksesoris akan melindungi Kamu dari serangan magic.{nl}	부디 이 악세사리를 받아주세요.{nl}방어구가 물리 공격을 막아 준다면 악세서리는 마법 공격에서 보호해 줄 수 있어요.{nl}
QUEST_LV_0100_20151015_008321	Aku berharap ini akan berguna untukmu.{nl} Semoga blessing Goddess menyertai kamu…	꼭 유용하게 써 주셨으면 좋겠어요.{nl}그럼 여신의 가호가 함께 하길..
QUEST_LV_0100_20151015_008322	Poison Scorpio, itu terlihat aneh.{nl} Hmm. Itu sudah terjadi sehingga aku tak bisa berbuat apa-apa. Aku tidak keberatan selama itu tidak mengancam nyawaku.	스콜피오 독이라니, 좀 이상하긴 했어.{nl}뭐. 이미 벌어진 일인 걸 어쩌겠나. 멀쩡하기만 하면 신경 안 써도 되겠지.
QUEST_LV_0100_20151015_008323	Oh aku menyebabkan kamu kesulitan.. Terima kasih telah membantuku.{nl} Kamu hanya perlu membuat magic circle dengan kayu bakar yang kuberikan dan bakar voodoo doll itu di atasnya.	괜히 저 때문에.. 도와주신다니 감사할 따름입니다.{nl}제가 드리는 나무 장작으로 마법진을 쌓고 그 위에서 주술인형을 태워 주시면 됩니다.
QUEST_LV_0100_20151015_008324	Tanaman itu mati ketika kamu melakukan apa yang diperintahkan?{nl} Tidak apa-apa. Aku diberitahu bahwa energi jahat di dalam tanaman akan pergi dengan cara seperti itu.{nl}	시키는 대로 했더니 작물들이 말라버렸다구요.{nl}괜찮습니다. 작물 안에 있던 나쁜 기운이 빠져나갈거라고 그랬으니까요.{nl}
QUEST_LV_0100_20151015_008325	Ini sulit.{nl} Mungkin banyak yang akan terbunuh..	이거 참 곤란하군.{nl}자칫하단 여럿 치우게 생겼겠는걸..
QUEST_LV_0100_20151015_008326	Hah? Kamu membunuhnya karena mencoba untuk memakan manusia?{nl} Ah.. baiklah, Lupakan. Aku akan laporkan ini langsung ke Baron.	응? 사람을 잡아 먹으려고 해서 없애 버렸다고?{nl}아아. 뭐.. 할 수 없지. 신경쓰지 말게. 남작님께는 내가 보고 하지.
QUEST_LV_0100_20151015_008327	Ini adalah yang terakhir.{nl} Magic circle di Darbas Entrance akan diganggu oleh banyak monster.{nl} Dengan divine power yang ditekan, maka monster secara alami akan tertarik ke area itu.	이제 마지막이네요. {nl}다르바스 진입로에 있는 마법진은 몬스터의 방해가 거셀 거예요.{nl}신성한 기운이 억눌리니 자연히 그곳으로 몰리는 거겠지요.
QUEST_LV_0100_20151015_008328	Baron sedang melakukan sesuatu untuk memurnikan peternakan ini.{nl} Namun baru-baru ini tanaman mulai mati dan orang-orang mulai jatuh sakit.{nl}	남작이 이 농장을 정화한다며 뭔가를 하고 있대.{nl}그런데 요즘 들어 작물이 말라 버리거나 몸져 눕는 사람들이 계속 생기고 있어.{nl}
QUEST_LV_0100_20151015_008329	Jika magic cirlce benar-benar berbohong, maka kamu harus dapat menghapus magic circle di Tylila path dengan kekuatan Goddess.{nl} Maksudku sesuatu seperti Statue of Goddess. Apakah ada cara untuk mendapatkannya?	정말 마법진이 거짓이라면 틸리아 오솔길의 마법진도 여신의 권능으로 없앨 수 있을 거요.{nl}가령 여신상이라던가 말이오. 어떻게 구할 방법이 없겠소?
