QUEST_UNUSED_20150317_000001	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.	아하, 파드너 마스터에게로 가는 길이로군. 무운을 빕지요.
QUEST_UNUSED_20151116_001318	Saya tidak dapat melarikan diri sendiri dengan meninggalkan para Priest itu.{nl} Kami harus mengambil kembali Demon Command Scroll.{nl} Harus memeriksa rencana penyerbuan para demon dengan menafsirkan bagian yang masih belum ditafsirkan di dokumen itu.	사제들을 놔두고 저 혼자 도망칠 순 없습니다.{nl}마족 명령서를 꼭 회수해야합니다.{nl}거기에 해석하지 못 한 부분을 해석하여 마족들의 침공계획을 확인해야 합니다.
QUEST_UNUSED_20151116_001319	Bishop masih hidup rupanya!{nl} Sungguh beruntung sekali.{nl} Kamu pasti adalah sang Savior.{nl} Goddess sedang membantu kita.	주교님이 살아계셨군요!{nl}정말 다행입니다.{nl}그리고 역시 당신이 계시자였군요.{nl}여신이 우릴 돕고 계십니다.
QUEST_UNUSED_20151116_001320	Aku merasakan energi yang tidak baik setelah masuk kesini.{nl} Maka dari itu setelah mendapat imbalan, aku sedikit ingin melakukan pekerjaan lain membantu seorang perekrut pekerjaan..{nl} Walaupun sibuk, jika kamu berencana melewati area 1, tolong habisi para demon yang ada di tempat itu{nl} Dan cobalah kumpulkan sesuatu?{nl} Mohon bantuannya akan sesuatu yang terlihat aman.	여기 들어오니 오싹한 기운이 감도는 군요.{nl}그래도 보수를 받고 하는 일이니 좀 더 고용주에게 도움이 되는 일을 하고 싶은데..{nl}바쁘시겠지만 1번 지역에 갈 일이 있다면 그곳에서 마족들을 처치해서{nl}뭔가 모아다 주실 수 있겠습니까?{nl}안전해보이는 걸로 부탁드립니다.
QUEST_UNUSED_20151116_001321	Kamu terlihat sehat dan kuat berbeda dengan kami.	당신은 우리들과 다르게 멀쩡해 보이는 군요.
QUEST_UNUSED_20151116_001322	Entah apa yang akan mereka lakukan dengan ini, paling tidak saya seperti sudah melakukan pekerjaan perlahan-lahan walau sedikit, dan memberikan impresi pada mereka.{nl} Terima kasih.	이걸로 그들이 뭘 할지는 모르지만 적어도 제가 쉬엄쉬엄 일을 했다는 인상은 주지 않을 것 같습니다.{nl}감사합니다.
QUEST_UNUSED_20151116_001323	Para informan yang kutemui di luar, memiliki pikiran yang sama yaitu jika menemukan sesuatu meminta agar dibawakan kepada mereka katanya.{nl} Saya jujur saja tidak ada rasa tertarik pada hal-hal seperti itu..{nl} Tetapi karena hal itu adalah permintaan tolong, sepertinya harus dilakukan.	바깥에서 만난 정보원들이 하나같이 뭔가 찾게되면 가져와달라고 하더군요.{nl}전 솔직히 그런것들엔 관심이 없습니다만..{nl}그래도 부탁받은 일이니 하긴 해야할 것 같습니다.
QUEST_UNUSED_20151116_001324	{nl} Karena Aku akan berusaha semampu saya, jika kamu juga memiliki urusan untuk menghadapi para demon yang ada di area 2{nl} Maukah kamu membawakan sesuatu yang muncul dari mereka?	{nl}저도 제 나름 찾아볼태니 당신도 2번 지역에서 마족들을 상대할 일이 있다면{nl}녀석들에게 뭔가 구해다 주시지 않겠습니까?
QUEST_UNUSED_20151116_001325	Tetapi dibandingkan menggunakan para Demon, apakah tidak lebih baik jika menangkap mereka hidup-hidup?{nl}Tentu dengan dasar jika mereka dapat ditangkap hidup-hidup.	그런데 마족들이 사용하던 것보단 마족을 생포하는 게 더 좋지 않을까요?{nl}물론 생포할 수 있다는 전제하에 말이죠.
QUEST_UNUSED_20151116_001326	Potongan kayu rupanya.{nl} Apakah ini semacam jimat? Sebenarnya saya sedikit penasaran apakah yang mereka bisa lakukan dengan benda ini..{nl} Yah paling tidak lebih baik daripada tidak ada apapun.	나무 조각이군요.{nl}부적같은 건가? 이런거로 그들이 뭘 할 수 있을지 조금 궁금하긴 합니다만..{nl}뭐 없는 것보단 낫겠죠.
QUEST_UNUSED_20151116_001327	Kudengar dari para informasi bahwa para demon memiliki semacam paket aneh yang mereka taruh di dalam dada mereka.{nl} Entah sepertinya ada sesuatu di dalam paket itu, karena mereka berkeliaran dengan santai di lingkungan yang menyenangkan seperti ini?{nl} Jika kamu memiliki urusan di area 3, tolong habisi mereka dan coba kumpulkan paket itu lalu coba gunakanlah.{nl} Bagaimanapun siapa yang tahu sapa tahu itu berguna juga untuk anda?	정보대원들에게 들은 건데 마족 녀석들이 품속에 넣고 다니는 이상한 꾸러미가 있다고 합니다.{nl}저녀석들이 이런 불쾌한 환경에서도 멀쩡히 돌아다니는 건 어쩌면 그 꾸러미에 뭔가 있는 게 아닐까요?{nl}3번 지역에 들리실 일이 있다면 녀석들을 처치하고 그 꾸러미를 충분히 모아서 사용해 보십시오.{nl}어쩌면 당신에게도 쓸모있을지 누가 압니까?
QUEST_UNUSED_20151116_001328	Saya datang karena mendengar imbalan yang diberikan naik sepuluh kali lipat, tetapi hampir saja saya terlibat dalam masalah besar.{nl} Kita tidak dapat mempercayai perkataan Priest diluar gereja.	보수를 열 배로 쳐준다기에 따라 들어왔다가 하마터면 큰일날뻔 했군요.{nl}사제들 말은 성당 밖에선 믿어선 안 되겠습니다.
QUEST_UNUSED_20151116_001329	Ini bisa digunakan dengan cukup praktis.{nl} Harus diperlihatkan kepada para chaser yang berada diluar.	이거 꽤 요긴하게 쓰이겠군요.{nl}바깥에 나가거든 추적자들에게 보여줘야겠습니다.
QUEST_UNUSED_20151116_001330	Saudara-saudara sedang bersembunyi di lantai bawah semuanya.{nl} Kalau begitu bergegaslah pergi ke lantai bawah.	형제들이 모두 아래층에 숨어있다는 말이군요.{nl}그럼 아래층으로 바로 가시죠.
QUEST_UNUSED_20151116_001331	Melihat Draznie dan Auranas yang selamat, sepertinya saudara lainnya pun juga masih hidup rupanya.{nl} Tetapi disini pun juga sama.{nl} Sepertinya para patung berhala kutukan sedang ditanamkan di segala arah.{nl} Benda ini harus segera dimusnahkan seharusnya..{nl}	드라즈니에와 아우라나스가 무사한걸 보니 다른 형제들도 아직 살아있을 수 있겠군요.{nl}하지만 여기도 마찬가지군요.{nl}사방에 저주의 우상들이 심어져있는 것 같습니다.{nl}이걸 빨리 없애야할 탠데..{nl}
QUEST_UNUSED_20151116_001332	Menurut perkataan Draznie, Totem kutukan berada di area 2 katanya.{nl} Maukah kamu menghancurkannya?{nl} Dengan begitu pencarian akan Irma yang hilang di area 3 akan menjadi lancar.	드라즈니에의 말에 의하면 2번 지역에 저주 토템이 있다고 합니다.{nl}그걸 제거해 주실 수 있겠습니까?{nl}그러면 3번 지역에서 실종된 이르마를 찾기 수월할 겁니다.
QUEST_UNUSED_20151116_001333	Irma adalah anak yang paling disayang oleh Bishop.{nl} Alangkah baiknya jika ia masih hidup..	이르마는 주교님이 특별히 아끼는 아이였습니다.{nl}꼭 살아있으면 좋겠군요..
QUEST_UNUSED_20151116_001334	Apakah kamu telah menghancurkan berhala?{nl} Karena tubuh ini terasa sedikit lebih ringan.	우상을 파괴하셨습니까?{nl}몸이 조금 가벼워 지는 게 느껴집니다.
QUEST_UNUSED_20151116_001335	Sekarang tolong carilah jejak Irma di area 3.{nl} Alangkah baiknya jika ia masih hidup..	이제 3번 구역에서 이르마의 흔적을 찾아주십시오.{nl}꼭 살아있으면 좋겠군요..
QUEST_UNUSED_20151116_001336	Disini selain kamu yang merupakan Savior, tidak ada orang lagi di lembaga religius kami yang berkeinginan kuat.{nl} Hal itu sama dengan Land Lord dan penduduk desa di luar sana.	여기서 계시자인 당신 말고는 우리 교단이 의지할 사람이 없습니다.{nl}그건 바깥의 영주님과 영주민들도 마찬가지구요.
QUEST_UNUSED_20151116_001337	Bagaimana bisa begini..{nl} Saya tadinya berpikir akan mati karena tertangkap oleh Demon Lord..{nl} omong-omong ini dimana?	어떻게 된 일인가요..{nl}전 분명 마군주에게 붙잡혀서 죽었다고 생각했는데..{nl}그나저나 여긴 어디죠?
QUEST_UNUSED_20151116_001338	Yang membuat kami tidak dapat bergerak dengan bebas adalah para patung berhala itu rupanya.{nl} Ketika saya dan Bishop lari menghindari Demon Lord, saya telah melihat berhala itu di area 4 dan 5.{nl} Yang saya lihat itu adalah berhala yang memilik bentuk lain, bagaimanapun benda itu dipasang sepertinya oleh Marnox untuk mengawasi kita	우릴 옴짝달싹 못 하게 만드는 게 그 우상 때문이었군요.{nl}주교님과 제가 마군주를 피해 달아나다가 4번과 5번 지역에서 그 우상들을 보았습니다.{nl}제가 본건 조금 다르게 생긴 우상이었는데 아무래도 그게 마르녹스가 우릴 감시하기 위해 설치해 둔 것 같습니다
QUEST_UNUSED_20151116_001339	{nl}Apakah kamu bisa menghabisi para berhala itu di area 4 dan 5?{nl} Jika tidak dapat menghabisinya, maka pergi kemanapun kita tidak dapat terlepas dari genggaman Marnox..	{nl}4번과 5번 지역에서 그 우상들을 처리해 주실 수 있겠습니까?{nl}그걸 처리 못 하면 우리는 어딜 가건 마르녹스의 손아귀에서 벗어날 수 없을 겁니다..
QUEST_UNUSED_20151116_001340	Ketika tiba di tempat ini, sampai waktu sebelum saya tertangkap oleh Demon Lord, Bishop telah memberitahukan dengan detil nasib dari lembaga religius kami.{nl} Tuan Savior, sungguh beruntung rasanya bisa bertemu dengan anda.	이곳에 도착하여 제가 마군주에게 붙잡히기 전 까지, 주교님은 우리 교단의 숙명을 상세하게 알려주셨습니다.{nl}계시자님, 당신과 만나게 되어 정말 다행입니다.
QUEST_UNUSED_20151116_001341	Irma telah turun ke lantai 3.{nl} Jika kamu kembali maka akan dimintai untuk dikirim ke tempat itu.	이르마는 3층으로 내려갔습니다.{nl}당신이 돌아오면 그곳으로 보내달라고 하더군요.
QUEST_UNUSED_20151116_001342	{nl}Saya sepertinya lebih tidak dapat bergerak di sini.{nl} Bagaimanapun kamu sepertinya harus pergi sendirian.	{nl}저는 여기서 더 못 움직일 것 같습니다.{nl}아무래도 당신 혼자 가야할 것 같군요.
QUEST_UNUSED_20151116_001343	Irma berkata pergi untuk mencari Galia yang terpisah dengannya di lantai 3.{nl} Karena Irma dan Galia adalah kakak beradik, maka saya pun tidak dapat tinggal diam.{nl} Jika tanpa kamu sebagai Savior, maka yang bisa kami lakukan tidak lain hanyalah bernapas saja{nl} Entah apa yang kami pikirkan.	이르마는 3층에서 헤어진 겔리야를 찾으러 간다고 했습니다.{nl}겔리야와 이르마는 친자매이기 때문에 제가 말릴 수가 없었습니다.{nl}계시자인 당신 없이는 우리가 할 수 있는 건 고작 숨쉬는 것 정도인데{nl}무슨 생각으로 그러는 지 모르겠군요.
QUEST_UNUSED_20151116_001344	{nl}Pergilah mencari Irma sebelum ia ditangkap oleh Demon Lord lagi.	{nl}이르마가 또 마군주에게 붙잡히기 전에 그녀를 찾아 주십시오.
QUEST_UNUSED_20151116_001345	Telah mendengarkan cerita Irma.{nl} Kamu datang sampai kesini untuk mencari kami dari Orsha rupanya.{nl}karena sekarang berada bersama Savior, saya merasa tidak takut.	이르마에게 이야기는 들었습니다.{nl}오르샤부터 우리를 찾아 여기까지 와주셨군요.{nl}계시자와 함께라니 이제 무섭지 않습니다.
QUEST_UNUSED_20151116_001346	Irma yang terlalu pemberani adalah sebuah masalah.	이르마는 너무 당돌해서 문제에요.
QUEST_UNUSED_20151116_001347	Bishop adalah orang yang banyak memiliki kekhawatiran.{nl} Sebenarnya banyak tempat lain yang disiapkan untuk bertemu dengan Savior, selain disini.{nl} Diantaranya adalah Ashaq Underground Prison, saya dan Draznie yang ditugaskan untuk hal ini telah banyak menghadapi masalah dan banyak melakukan persiapan.	주교님은 걱정이 많으신 분이셨습니다.{nl}계시자를 맞이할 준비를 한 곳은 여기 말고도 많았죠.{nl}그 중에서 아샤크 지하 감옥은 저와 드라즈니에가 맡아서 이곳에서 위기에 쳐할 때를 대비해서 많은 준비를 해두었습니다.
QUEST_UNUSED_20151116_001348	{nl} Sebenarnya saya bermaksud untuk bersembunyi dari para musuh yang sulit dihadapi, tetapi karena saat ini ada tuan Savior{nl} maka kami harus menggunakan peralatan yang disembunyikan dengan lebih aktif.{nl} Pada kantong kain yang ditumpuk di area 1, tersimpan bubuk mutiara yang berkilauan.{nl} Jika dapat mengumpulkannya dengan baik, maka bisa dipakai secara efektif kepada para demon.{nl} Penjelasan lebih lanjut akan kuberikan setelah kamu mengumpulkannya.	{nl}원래라면 상대하기 힘든 적들은 피해서 숨어있을 생각이었지만 계시자님이 오셨으니{nl}숨겨둔 도구들을 적극적으로 활용해야겠습니다.{nl}1번 지역에 비축해둔 포대엔 반짝이는 진주가루가 담겨 있습니다.{nl}이걸 잘 모으면 마족들에게 요긴하게 쓸 수 있죠.{nl}자세한 설명은 다 모아오시면 드리겠습니다.
QUEST_UNUSED_20151116_001349	Sekali lagi saya kagum pada penglihatan masa depan milik Bishop.{nl} Jika tidak ada persiapa nseperti ini, maka kami tidak dapat melakukan apapun disini mungkin juga sudah mati terbunuh oleh para Demon yah.{nl} Mungkin para saudara-saudara yang hilang sedang bersembunyi di persembunyian yang telah kami siapkan.	다시 한 번 주교님의 선견지명에 감탄했습니다.{nl}이런 준비가 없었다면 우린 여기서 아무것도 못하고 마족들 손에 당하고 말았겠죠.{nl}아마 실종된 형제들도 저희가 준비해둔 은신처에 숨어있을 겁니다.
QUEST_UNUSED_20151116_001350	Jika jumlahnya sebanyak ini, maka masih akan tersisa jika digunakan.{nl} Terima kasih atas kerja kerasmu.	이정도면 충분히 사용하고도 남을 양이군요.{nl}고생하셨습니다.
QUEST_UNUSED_20151116_001351	Para Demon adalah bukan monster sederhana yang biasa, tetapi masing-masing dari mereka memiliki sistem komando sepertinya.{nl} Mereka yang lebih kuat memerintah mereka yang lebih lemah sepertinya.{nl} Jika membunuh mereka yang lebih kuat, mungkin dapat lebih mudah menghabisi sisanya.	마족들은 단순한 몬스터가 아니라 저마다의 지휘체계를 가지고 있는 것 같습니다.{nl}좀 더 강한 녀석이 약한 녀석을 지휘하는 것 같더군요.{nl}아마 강한 녀석들을 처치하면 나머지 녀석들도 쉽게 처리할 수 있을 겁니다.
QUEST_UNUSED_20151116_001352	{nl} Sekarang jika pergi dengan membawa bubuk mutiara ini, kalau menemukan demon dari jauh, maka cobalah menggunakannya.{nl} Cahaya yang muncul dari bubuk mutiara akan terbang kepada monster demon yang kuat, sehingga ia akan mudah ditemukan.	{nl}이제 이 진주가루를 가지고 다니시다가 멀리서 마족을 발견하면 사용해 보십시오.{nl}진주가루에서 나온 빛이 강한 마족 몬스터에게 날아가서 발견하기 쉽게 해줄 겁니다.
QUEST_UNUSED_20151116_001353	Masih belum dapat diketahui siapa yang berada di belakang para demon{nl} Jika menghabisi satu persatu apakah dunia ini tidak akan kembali menjadi damai seperti dulu?	마족들의 배후에 누가 있는진 아직 알 수 없습니다만{nl}하나씩 처리하면 예전처럼 안전한 세상이 되지 않을까요?
QUEST_UNUSED_20151116_001354	Terima kasih atas kerja kerasnya.{nl} Apakah kamu telah menghabisi para Demon?{nl} Selain ini, banyak hal lain yang telah kami persiapkan, tetapi yang saya persiapkan tidak ada selain ini..{nl} Sisanya akan saya bereskan bersama dengan Drazeni.	수고하셨습니다.{nl}마족들은 잘 처리하셨나요?{nl}이것 말고도 준비해 둔게 많은데 제가 준비한 건 이거 말곤 없군요..{nl}나머지는 저와 드라즈니에가 어떻게든 해보겠습니다.
QUEST_UNUSED_20151116_001355	Saya dan Auranas telah mencari tempat yang aman di berbagai tempat di Basement Prison ini.{nl} Tentu saja bukan tempat kita berdiri saat ini.{nl} Tadinya saya bersembunyi di area 3, tetapi Demon lord memimpin anak buahnya dan melakukan pencarian ke tempat itu.{nl} Semua benda yang dibawa kemari kuabaikan, hanya pergi dengan membawa tubuh begitu saja.	저와 아우라나스는 이곳 지하 감옥의 여러곳에 안전한 장소를 물색해 두었습니다.{nl}물론 지금 우리가 서 있는 이곳은 아닙니다.{nl}3번 지역에서 숨어있었는데 마군주가 부하들을 이끌고 그곳을 수색하더군요.{nl}가지고 있던 것들은 모두 내팽개치고 간신히 몸만 빠져나왔습니다.
QUEST_UNUSED_20151116_001356	{nl} Jika berada sedikit lebih lama di tempat ini, alangkah baiknya jika kembali mencari tempat itu sepertinya..{nl} Seperti yang ada lihat, yang bisa kami lakukan tidak lain hanyalah melarikan diri saja.{nl} Jika boleh maukah kamu membereskan area 3?	{nl}이곳에 좀 더 오래 머무르려면 그곳을 다시 되찾는 게 좋을 것 같은데..{nl}보시는 것처럼 저희가 할 수 있는 건 도망치는 것 밖에 없군요.{nl}괜찮으시다면 3번 지역을 정리해주실 수 있겠습니까?
QUEST_UNUSED_20151116_001357	Para Demon pun tidak dapat berpikir bahwa kami bersembunyi di tempat seperti itu bukan..	마족 녀석들도 우리가 설마 그런곳에 숨어있을 거라고 생각도 못 했겠죠..
QUEST_UNUSED_20151116_001358	{nl}Masalahnya kami juga tidak memikirkan bahwa mereka pun akan datang sampai kesana.	{nl}문제는 우리도 녀석들이 거기까지 올거라고 생각은 못 했던거죠.
QUEST_UNUSED_20151116_001359	Terima kasih.{nl} Setelah memeriksa kondisi sekitar, maka Aku akan kembali bersembunyi di area 3.	감사합니다.{nl}주위를 살펴보다가 3번 지역에 다시 숨어야겠군요.
QUEST_UNUSED_20151116_001360	Jika pergi ke area 4, maka terdapat beberapa ruangan kecil.{nl} Saya membuat beberapa jebakan disana, yang saya pelajari ketika menjalankan tugas di daerah utara.{nl} Jebakan yang berbentuk sama seperti rupa saya, dan memancing musuh.	4번 구역에 가면 작은 방들이 있을 겁니다.{nl}거기에 제가 북쪽 지역에서 수행할때 배운 기술로 함정을 만들었습니다.{nl}저와 흡사하게 생긴 환영을 만들어서 적을 유인하는 함정입니다.
QUEST_UNUSED_20151116_001361	{nl} Tetapi saya tidak memiliki kemampuan untuk dapat pergi sampai ke tempat itu.{nl} Jika boleh maukah tuan Savior mengaktifkan jebakan yang ada di tempat itu?	{nl}하지만 제가 거기까지 갈 수 있는 여력이 없습니다.{nl}괜찮으시다면 계시자님께서 그곳에서 함정들을 발동시켜 주시지 않겠습니까?
QUEST_UNUSED_20151116_001362	Selain Basement Prison, banyak tempat yang dipersiapkan dengan perangkap dan persembunyian.{nl} Jika Orsha hancur, kami telah menyiapkan banyak tempat untuk mengevakuasi orang-orang.	지하 감옥 말고도 함정과 은신처를 준비해둔 곳이 많습니다.{nl}오르샤가 무너지면 사람들을 대피시킬 수 있을만큼 많은 곳을 준비해 두었지요.
QUEST_UNUSED_20151116_001363	Apakah para Demon terpancing dengan baik?{nl} Karena tidak pernah digunakan untuk menghadapi Demon, aku sedikit khawatir sebenarnya.{nl} Omong-omong untunglha perangkap itu dapat berhasil.	마족들이 잘 걸려들었나요?{nl}마족을 상대로는 한 번도 써본적이 없어서 걱정했었습니다.{nl}아무튼 성공했다니 다행이군요.
QUEST_UNUSED_20151116_001364	Pergilah kepada Irma.{nl} Ia sedang bersiap untuk mengambil kembali Demon Command Scroll.	이르마에게 가보십시오.{nl}그녀가 마족 명령서를 회수하기 위해 준비하고 있습니다.
QUEST_UNUSED_20151116_001365	Mohon maaf karena menghilang tanpa berkata apapun.{nl} Tetapi karena kondisinya mendesak, selama kamu sedang menhancurkan berhala pengawas{nl} Saya dapat datang dengan menghindari pantauan mata dari Marnox.{nl} Tetapi disini juga telah dipasang berhala itu di beberapa tempat.	말도 없이 사라져서 죄송합니다.{nl}하지만 한 시가 급한 일이고 당신이 감시 우상을 파괴하는 동안{nl}제가 마르녹스의 눈을 피해 안전하게 올 수 있었습니다.{nl}하지만 여기도 그의 우상이 곳곳에 설치되어 있군요.
QUEST_UNUSED_20151116_001366	Untuk sampai ke tempat ini, beberapa saudara kami telah menjadi korban.{nl} Karena tidak ada jalan lain selain hal ini untuk kami.{nl} Tolong halangilah rencana konspirasi demon.	여기에 오기 까지 많은 형제들이 희생당했습니다.{nl}우리에게 길은 이 것 밖에 없기 때문이었죠.{nl}마족의 음모를 막아 주십시오.
QUEST_UNUSED_20151116_001367	Jika ingin mengambil kembali Demon Command Scroll dengan masuk ke ruangan tersembunyi, maka harus menghancur berhala yang ada di area 2.{nl} Jika menggunakan moving device yang ada di tempat terdekat, maka sudah pasti akan tertangkap oleh Marnox.{nl} Bisakah kamu menghabisi berhala yang ada di area 2?	숨겨진 방에 들어가서 마족 명령서를 회수하려면 2번 지역의 우상을 제거 해야합니다.{nl}인접한 곳에서 이동장치를 사용하면 분명 마르녹스에게 덜미를 잡힐 겁니다.{nl}2번 지역의 우상을 처치해 주실 수 있겠습니까?
QUEST_UNUSED_20151116_001368	Aneh rupanya, padahal sudah waktunya untuk muncul..{nl} Apakah tuan Savior takut?	이상하군요 슬슬 나타날때가 되었는데..{nl}계시자님이 무서운 걸까요?
QUEST_UNUSED_20151116_001369	Sungguh aneh.{nl} Entah kenapa Marnox tidak muncul?{nl} Jika melihat ia sampai saat ini pun, hal ini tidak masuk akal..	정말 이상하군요.{nl}어째서 마르녹스가 나타나지 않는 걸까요?{nl}여태까지의 그의 행태를 보면 그럴리가 없는데..
QUEST_UNUSED_20151116_001370	Jika Marnox tidak muncul, apa boleh buat kan.{nl} Cobalah hancurkan berhala pengawas di area 3, untuk mengetes reaksinya.{nl} Kita tidak dapat membuka pintu untuk ke ruang tersembunyi jika ia masih dalam keadaan hidup.	마르녹스가 나타나지 않는다면 어쩔 수 없지요.{nl}혹시 모르는 일이니 3번 구역의 감시 우상을 파괴해서 그를 자극해 보는 게 좋겠습니다.{nl}그가 살아있는 상태론 숨겨진 방으로 통하는 문을 열 수 없습니다.
QUEST_UNUSED_20151116_001371	Apakah Bishop telah mendeteksi sesuatu?{nl} Ketika saya tertangkap, aku teringat ia melakukan tindakan yang pengecut dan hanya memikirkan diri sendiri saja.{nl} Ia berkata jika bukan Savior, para Priest seperti kami bukanlah apa-apa katanya..{nl} Apakah tuan Savior takut?	혹시 주교님이 발각당하신 건 아닐까요?{nl}저를 붙잡았을 때 그의 자신만만한 행동과 비겁한 언행이 생각나는 군요.{nl}계시자가 아니면 우리 같은 사제들은 아무것도 아니라고 했어요..{nl}역시 계시자님이 무서운 걸까요?
QUEST_UNUSED_20151116_001372	Setelah kabur dengan megirimkan para anak buahnya, entah apakah ia merencanakan sesuatu kedepannya.{nl} Karena kita tidak dapat menghabiskan waktu disini, mari kita coba buka pinter tersebut.	자신의 부하를 보내고 도망쳐서 후일을 도모하는 걸지도 모르겠습니다.{nl}여기서 시간을 지체할 수 없으니 문을 열도록 하지요.
QUEST_UNUSED_20151116_001373	Jika saya membuka pintu, tolong segera masuk mengikuti dari belakang.{nl} Setelah mengambil Demon Command Scroll, mari segera kembali pada Bishop.	제가 문을 열면 바로 따라 들어와 주십시오.{nl}마족 명령서를 회수하고 바로 주교님께 돌아갑시다.
QUEST_UNUSED_20151116_001374	Kamu telah membunuh Marnox..{nl} Saya sepertinya akan kesulitan untuk bergerak sementara waktu.	마르녹스를 처치하셨군요..{nl}저는 당분간 움직이기 힘들 것 같습니다.
QUEST_UNUSED_20151116_001375	Sungguh kehormatan karena dapat menjaga takdir dari lembaga religius sampai akhir.{nl} Ini semua adalah berkat tuan Savior.{nl} Aku akan bersembunyi di tempat ini sebentar untuk beristirahat, maka dari itu tolong bawakanlah Demon Command Scroll ini kepada Bishop.	교단의 숙명을 마지막까지 지켜볼 수 있어서 영광이었습니다.{nl}계시자님 모두 당신 덕입니다.{nl}저는 이곳에서 잠시 숨어서 몸을 돌볼태니 마족 명령서를 가지고 주교님께 가주세요.
QUEST_UNUSED_20151116_001376	Apakah itu berarti kamu telah menghabisi Marnox!{nl} Menghabisi Demon Lord katamu.. Orang yang disebut Savior sungguh memiliki kekuatan yang menakjubkan.{nl} Lalu sungguh beruntung rasanya karena para Priestku dalam kondisi selamat..{nl} Para Priest yang hilang akan kumintai tolong pada Inesia, agar dapat dikirim kembali ke kampung halamannya.	마르녹스를 해치웠단 말인가!{nl}마군주를 해치우다니.. 계시자란 참으로 놀라운 힘을 가졌군요.{nl}내 사제들이 무사 하다니 다행입니다..{nl}행방불명된 사제들은 이네사에게 부탁해서 꼭 고향으로 돌려보낼 수 있도록 하겠습니다.
QUEST_UNUSED_20151116_001377	Jika Orsha kembali berjaya, maka orang-orang di masa depan pasti akan mengingat anda..	오르샤가 다시 번영한 다면 후세 사람들은 당신을 꼭 기억 할 겁니다..
QUEST_UNUSED_20151116_001378	Aku akan kembali ke Orsha seperti ini saja, dan akan menafsirkan Demon Command Scroll.{nl} Tuan Savior beritahukanlah kepada Land Lord bahwa telah berhasil menghalahkan Demon Lord dan menyelamatkan kami.{nl} Aku akan memerintahkan kepada para murid kami untuk berada disini, dan membersihkan yang tersisa dari Marnox, lalu mencari para Priest yang hilang.	저는 이대로 오르샤로 돌아가서 마족 명령서를 해석하겠습니다.{nl}계시자님은 영주에게 가서 마군주를 물리치고 우릴 구해냈다고 말씀해 주십시오.{nl}제 제자들은 여기 남아서 마르녹스의 잔재를 지우고 행방불명된 사제들을 찾도록 지시해 두겠습니다.
QUEST_UNUSED_20151116_001379	Para Demon telah menguasai sampai ke daerah terdekat dengan Orsha rupanya.{nl} Serangan mereka selalu kami dapat antisipasi, tetapi kami tidak pernah menyangka bahwa mereka akan datang bersama dengan Demon Lord.{nl} Sebenarnya saya ingin merayakan pencapaian kamu yang mengejutkan, dengan memberitahukan kepada semuanya... tetapi..	오르샤 근방까지 마족들이 침범했다는 말이군요.{nl}그들의 침공은 항상 대비하고 있었지만 마군주가 함께 올 거라곤 생각지도 못 했습니다.{nl}당신의 놀라운 업적을 모두에게 말하여 기리고 싶지만..
QUEST_UNUSED_20151116_001380	{nl}Maaf. Jika kebenaran ini diberitahukan, maka para penduduk hanya akan dipenuhi rasa takut saja.	{nl}미안합니다. 사실을 말해버리면 영주민들에게 공포심만 심어줄 것 입니다.
QUEST_UNUSED_20151116_001381	Saya telah mendapatkan sebagian besar cerita tersebut.{nl} Kamu sungguh Savior yang telah dikirimkan Goddess seperti kata tuan Urbonas rupanya.{nl} Kami Hamondale  Royal Family sangat tersanjung dapat bertemu dengan pahlawan yang ada di dalam legenda.{nl} Ternyata para Goddess belum melupakan kami.{nl} Bagaimana rencana kamu kedepannya?	대부분의 이야기를 전달 받았습니다.{nl}우르보나스님께서 여신이 보내주신 계시자가 맞다고 하더군요.{nl}우리 헤먼대일 가문에 내려오는 전승의 주인공을 이렇게 뵙게되어 영광입니다.{nl}여신들이 우릴 버리지 않으셨군요.{nl}앞으로 어떻게 하실 예정이신지요?
QUEST_UNUSED_20151116_001382	{nl}Pertama-tama pergilah kepada tuan Urbonas.{nl} Beliau sedang mencari Anda.	{nl}우선은 우르보나스님에게 가십시오.{nl}당신을 찾고 계십니다.
QUEST_UNUSED_20151116_001383	Tolong anggaplah Orsha ini sebagai kampung halaman anda.{nl} Saya dan para penduduk Orsha akan selalu menyambut kamu kapanpun.	이 오르샤를 마음의 고향이라고 생각해 주십시오.{nl}저와 오르샤 영주민들은 언제나 당신을 환영하겠습니다.
QUEST_UNUSED_20151116_001384	Selamat datang. Pekerjaan penafsiran sudah mencapai tahap akhir.{nl} Walaupun ada beberapa bagian penafsiran yang tidak disetujui oleh murid-muridku, tetapi akan kuberitahukan sebagian besar yang sudah selesai.	어서오십시오. 해석을 막 끝낸 참입니다.{nl}제자들과 해석이 조금 엇갈린 부분이 있습니다만 대부분 동의하는 부분을 말씀드리겠습니다.
QUEST_UNUSED_20151116_001385	{nl}{nl}(Mulai dari sini adalah isi tafsiran Demon Command Scroll)	{nl}{nl}(여기서부터는 마족 지령서 해석내용)
